Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-03-31 00:00:00,160.51932,4.61076,0.18956,2.655
2026-02-28 00:00:00,160.21562,5.30518,1.17249,2.46078
2026-01-31 00:00:00,158.35887,5.42993,1.27336,1.27336
2025-12-31 00:00:00,156.36775,5.0722,0.37204,5.0722
2025-11-30 00:00:00,155.78815,5.53732,0.19961,4.68274
2025-10-31 00:00:00,155.47781,5.39565,-0.35497,4.4742
2025-09-30 00:00:00,156.03166,4.74931,0.40075,4.84637
2025-08-31 00:00:00,155.40886,4.21006,0.03343,4.42787
2025-07-31 00:00:00,155.35692,4.11411,0.23963,4.39297
2025-06-30 00:00:00,154.98553,3.83337,0.05243,4.14341
2025-05-31 00:00:00,154.90431,3.91637,0.37553,4.08883
2025-04-30 00:00:00,154.32478,3.83502,0.57377,3.69941
2025-03-31 00:00:00,153.44437,4.1312,0.85463,3.10782
2025-02-28 00:00:00,152.14409,3.943,1.29234,2.23409
2025-01-31 00:00:00,150.20296,3.71136,0.92974,0.92974
2024-12-31 00:00:00,148.81933,3.33929,0.81635,3.33929
2024-11-30 00:00:00,147.61428,2.81385,0.0651,2.50251
2024-10-31 00:00:00,147.51824,4.16592,-0.96604,2.43582
2024-09-30 00:00:00,148.95723,5.4837,-0.11611,3.43504
2024-08-31 00:00:00,149.13038,6.26686,-0.05868,3.55528
2024-07-31 00:00:00,149.21794,7.19692,-0.03065,3.61607
2024-06-30 00:00:00,149.26369,7.7973,0.13241,3.64785
2024-05-31 00:00:00,149.06631,8.07564,0.29694,3.51079
2024-04-30 00:00:00,148.62498,8.3582,0.86064,3.20433
2024-03-31 00:00:00,147.35677,8.05843,0.67235,2.32369
2024-02-29 00:00:00,146.37263,8.5193,1.06661,1.64031
2024-01-31 00:00:00,144.82788,9.22201,0.56765,0.56765
2023-12-31 00:00:00,144.01041,10.34963,0.30374,10.34963
2023-11-30 00:00:00,143.57432,11.4344,1.38102,10.01546
2023-10-31 00:00:00,141.61853,10.83316,0.28682,8.51682
2023-09-30 00:00:00,141.2135,10.83717,0.62547,8.20646
2023-08-31 00:00:00,140.33574,11.10025,0.81602,7.53387
2023-07-31 00:00:00,139.19984,12.34099,0.52925,6.66347
2023-06-30 00:00:00,138.467,12.8475,0.39096,6.10193
2023-05-31 00:00:00,137.92776,12.64198,0.55917,5.68873
2023-04-30 00:00:00,137.16081,13.20691,0.58161,5.10104
2023-03-31 00:00:00,136.36767,13.98808,1.10172,4.49329
2023-02-28 00:00:00,134.88165,13.90495,1.72106,3.35461
2023-01-31 00:00:00,132.59954,14.11208,1.60591,1.60591
2022-12-31 00:00:00,130.50376,14.27958,1.28976,14.27958
2022-11-30 00:00:00,128.84201,13.84605,0.83403,12.82441
2022-10-31 00:00:00,127.77631,13.54393,0.29045,11.89121
2022-09-30 00:00:00,127.40627,13.15592,0.86431,11.56716
2022-08-31 00:00:00,126.31451,12.93721,1.94191,10.61114
2022-07-31 00:00:00,123.90832,11.47406,0.9825,8.50408
2022-06-30 00:00:00,122.70276,10.99959,0.20812,7.4484
2022-05-31 00:00:00,122.44792,10.8211,1.0635,7.22524
2022-04-30 00:00:00,121.15939,10.63877,1.27566,6.0969
2022-03-31 00:00:00,119.63327,10.21048,1.02798,4.7605
2022-02-28 00:00:00,118.41597,9.79874,1.90604,3.69454
2022-01-31 00:00:00,116.20114,8.81367,1.75505,1.75505
2021-12-31 00:00:00,114.19692,7.26808,0.90552,7.26808
2021-11-30 00:00:00,113.17213,6.78575,0.56644,6.30547
2021-10-31 00:00:00,112.53469,5.81458,-0.05228,5.70671
2021-09-30 00:00:00,112.59355,5.75019,0.66937,5.762
2021-08-31 00:00:00,111.8449,4.93399,0.62121,5.05877
2021-07-31 00:00:00,111.1544,4.10893,0.55269,4.41016
2021-06-30 00:00:00,110.54344,3.30766,0.04699,3.83627
2021-05-31 00:00:00,110.49152,2.93643,0.89722,3.78751
2021-04-30 00:00:00,109.50898,1.95965,0.88362,2.86458
2021-03-31 00:00:00,108.54982,1.55742,0.65055,1.96362
2021-02-28 00:00:00,107.84821,1.74254,0.99178,1.30458
2021-01-31 00:00:00,106.7891,1.60154,0.30972,0.30972
2020-12-31 00:00:00,106.45937,2.23635,0.45179,2.23635
2020-11-30 00:00:00,105.98056,2.20138,-0.34817,1.77653
2020-10-31 00:00:00,106.35084,2.73271,-0.1131,2.13212
2020-09-30 00:00:00,106.47125,3.06831,-0.10762,2.24777
2020-08-31 00:00:00,106.58596,3.23363,-0.16994,2.35792
2020-07-31 00:00:00,106.7674,3.40461,-0.22121,2.53217
2020-06-30 00:00:00,107.0041,4.23885,-0.31253,2.75948
2020-05-31 00:00:00,107.33958,4.77555,-0.0602,3.08164
2020-04-30 00:00:00,107.40423,5.11075,0.48563,3.14373
2020-03-31 00:00:00,106.88517,5.07452,0.83402,2.64526
2020-02-29 00:00:00,106.0011,4.61971,0.85182,1.79626
