Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-04-30 00:00:00,155.72538,5.90036,1.00403,3.8455
2026-03-31 00:00:00,154.1774,5.30623,0.70134,2.81323
2026-02-28 00:00:00,153.10362,5.33344,0.99454,2.09718
2026-01-31 00:00:00,151.59593,5.21454,1.09178,1.09178
2025-12-31 00:00:00,149.95871,4.22603,0.17254,4.22603
2025-11-30 00:00:00,149.70042,4.60163,-0.06764,4.04651
2025-10-31 00:00:00,149.80175,4.84761,-0.03894,4.11693
2025-09-30 00:00:00,149.86011,4.6678,0.04414,4.1575
2025-08-31 00:00:00,149.79399,4.99403,0.20392,4.11155
2025-07-31 00:00:00,149.48915,4.68734,0.6537,3.89967
2025-06-30 00:00:00,148.51829,4.33376,0.43283,3.22489
2025-05-31 00:00:00,147.87824,4.42676,0.56395,2.78004
2025-04-30 00:00:00,147.04896,4.18315,0.43737,2.20366
2025-03-31 00:00:00,146.40861,4.13788,0.72736,1.7586
2025-02-28 00:00:00,145.35139,3.87438,0.88054,1.02379
2025-01-31 00:00:00,144.08268,3.71804,0.142,0.142
2024-12-31 00:00:00,143.87837,4.61704,0.53354,4.61704
2024-11-30 00:00:00,143.1148,4.28359,0.16736,4.06183
2024-10-31 00:00:00,142.87569,4.34394,-0.21038,3.88797
2024-09-30 00:00:00,143.17691,4.43525,0.35596,4.10699
2024-08-31 00:00:00,142.66906,4.66013,-0.08878,3.73772
2024-07-31 00:00:00,142.79583,5.79169,0.31374,3.8299
2024-06-30 00:00:00,142.34922,6.2383,0.52235,3.50516
2024-05-31 00:00:00,141.60952,6.11168,0.32935,2.96731
2024-04-30 00:00:00,141.14466,6.09306,0.39373,2.6293
2024-03-31 00:00:00,140.59112,6.32184,0.47248,2.22681
2024-02-29 00:00:00,139.92997,6.72802,0.72871,1.74608
2024-01-31 00:00:00,138.91767,7.4849,1.01001,1.01001
2023-12-31 00:00:00,137.52862,8.1124,0.2131,8.1124
2023-11-30 00:00:00,137.23616,9.40327,0.22532,7.8825
2023-10-31 00:00:00,136.92764,10.05833,-0.12306,7.63997
2023-09-30 00:00:00,137.09634,10.99942,0.57206,7.77259
2023-08-31 00:00:00,136.31654,11.49544,0.99144,7.15957
2023-07-31 00:00:00,134.9783,11.27705,0.73723,6.10758
2023-06-30 00:00:00,133.99049,12.23526,0.40254,5.33105
2023-05-31 00:00:00,133.45329,12.38985,0.31175,4.90875
2023-04-30 00:00:00,133.03854,12.52598,0.61022,4.58271
2023-03-31 00:00:00,132.23164,13.45165,0.85631,3.9484
2023-02-28 00:00:00,131.10894,13.89939,1.44304,3.06584
2023-01-31 00:00:00,129.2439,13.61414,1.59972,1.59972
2022-12-31 00:00:00,127.20892,13.86838,1.40965,13.86838
2022-11-30 00:00:00,125.44064,13.46309,0.82543,12.28554
2022-10-31 00:00:00,124.41369,13.18586,0.73097,11.36629
2022-09-30 00:00:00,123.51087,12.48486,1.02148,10.55814
2022-08-31 00:00:00,122.26198,11.87546,0.79363,9.44023
2022-07-31 00:00:00,121.29932,11.26069,1.60468,8.57852
2022-06-30 00:00:00,119.38359,9.8568,0.54083,6.8637
2022-05-31 00:00:00,118.7414,8.98248,0.43325,6.28885
2022-04-30 00:00:00,118.22917,10.65157,1.43786,5.83034
2022-03-31 00:00:00,116.5533,9.75654,1.25434,4.33022
2022-02-28 00:00:00,115.10943,8.83314,1.18898,3.03777
2022-01-31 00:00:00,113.75688,8.02637,1.82707,1.82707
2021-12-31 00:00:00,111.71576,6.69439,1.04871,6.69439
2021-11-30 00:00:00,110.55634,8.19377,0.57908,5.58709
2021-10-31 00:00:00,109.91982,7.70256,0.1071,4.97918
2021-09-30 00:00:00,109.80222,7.90283,0.47419,4.86687
2021-08-31 00:00:00,109.284,7.43544,0.23976,4.37194
2021-07-31 00:00:00,109.02261,6.88166,0.32263,4.1223
2021-06-30 00:00:00,108.67201,6.37192,-0.25934,3.78746
2021-05-31 00:00:00,108.95458,6.18218,1.97141,4.05732
2021-04-30 00:00:00,106.84816,3.92199,0.61736,2.04559
2021-03-31 00:00:00,106.19257,1.52585,0.40247,1.41947
2021-02-28 00:00:00,105.7669,1.99701,0.43888,1.01292
2021-01-31 00:00:00,105.30474,2.11353,0.57154,0.57154
2020-12-31 00:00:00,104.7063,1.93226,2.46875,1.93226
2020-11-30 00:00:00,102.18365,-0.51264,0.12244,-0.52356
2020-10-31 00:00:00,102.05869,-0.52485,0.29325,-0.64521
2020-09-30 00:00:00,101.76028,-0.77589,0.03898,-0.93572
2020-08-31 00:00:00,101.72062,-0.63999,-0.27694,-0.97432
2020-07-31 00:00:00,102.00311,-0.39056,-0.15583,-0.69932
2020-06-30 00:00:00,102.16231,0.1462,-0.43725,-0.54433
2020-05-31 00:00:00,102.61098,1.05042,-0.19915,-0.10755
2020-04-30 00:00:00,102.81574,1.37646,-1.70259,0.09178
