Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-03-31 00:00:00,154.76273,4.63068,0.82025,2.53192
2026-02-28 00:00:00,153.50362,4.36662,0.83754,1.69775
2026-01-31 00:00:00,152.22864,4.20085,0.85306,0.85306
2025-12-31 00:00:00,150.94102,4.31012,0.00482,4.31012
2025-11-30 00:00:00,150.93374,4.79038,-0.06286,4.30509
2025-10-31 00:00:00,151.02868,4.93811,0.13885,4.3707
2025-09-30 00:00:00,150.81927,4.85772,0.17916,4.22599
2025-08-31 00:00:00,150.54954,4.94857,0.31713,4.03959
2025-07-31 00:00:00,150.07362,4.56229,0.28558,3.71069
2025-06-30 00:00:00,149.64626,4.73654,-0.02778,3.41536
2025-05-31 00:00:00,149.68785,5.02752,0.42378,3.4441
2025-04-30 00:00:00,149.05619,4.74688,0.77265,3.00758
2025-03-31 00:00:00,147.91333,4.44873,0.5658,2.21779
2025-02-28 00:00:00,147.08115,4.45497,0.67738,1.6427
2025-01-31 00:00:00,146.09155,4.72039,0.95882,0.95882
2024-12-31 00:00:00,144.70409,4.30307,0.46525,4.30307
2024-11-30 00:00:00,144.03397,4.41045,0.07803,3.82004
2024-10-31 00:00:00,143.92167,4.89326,0.06214,3.73909
2024-09-30 00:00:00,143.8323,5.29381,0.26595,3.67467
2024-08-31 00:00:00,143.45078,5.60505,-0.05211,3.39968
2024-07-31 00:00:00,143.52557,6.24026,0.4527,3.45358
2024-06-30 00:00:00,142.87875,6.09687,0.24996,2.98735
2024-05-31 00:00:00,142.5225,6.32151,0.15544,2.73057
2024-04-30 00:00:00,142.30131,6.51297,0.48581,2.57113
2024-03-31 00:00:00,141.61334,6.35834,0.57181,2.07524
2024-02-29 00:00:00,140.80819,6.82334,0.93321,1.49489
2024-01-31 00:00:00,139.50631,7.36422,0.55649,0.55649
2023-12-31 00:00:00,138.73427,8.78004,0.56868,8.78004
2023-11-30 00:00:00,137.94977,10.01761,0.54081,8.16492
2023-10-31 00:00:00,137.20774,10.4852,0.44424,7.5831
2023-09-30 00:00:00,136.60091,10.91996,0.56233,7.10729
2023-08-31 00:00:00,135.83705,11.46228,0.54908,6.50836
2023-07-31 00:00:00,135.09527,11.89097,0.31712,5.92674
2023-06-30 00:00:00,134.66821,12.87358,0.46222,5.59189
2023-05-31 00:00:00,134.04861,12.61095,0.3358,5.10606
2023-04-30 00:00:00,133.59998,13.08005,0.33992,4.7543
2023-03-31 00:00:00,133.14738,13.9786,1.01151,4.39942
2023-02-28 00:00:00,131.81407,14.01684,1.44427,3.35399
2023-01-31 00:00:00,129.93743,14.02205,1.88253,1.88253
2022-12-31 00:00:00,127.53651,13.36266,1.71283,13.36266
2022-11-30 00:00:00,125.38881,12.88038,0.96813,11.45364
2022-10-31 00:00:00,124.18653,12.43272,0.83949,10.38498
2022-09-30 00:00:00,123.15268,11.17382,1.054,9.46602
2022-08-31 00:00:00,121.86819,10.6744,0.93581,8.32428
2022-07-31 00:00:00,120.73831,9.8424,1.19808,7.31998
2022-06-30 00:00:00,119.30889,8.85469,0.22847,6.04942
2022-05-31 00:00:00,119.03693,9.36377,0.75377,5.80768
2022-04-30 00:00:00,118.14637,10.05152,1.13724,5.0161
2022-03-31 00:00:00,116.81788,9.63241,1.0454,3.83524
2022-02-28 00:00:00,115.6093,9.03998,1.4489,2.76098
2022-01-31 00:00:00,113.95816,8.13007,1.29334,1.29334
2021-12-31 00:00:00,112.50311,7.13119,1.28012,7.13119
2021-11-30 00:00:00,111.08113,6.13637,0.56771,5.77711
2021-10-31 00:00:00,110.45408,5.44387,-0.28961,5.18
2021-09-30 00:00:00,110.77489,5.38639,0.60004,5.4855
2021-08-31 00:00:00,110.11416,4.86371,0.17702,4.85631
2021-07-31 00:00:00,109.91958,4.47722,0.2881,4.67102
2021-06-30 00:00:00,109.60382,5.3919,0.69721,4.37034
2021-05-31 00:00:00,108.84494,3.12213,1.38738,3.6477
2021-04-30 00:00:00,107.35551,1.53452,0.75207,2.22938
2021-03-31 00:00:00,106.55415,1.4659,0.49937,1.46628
2021-02-28 00:00:00,106.02469,1.377,0.60233,0.96211
2021-01-31 00:00:00,105.38989,1.23614,0.35762,0.35762
2020-12-31 00:00:00,105.01434,1.1029,0.33964,1.1029
2020-11-30 00:00:00,104.65888,0.89923,-0.08846,0.76068
2020-10-31 00:00:00,104.75154,1.1605,-0.34397,0.84989
2020-09-30 00:00:00,105.11309,1.74426,0.1011,1.19797
2020-08-31 00:00:00,105.00693,1.91428,-0.1922,1.09576
2020-07-31 00:00:00,105.20914,2.40955,1.1661,1.29044
2020-06-30 00:00:00,103.99644,1.52445,-1.47145,0.12291
2020-05-31 00:00:00,105.54955,3.41977,-0.17352,1.61817
2020-04-30 00:00:00,105.73302,3.74182,0.68399,1.79481
2020-03-31 00:00:00,105.01473,3.38953,0.41132,1.10328
2020-02-29 00:00:00,104.58455,3.39942,0.46255,0.68912
2020-01-31 00:00:00,104.10303,3.37048,0.22553,0.22553
2019-12-31 00:00:00,103.86877,3.86877,0.13751,3.86877
2019-11-30 00:00:00,103.72614,4.10462,0.17025,3.72614
2019-10-31 00:00:00,103.54984,4.15635,0.23111,3.54984
2019-09-30 00:00:00,103.31108,4.20175,0.26838,3.31108
2019-08-31 00:00:00,103.03456,4.31527,0.29283,3.03456
2019-07-31 00:00:00,102.73372,4.15583,0.29175,2.73372
2019-06-30 00:00:00,102.43486,3.70696,0.36793,2.43486
2019-05-31 00:00:00,102.05935,3.47234,0.13734,2.05935
2019-04-30 00:00:00,101.91938,3.62791,0.34208,1.91938
2019-03-31 00:00:00,101.57192,3.34958,0.42092,1.57192
2019-02-28 00:00:00,101.14618,3.22905,0.43443,1.14618
2019-01-31 00:00:00,100.70867,3.43873,0.70867,0.70867
2018-12-31 00:00:00,100,3.35703,0.36488,3.35703
2018-11-30 00:00:00,99.64,3.3,0.22,2.98
2018-10-31 00:00:00,99.42,3.43,0.27,2.76
2018-09-30 00:00:00,99.15,3.11,0.38,2.47
2018-08-31 00:00:00,98.77,2.65,0.14,2.09
2018-07-31 00:00:00,98.63,2.86,-0.14,1.95
2018-06-30 00:00:00,98.77,3.04,0.14,2.09
2018-05-31 00:00:00,98.63,3.12,0.29,1.95
2018-04-30 00:00:00,98.35,3.16,0.07,1.65
2018-03-31 00:00:00,98.28,3.39,0.3,1.58
2018-02-28 00:00:00,97.98,3.53,0.64,1.27
2018-01-31 00:00:00,97.36,3.83,0.63,0.63
2017-12-31 00:00:00,96.75,4,0.31,4
2017-11-30 00:00:00,96.45,4.09,0.34,3.68
2017-10-31 00:00:00,96.12,3.9,-0.03,3.32
2017-09-30 00:00:00,96.15,3.97,-0.07,3.36
2017-08-31 00:00:00,96.22,3.58,0.35,3.43
2017-07-31 00:00:00,95.89,2.68,0.03,3.07
2017-06-30 00:00:00,95.86,2.97,0.22,3.05
2017-05-31 00:00:00,95.65,2.73,0.33,2.82
2017-04-30 00:00:00,95.34,3.23,0.3,2.48
2017-03-31 00:00:00,95.05,3.39,0.44,2.17
2017-02-28 00:00:00,94.64,3.9,0.93,1.73
