Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-03-31 00:00:00,158.48229,3.64877,0.50534,1.86549
2026-02-28 00:00:00,157.68544,3.53098,0.54961,1.35331
2026-01-31 00:00:00,156.82352,3.85943,0.7993,0.7993
2025-12-31 00:00:00,155.57997,3.49401,0.25572,3.49401
2025-11-30 00:00:00,155.18313,4.39688,0.0059,3.23003
2025-10-31 00:00:00,155.17398,4.51022,0.25783,3.22395
2025-09-30 00:00:00,154.77492,4.17479,0.15851,2.95849
2025-08-31 00:00:00,154.52997,3.47203,0.39311,2.79554
2025-07-31 00:00:00,153.92489,3.32872,-0.0087,2.39303
2025-06-30 00:00:00,153.93828,3.19474,-0.04044,2.40194
2025-05-31 00:00:00,154.00056,3.29785,0.16171,2.44337
2025-04-30 00:00:00,153.75192,3.64899,0.55507,2.27797
2025-03-31 00:00:00,152.9032,3.70952,0.39112,1.71339
2025-02-28 00:00:00,152.30749,3.88878,0.86861,1.31712
2025-01-31 00:00:00,150.99593,3.64491,0.44465,0.44465
2024-12-31 00:00:00,150.3275,4.64255,1.13033,4.64255
2024-11-30 00:00:00,148.64729,4.84468,0.11447,3.47296
2024-10-31 00:00:00,148.47733,5.72558,-0.06395,3.35465
2024-09-30 00:00:00,148.57234,6.30713,-0.51715,3.42079
2024-08-31 00:00:00,149.34468,7.36261,0.25406,3.95841
2024-07-31 00:00:00,148.96622,7.81325,-0.13835,3.69496
2024-06-30 00:00:00,149.1726,8.70781,0.05943,3.83862
2024-05-31 00:00:00,149.08399,9.01397,0.50219,3.77694
2024-04-30 00:00:00,148.33904,9.3476,0.61379,3.25839
2024-03-31 00:00:00,147.4341,9.48501,0.56464,2.62846
2024-02-29 00:00:00,146.6063,10.1317,0.63183,2.05223
2024-01-31 00:00:00,145.68581,10.77494,1.41148,1.41148
2023-12-31 00:00:00,143.65811,10.68503,1.32568,10.68503
2023-11-30 00:00:00,141.77858,10.97322,0.95563,9.2369
2023-10-31 00:00:00,140.43652,10.88105,0.48575,8.20288
2023-09-30 00:00:00,139.75764,11.3027,0.47057,7.67982
2023-08-31 00:00:00,139.10307,11.42407,0.67487,7.17549
2023-07-31 00:00:00,138.1706,12.30469,0.69023,6.45705
2023-06-30 00:00:00,137.22344,13.05935,0.34124,5.72728
2023-05-31 00:00:00,136.75678,13.31225,0.80977,5.36773
2023-04-30 00:00:00,135.65825,13.39884,0.74023,4.52134
2023-03-31 00:00:00,134.66144,14.33404,1.15864,3.75333
2023-02-28 00:00:00,133.11907,14.55525,1.21959,2.56497
2023-01-31 00:00:00,131.51513,15.21819,1.32917,1.32917
2022-12-31 00:00:00,129.79,15.53013,1.5895,15.53013
2022-11-30 00:00:00,127.75927,15.28167,0.87178,13.72252
2022-10-31 00:00:00,126.65511,15.15927,0.86788,12.73967
2022-09-30 00:00:00,125.56536,14.3827,0.58012,11.76965
2022-08-31 00:00:00,124.84113,14.28361,1.47053,11.12499
2022-07-31 00:00:00,123.0319,13.10548,1.36684,9.51454
2022-06-30 00:00:00,121.37293,11.79894,0.56569,8.03784
2022-05-31 00:00:00,120.69019,11.43933,0.88681,7.43011
2022-04-30 00:00:00,119.62931,11.18747,1.57104,6.48579
2022-03-31 00:00:00,117.77896,10.3631,1.35435,4.83873
2022-02-28 00:00:00,116.20513,9.60881,1.80535,3.43782
2022-01-31 00:00:00,114.14442,8.85886,1.60352,1.60352
2021-12-31 00:00:00,112.34298,7.46631,1.37101,7.46631
2021-11-30 00:00:00,110.82358,6.77602,0.76469,6.01286
2021-10-31 00:00:00,109.98256,5.59598,0.18768,5.20834
2021-09-30 00:00:00,109.77653,5.12837,0.49299,5.01126
2021-08-31 00:00:00,109.238,4.40393,0.42449,4.49611
2021-07-31 00:00:00,108.77625,3.67421,0.1959,4.05441
2021-06-30 00:00:00,108.56358,3.41244,0.24222,3.85096
2021-05-31 00:00:00,108.30126,2.80403,0.6588,3.60003
2021-04-30 00:00:00,107.59244,1.86029,0.81797,2.92198
2021-03-31 00:00:00,106.7195,1.742,0.66163,2.08694
2021-02-28 00:00:00,106.01805,1.75629,1.10879,1.41593
2021-01-31 00:00:00,104.85542,1.16842,0.30377,0.30377
2020-12-31 00:00:00,104.53787,0.908,0.71987,0.908
2020-11-30 00:00:00,103.79071,0.53931,-0.34891,0.18679
2020-10-31 00:00:00,104.15411,1.07162,-0.25599,0.53757
2020-09-30 00:00:00,104.42141,1.48303,-0.19951,0.7956
2020-08-31 00:00:00,104.63016,1.61435,-0.27742,0.9971
2020-07-31 00:00:00,104.92123,1.57943,-0.05709,1.27806
2020-06-30 00:00:00,104.98116,2.06922,-0.34754,1.33591
2020-05-31 00:00:00,105.34729,2.52994,-0.26525,1.68933
2020-04-30 00:00:00,105.62746,2.92831,0.7009,1.95977
2020-03-31 00:00:00,104.89227,3.05072,0.67576,1.25011
2020-02-29 00:00:00,104.18821,3.2939,0.52467,0.57049
2020-01-31 00:00:00,103.64442,3.28437,0.04559,0.04559
2019-12-31 00:00:00,103.5972,3.5972,0.35186,3.5972
2019-11-30 00:00:00,103.23396,3.44271,0.1787,3.23396
2019-10-31 00:00:00,103.04981,3.54057,0.15003,3.04981
2019-09-30 00:00:00,102.89544,3.69974,-0.07038,2.89544
2019-08-31 00:00:00,102.9679,3.90666,-0.31168,2.9679
2019-07-31 00:00:00,103.28984,4.45968,0.42482,3.28984
2019-06-30 00:00:00,102.85291,4.14529,0.10226,2.85291
