Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-03-31 00:00:00,153.57779,5.46371,0.72282,3.03634
2026-02-28 00:00:00,152.47566,5.30447,1.0873,2.29692
2026-01-31 00:00:00,150.83562,5.36449,1.1966,1.1966
2025-12-31 00:00:00,149.05206,5.0223,0.17282,5.0223
2025-11-30 00:00:00,148.7949,5.56396,0.07273,4.8411
2025-10-31 00:00:00,148.68676,5.99073,0.32677,4.76491
2025-09-30 00:00:00,148.20249,5.5189,0.4755,4.42368
2025-08-31 00:00:00,147.50112,5.42678,-0.0198,3.9295
2025-07-31 00:00:00,147.53032,5.045,0.53671,3.95008
2025-06-30 00:00:00,146.74274,4.61713,0.11061,3.39515
2025-05-31 00:00:00,146.58062,4.85322,0.18053,3.28091
2025-04-30 00:00:00,146.31648,5.06502,0.47728,3.0948
2025-03-31 00:00:00,145.62145,5.33212,0.57074,2.60509
2025-02-28 00:00:00,144.79505,5.30484,1.14492,2.0228
2025-01-31 00:00:00,143.15603,4.87584,0.86794,0.86794
2024-12-31 00:00:00,141.92421,4.79819,0.68948,4.79819
2024-11-30 00:00:00,140.95237,4.61346,0.4773,4.08057
2024-10-31 00:00:00,140.2828,4.25581,-0.11984,3.58616
2024-09-30 00:00:00,140.45113,4.32339,0.38778,3.71045
2024-08-31 00:00:00,139.90859,4.40018,-0.38186,3.30984
2024-07-31 00:00:00,140.44489,5.41592,0.12721,3.70585
2024-06-30 00:00:00,140.26646,5.68839,0.33652,3.57409
2024-05-31 00:00:00,139.79601,5.45013,0.38289,3.22671
2024-04-30 00:00:00,139.26279,5.36398,0.73272,2.83298
2024-03-31 00:00:00,138.24981,5.17252,0.54469,2.08498
2024-02-29 00:00:00,137.50085,5.57115,0.73287,1.53194
2024-01-31 00:00:00,136.50048,6.3695,0.79326,0.79326
2023-12-31 00:00:00,135.4262,7.18803,0.512,7.18803
2023-11-30 00:00:00,134.73635,8.01405,0.13379,6.64203
2023-10-31 00:00:00,134.55634,8.69304,-0.0551,6.49955
2023-09-30 00:00:00,134.63052,9.39343,0.46168,6.55827
2023-08-31 00:00:00,134.01182,9.84536,0.58735,6.06857
2023-07-31 00:00:00,133.2293,10.25548,0.38602,5.44922
2023-06-30 00:00:00,132.71699,11.00888,0.11033,5.04373
2023-05-31 00:00:00,132.57073,11.26548,0.30087,4.92797
2023-04-30 00:00:00,132.17306,11.76848,0.54968,4.61322
2023-03-31 00:00:00,131.4505,12.48554,0.92577,4.04132
2023-02-28 00:00:00,130.24473,12.72233,1.49464,3.08697
2023-01-31 00:00:00,128.32671,12.83895,1.56888,1.56888
2022-12-31 00:00:00,126.34451,13.56096,1.28657,13.56096
2022-11-30 00:00:00,124.73966,13.21682,0.76324,12.11848
2022-10-31 00:00:00,123.7948,13.2031,0.58891,11.26922
2022-09-30 00:00:00,123.07003,12.54706,0.87671,10.61779
2022-08-31 00:00:00,122.00044,12.13853,0.96291,9.65642
2022-07-31 00:00:00,120.83689,11.52792,1.07198,8.6106
2022-06-30 00:00:00,119.55529,10.51035,0.34173,7.45867
2022-05-31 00:00:00,119.14812,10.17427,0.7543,7.0927
2022-04-30 00:00:00,118.25611,10.90111,1.19476,6.29094
2022-03-31 00:00:00,116.85991,10.35505,1.13823,5.03601
2022-02-28 00:00:00,115.54475,9.84373,1.59965,3.85391
2022-01-31 00:00:00,113.72554,8.9445,2.21878,2.21878
2021-12-31 00:00:00,111.257,7.03856,0.97963,7.03856
2021-11-30 00:00:00,110.17767,6.4369,0.75104,6.00016
2021-10-31 00:00:00,109.35636,5.41333,0.00597,5.20999
2021-09-30 00:00:00,109.34984,5.4844,0.51054,5.20371
2021-08-31 00:00:00,108.7944,5.33386,0.41316,4.66934
