Fecha,Índice ,Variación mensual (%),Variación anual (%),Variación año corrido (%)
2026-03-31 00:00:00,156.94121,0.78085,5.55891,3.06748
2026-02-28 00:00:00,155.72524,1.07706,5.29003,2.26891
2026-01-31 00:00:00,154.06586,1.17916,5.3536,1.17916
2025-12-31 00:00:00,152.27036,0.26681,5.09988,5.09988
2025-11-30 00:00:00,151.86516,0.07198,5.30107,4.82021
2025-10-31 00:00:00,151.75593,0.18418,5.51223,4.74481
2025-09-30 00:00:00,151.47693,0.31963,5.17674,4.55225
2025-08-31 00:00:00,150.9943,0.18768,5.09558,4.21913
2025-07-31 00:00:00,150.71144,0.27625,4.90047,4.02389
2025-06-30 00:00:00,150.29625,0.10318,4.82007,3.73732
2025-05-31 00:00:00,150.14133,0.32007,5.05211,3.63039
2025-04-30 00:00:00,149.66231,0.66311,5.16229,3.29976
2025-03-31 00:00:00,148.67643,0.52414,5.09,2.61928
2025-02-28 00:00:00,147.90121,1.13808,5.27659,2.08422
2025-01-31 00:00:00,146.23692,0.93549,5.22298,0.93549
2024-12-31 00:00:00,144.88157,0.45875,5.20306,5.20306
2024-11-30 00:00:00,144.21996,0.27265,5.19736,4.72265
2024-10-31 00:00:00,143.82781,-0.13437,5.40613,4.4379
2024-09-30 00:00:00,144.02132,0.24222,5.80878,4.57842
2024-08-31 00:00:00,143.67332,0.00168,6.12045,4.32572
2024-07-31 00:00:00,143.6709,0.1994,6.86004,4.32396
2024-06-30 00:00:00,143.38499,0.32478,7.18247,4.11635
2024-05-31 00:00:00,142.92082,0.42529,7.15692,3.7793
2024-04-30 00:00:00,142.31557,0.59391,7.16328,3.33981
2024-03-31 00:00:00,141.47534,0.70262,7.36268,2.72969
2024-02-29 00:00:00,140.48823,1.08658,7.73738,2.01293
2024-01-31 00:00:00,138.97812,0.91639,8.34657,0.91639
2023-12-31 00:00:00,137.71611,0.4533,9.27605,9.27605
2023-11-30 00:00:00,137.09466,0.47165,10.14863,8.78294
2023-10-31 00:00:00,136.45109,0.24712,10.47863,8.27228
2023-09-30 00:00:00,136.11472,0.5375,10.99432,8.00537
2023-08-31 00:00:00,135.38702,0.69863,11.42734,7.42795
2023-07-31 00:00:00,134.44773,0.50173,11.78492,6.68264
2023-06-30 00:00:00,133.77654,0.30087,12.12962,6.15005
2023-05-31 00:00:00,133.37525,0.43124,12.36026,5.83164
2023-04-30 00:00:00,132.80255,0.78109,12.82287,5.37721
2023-03-31 00:00:00,131.77328,1.05408,13.34433,4.5605
2023-02-28 00:00:00,130.39878,1.65816,13.27902,3.46984
2023-01-31 00:00:00,128.27183,1.78213,13.25198,1.78213
2022-12-31 00:00:00,126.02588,1.25543,13.12247,13.12247
2022-11-30 00:00:00,124.46333,0.77265,12.53146,11.7199
2022-10-31 00:00:00,123.50904,0.71506,12.22175,10.86332
2022-09-30 00:00:00,122.63215,0.92972,11.43989,10.07621
2022-08-31 00:00:00,121.50252,1.02178,10.83598,9.06224
2022-07-31 00:00:00,120.27359,0.81163,10.20582,7.95914
2022-06-30 00:00:00,119.30527,0.50718,9.67383,7.08996
2022-05-31 00:00:00,118.70323,0.84474,9.06678,6.54956
2022-04-30 00:00:00,117.70889,1.24689,9.2341,5.65703
2022-03-31 00:00:00,116.25926,0.99585,8.52787,4.35583
2022-02-28 00:00:00,115.11292,1.63389,8.00519,3.32685
2022-01-31 00:00:00,113.26233,1.66574,6.9446,1.66574
2021-12-31 00:00:00,111.40659,0.72642,5.62267,5.62267
2021-11-30 00:00:00,110.60314,0.4953,5.25894,4.86093
2021-10-31 00:00:00,110.05802,0.01336,4.58354,4.34412
2021-09-30 00:00:00,110.04332,0.38276,4.51017,4.33018
2021-08-31 00:00:00,109.62372,0.44742,4.44102,3.93236
2021-07-31 00:00:00,109.13542,0.32499,3.97009,3.46942
2021-06-30 00:00:00,108.78189,-0.04914,3.63476,3.13424
2021-05-31 00:00:00,108.83537,0.99945,3.29566,3.18494
2021-04-30 00:00:00,107.75837,0.5923,1.94778,2.16386
2021-03-31 00:00:00,107.12387,0.50944,1.50655,1.56231
2021-02-28 00:00:00,106.58091,0.63587,1.5631,1.04753
2021-01-31 00:00:00,105.90748,0.40906,1.59721,0.40906
2020-12-31 00:00:00,105.47602,0.37956,1.61045,1.61045
2020-11-30 00:00:00,105.07719,-0.14954,1.48947,1.22623
2020-10-31 00:00:00,105.23455,-0.0568,1.74814,1.37784
2020-09-30 00:00:00,105.29436,0.31634,1.96742,1.43545
2020-08-31 00:00:00,104.96232,-0.0055,1.8781,1.11558
2020-07-31 00:00:00,104.96809,0.00142,1.97118,1.12114
2020-06-30 00:00:00,104.9666,-0.37618,2.19332,1.1197
2020-05-31 00:00:00,105.36296,-0.31847,2.85408,1.50154
2020-04-30 00:00:00,105.69958,0.15694,3.50642,1.82582
2020-03-31 00:00:00,105.53395,0.56544,3.85593,1.66626
2020-02-29 00:00:00,104.94058,0.66966,3.72005,1.09463
2020-01-31 00:00:00,104.24251,0.42215,3.62228,0.42215
2019-12-31 00:00:00,103.8043,0.26005,3.8043,3.8043
2019-11-30 00:00:00,103.53506,0.10495,3.84291,3.53506
