Fecha,Variación Trimestral Anual,Variación Año Corrido
2006-I,6.38,6.38
2006-II,5.32,5.84
2006-III,7.65,6.46
2006-IV,7.40,6.72
2007-I,6.71,6.71
2007-II,6.86,6.79
2007-III,6.85,6.81
2007-IV,6.54,6.74
2008-I,5.17,5.17
2008-II,4.79,4.98
2008-III,3.32,4.40
2008-IV,0.28,3.28
2009-I,0.15,0.15
2009-II,0.70,0.42
2009-III,0.53,0.46
2009-IV,3.04,1.14
2010-I,3.88,3.88
2010-II,4.62,4.26
2010-III,4.05,4.19
2010-IV,5.34,4.49
2011-I,6.80,6.80
2011-II,6.78,6.79
2011-III,7.92,7.18
2011-IV,6.33,6.95
2012-I,6.14,6.14
2012-II,4.85,5.48
2012-III,2.25,4.36
2012-IV,2.70,3.91
2013-I,2.38,2.38
2013-II,5.37,3.90
2013-III,6.25,4.69
2013-IV,6.35,5.13
2014-I,6.60,6.60
2014-II,3.43,4.97
2014-III,4.39,4.77
2014-IV,3.76,4.50
2015-I,2.83,2.83
2015-II,3.42,3.13
2015-III,3.58,3.28
2015-IV,2.06,2.96
2016-I,2.37,2.37
2016-II,2.12,2.25
2016-III,1.56,2.01
2016-IV,2.30,2.09
2017-I,1.07,1.07
2017-II,1.27,1.17
2017-III,1.69,1.35
2017-IV,1.39,1.36
2018-I,1.65,1.65
2018-II,2.75,2.21
2018-III,2.88,2.44
2018-IV,2.91,2.56
2019-I,3.48,3.48
2019-II,3.08,3.27
2019-III,3.13,3.22
2019-IV,3.09,3.19
2020-I,0.35,0.35
2020-II,-16.71,-8.33
2020-III,-9.08,-8.59
2020-IV,-3.31,-7.19
2021-I,1.50,1.50
2021-II,18.42,9.32
2021-III,13.32,10.69
2021-IV,11.08,10.80
2022-I,8.11,8.11
2022-II,12.39,10.25
2022-III,7.40,9.25
2022-IV,2.33,7.33
2023-I,2.81,2.81
2023-II,0.41,1.58
2023-III,-0.45,0.88
2023-IV,0.73,0.84
2024-I,0.32,0.32
2024-II,1.60,0.96
2024-III,1.61,1.18
2024-IV,2.36,1.49
2025-I,2.59,2.59
2025-II,2.12,2.35
2025-III,3.60,2.78
2025-IV,2.27,2.64
