Fecha,Crecimiento,PIB
31/12/1975,-,183808.95
31/12/1976,4.78,192586.43
31/12/1977,3.68,199681.96
31/12/1978,8.55,216761.09
31/12/1979,5.49,228651.24
31/12/1980,4.63,239233.96
31/12/1981,2,244009.08
31/12/1982,1.29,247164.59
31/12/1983,1.74,251460.93
31/12/1984,3.64,260616.96
31/12/1985,3.1,268700.09
31/12/1986,5.85,284408.05
31/12/1987,5.39,299727.27
31/12/1988,4.68,313764.87
31/12/1989,3.13,323597.23
31/12/1990,2.9,332996.08
31/12/1991,2.75,342151.83
31/12/1992,3.37,353696.23
31/12/1993,5.69,373821.98
31/12/1994,5.25,393444.63
31/12/1995,4.69,411887.96
31/12/1996,4.01,428394.88
31/12/1997,3.5,443405.49
31/12/1998,0.37,445056.83
31/12/1999,-4.5,425021.96
31/12/2000,0.97,429158.7
31/12/2001,2.97,441906.77
31/12/2002,1.99,450707.52
31/12/2003,4.56,471264.17
31/12/2004,4.25,491303.07
31/12/2005,4.79,514853
31/12/2006,6.72,549435
31/12/2007,6.74,586457
31/12/2008,3.28,605713
31/12/2009,1.14,612616
31/12/2010,4.49,640151
31/12/2011,6.95,684628
31/12/2012,3.91,711415
31/12/2013,5.13,747939
31/12/2014,4.5,781589
31/12/2015,2.96,804692
31/12/2016,2.09,821489
31/12/2017,1.36,832656
31/12/2018,2.56,854008
31/12/2019,3.28,881224
31/12/2020,-7.19,817900
31/12/2021,10.8,906243
31/12/2022,7.33,972655
31/12/2023,0.84,980843
31/12/2024,1.49,995490
31/12/2025,2.57,1021072.92
