Concepto,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV
Remuneración de los asalariados,67832,70403,72793,80533,73150,75265,78469,85534,78101,81696,84766,91554,84328,88889,92600,99239,87290,93090,88687,103421,90056,102305,100424,113103,100446,119006,113846,126395,112870,135546,129082,146332,127487,147357,140599,161840,137702,161424,156835,176309
Impuestos menos subvenciones,30424,22845,24502,20997,33045,24070,29089,22974,37942,24466,29622,26063,39903,28029,33252,28481,41711,18673,26138,26087,39563,30355,38581,35824,56229,38613,49499,43424,64900,42433,50176,43849,67290,43182,52892,48906,76248,47734,60443,51670
Excedente Bruto de Explotación,68248,72420,76584,80428,72413,77345,80551,85747,75527,84630,88527,93054,81604,89941,93101,97404,81950,65203,83909,88411,88351,91666,104983,120230,108871,127727,131143,141215,126664,130788,131649,138743,124779,134192,139171,146855,132828,138843,145239,151287
"Agricultura, ganadería, caza, silvicultura y pesca (EBE)",2330,2326,2433,2571,2271,2375,2444,2505,2285,2344,2363,2219,2522,2473,2475,2479,2021,2495,2892,3057,2387,3141,3992,5177,3159,4349,5262,6604,4292,5104,5838,6381,3566,4473,6245,7824,4768,6213,8184,8147
Explotación de minas y canteras (EBE),5740,6187,6654,7706,7245,7402,8254,9701,9290,10467,11201,11213,9292,10722,10044,10975,7890,3231,5731,6558,7913,8811,11872,16073,16459,21583,24653,22747,18313,15366,15505,14895,11816,12639,12917,13246,11008,9819,10916,9568
Industrias manufactureras (EBE),12993,14055,14683,15048,12868,13308,14347,14606,12344,14240,15406,15901,13084,14719,16611,16546,12733,7731,14936,14752,15152,13360,21031,21312,19256,21198,24556,24944,22826,21504,23631,22659,20540,21091,23641,23085,21671,20581,24324,22206
"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental (EBE)",5633,5207,5623,5596,5581,5755,6181,6260,6115,6453,6820,6799,6779,6907,7412,7821,7946,7168,7961,8438,8284,8620,9598,10121,10060,10669,11966,12635,12001,13001,14449,15261,14555,14869,15714,17008,14328,14551,15465,15019
Construcción (EBE),3774,4933,4825,4322,4072,5392,5042,4559,4157,5368,5336,4856,5315,5871,5059,5082,4618,1858,3656,3276,4197,2594,2997,3265,3774,2939,3611,3125,4438,3016,3916,3983,5140,3316,5098,4440,5510,3769,5720,4872
Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida (EBE),8614,9255,10406,11651,8952,9674,10456,11236,9022,10556,11276,12287,9487,11791,12940,12854,10213,8430,9493,10176,9529,13514,10742,14609,13744,20519,13247,15285,16076,22451,14153,14281,15820,19223,14364,16106,15533,20452,14529,17856
Información y comunicaciones (EBE),3272,3579,3835,4292,3526,3947,4000,4767,3561,4164,4366,4925,3527,4118,4093,4797,3533,3562,3850,3831,3326,3807,4023,4201,3367,3861,3897,3814,2903,3224,3402,3433,2367,3102,3379,3366,2148,2704,3045,3336
