Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
"Agricultura, ganadería, caza, silvicultura y pesca",8790,9236,10132,9751,8923,9217,10502,10075,9278,9552,11017,10392,9495,9575,10899,9947,9202,9304,11099,10217,9170,9530,10815,10428,9794,9702,10879,10332,9961,10219,11143,10403,10306,11360,11956,11213,11098,11270,12186,11586,11448,11580,13023,12074,11377,11692,13220,13152,12649,12428,14008,13113,12765,12914,14141,13211,12948,13064,14643,13816,13676,12926,14752,14185,14228,13763,15220,14758,14019,14052,15096,14275,14140,13850,15307,15091,14533,14866,16619,15948,15374,15415,17213,15893,15164,15088
"Cultivos agrícolas transitorios; cultivos agrícolas permanentes; Propagación de plantas (actividades de viveros, excepto viveros forestales); actividades de apoyo a la agricultura y la ganadería, y posteriores a la cosecha, explotación mixta (agrícola y pecuaria) y caza ordinaria y mediante trampas y actividades de servicios conexas",4844,5197,6250,5552,4884,4951,6277,5617,5014,5231,6560,5825,4934,5167,6545,5506,4704,5201,7008,6147,5074,5149,6683,5956,5300,5506,6674,6002,5693,5751,6764,6013,5767,6410,7127,6422,6330,6394,7037,6403,6515,6460,7623,6741,6295,6444,7937,7663,7364,7349,8302,7598,7439,7420,8411,7663,7522,7399,8674,7750,8112,7231,8692,7970,8382,7924,8922,8248,8256,8263,9233,8076,8297,8215,9513,8600,8773,8773,10115,8841,8823,9186,10138,9097,9146,8786
Cultivo permanente de café,1023,994,702,1126,990,1043,969,1152,990,1083,1035,1228,1237,971,812,952,1019,704,611,732,742,933,689,1051,1007,689,653,785,758,822,706,779,884,1080,1030,1173,1035,1171,1260,1343,1125,1298,1417,1460,1215,1340,1297,1638,1358,1112,1497,1503,1288,1271,1401,1434,1321,1399,1576,1686,1061,1320,1357,1589,1310,1099,1326,1405,1034,1037,1061,1100,1105,970,994,1331,1018,1148,1267,1681,1308,965,1398,1330,906,1123
Ganadería,2320,2462,2539,2536,2374,2515,2631,2751,2590,2609,2679,2755,2610,2748,2782,2894,2717,2747,2745,2787,2613,2716,2747,2826,2717,2857,2843,2930,2785,2913,2949,3005,2929,3055,2975,2971,2914,2933,3007,3106,2942,3026,3101,3196,2993,3096,3114,3214,3054,3200,3310,3392,3199,3356,3415,3431,3232,3357,3504,3636,3488,3289,3647,3835,3677,3724,3883,3939,3712,3832,3878,3878,3645,3673,3848,3959,3765,3921,4087,4244,4132,4234,4398,4556,4404,4437
Silvicultura y extracción de madera,331,324,409,268,343,341,410,257,341,344,421,260,343,352,412,260,356,352,427,259,366,378,411,267,352,384,447,311,375,412,451,355,362,475,489,325,448,472,502,337,438,489,513,356,434,496,533,375,478,511,529,338,469,507,533,369,506,518,557,382,499,546,576,408,322,552,635,598,563,519,551,509,554,525,529,519,477,531,535,534,506,513,581,538,536,513
Pesca y acuicultura,277,299,345,331,347,393,281,325,341,311,389,380,361,344,402,348,395,304,346,335,374,336,327,318,345,311,346,356,383,347,373,302,370,366,358,330,378,307,365,398,427,307,370,321,440,316,340,263,390,262,366,277,364,356,382,308,362,387,334,363,488,537,456,397,499,507,466,587,550,504,479,791,590,587,481,673,545,546,601,644,668,706,721,503,538,449
Explotación de minas y canteras,6592,6869,6834,7134,6865,6797,7082,7314,6722,6879,7124,7709,7463,7590,7913,8135,8055,8417,8699,9488,9241,9721,9488,9977,10177,10931,11206,11660,11435,11507,11401,11991,11656,12099,12197,12841,12150,11648,11904,12434,11821,11981,11604,12220,11687,11380,11476,11710,10729,10852,10732,11279,10228,10505,10740,11395,10718,10561,10773,11641,10363,8344,8804,9545,8911,8786,9023,10260,9101,9066,9640,9711,9398,9382,9862,9839,9275,9159,9348,9386,8858,8181,8757,8922,8790,8527
Extracción de carbón de piedra y lignito,1444,1547,1543,1572,1680,1439,1741,1912,1670,1843,1740,1987,1919,1889,1880,1918,1824,1936,1879,1939,1939,2134,1839,1809,2075,2202,2284,2296,2546,2339,2095,2219,1781,2186,2047,2814,2508,2174,2049,2369,2276,2236,2014,2307,2302,2268,2694,2767,2513,2433,2427,2623,2350,2266,2299,2532,2314,2109,2187,2719,2097,1102,1280,1542,1553,1412,1398,2126,1674,1572,1731,1562,1657,1589,1750,1691,1679,1496,1550,1582,1596,1227,1407,1490,1361,1426
Extracción de petróleo crudo y gas natural y actividades de apoyo para la extracción de petróleo y de gas natural,4046,4127,4110,4135,4074,4122,4068,4059,3946,3989,4092,4340,4435,4584,4847,5021,5099,5295,5454,5908,6056,6273,6413,6661,6972,7501,7616,7833,7668,7732,7781,8126,8388,8411,8639,8530,8355,8091,8305,8384,8322,8291,8000,8239,7881,7511,7134,7180,6954,7121,7200,7257,6994,7224,7319,7474,7390,7480,7453,7504,7354,6342,6332,6471,6211,5993,6276,6297,6160,6275,6340,6483,6334,6476,6552,6570,6405,6500,6434,6333,6154,6045,6217,6147,5985,5886
Extracción de minerales metalíferos,935,1068,981,1174,925,1127,1066,959,920,849,1041,1023,948,888,888,850,954,876,1081,1263,1076,1079,936,1112,916,892,912,1013,1026,1118,1158,1130,1019,1009,880,968,982,873,929,1035,760,886,981,965,984,1027,1024,1029,811,806,651,714,534,635,670,735,652,586,701,772,633,681,844,1026,781,903,862,965,769,782,961,1044,871,888,960,991,720,834,923,931,737,677,757,782,913,781
