Fecha,Concepto,Rama,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2006,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.9677317068516516,1.9576389328415331,1.6737725463914899,1.2220690403798642,1.762288586443077,1.0526841742856732,1.6628448560119153,1.7580758145675333,1.9173117062189817,2.2270235392330022,2.481376000134844,2.206607323532083
2007,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.3874967990730056,1.0100805113535358,1.0126766196016064,1.6497256164615521,1.2153600197198244,1.6631896130877948,1.4720312852362554,1.5999214644990332,2.039130506736143,1.9853508946976888,2.33275238498436,2.664257584670011
2008,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",12.879162479926336,7.531504469545226,6.728213990583015,5.960820193749811,5.682880684171593,5.273639007072404,5.341954947210638,5.5419150284644445,5.110183964463701,5.167115434434109,4.233940854299419,3.991110978538174
2009,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-3.6707193475342876,1.246844828639638,2.527176079109566,3.7334775284049613,4.001342865000311,3.934764537058129,4.645452876098744,4.286178024487938,4.561215303227357,4.572868890802255,5.3807726800594935,6.167084976694142
2010,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",8.086744345084767,6.488594869700563,7.136589527928479,6.933768571508139,7.598925437550889,7.919286714248287,7.028249473458658,6.950406105187227,6.619105550503562,6.646881072376516,6.1917262862682065,5.862884160756508
2011,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",9.567576860995388,9.405502408238831,8.565474782777983,8.228138398391849,7.915271246102364,8.239206817457713,8.490515544024518,9.126152986844716,8.993113293435485,9.087306980327241,9.454763893532771,9.148216678364037
2012,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",9.193056499481855,7.321410206268396,7.364414939315694,7.358897489603706,6.992306338647666,6.446138496611866,6.136238584927838,4.904103191514977,5.047304876633234,4.760412632633162,4.603102406197152,4.370191970444523
2013,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",6.448177962458601,4.741390709974496,3.8703235415106008,4.059869798728116,4.762756546333762,4.983340375549702,5.6023521837450545,5.905279733045504,5.667245346979172,5.69968545764219,5.690137887435441,6.022044986109833
2014,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.2148724223383311,4.679642593376613,4.087300110678399,2.86792966211533,1.6799999709536735,1.345624205418133,0.7217659331651305,0.5829043689221436,0.6023434123073628,0.6557840058171678,0.2899152103129836,0.11833319246051133
2015,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",0.2919805527755557,-1.6227865403779447,-0.8800034031870609,0.7552700317431373,1.2700232745395539,1.2218399136484663,1.313715909240301,1.2942629955366556,1.2744768862380766,1.12117792001834,1.1375316510353457,1.045799915576211
2016,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-3.580274745051355,-0.851296021494548,-0.6756124377755697,-1.6313753850840271,-1.9872978156525534,-1.7369657697059182,-2.362016687465271,-1.2748551453588846,-0.7732008346055608,-0.6776856842909069,-0.21622079010612083,-0.0595294043927197
2017,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",2.752622224071729,1.8354242752134553,1.5722976565833733,0.9823760045460688,1.4240468794518506,2.061544320814207,2.594999478931186,2.099455832046033,1.6684507604474135,1.5929921348103164,1.1639805091024868,0.8391330699940198
