year,departamento,total,hombres,mujeres,indeterminado
2019,05 Antioquia,73035,37695,35333,7
2019,08 Atlántico,43121,22081,21039,1
2019,11 Bogotá,85075,43499,41571,5
2019,13 Bolívar,33865,17307,16554,4
2019,15 Boyacá,13261,6752,6508,1
2019,17 Caldas,8135,4168,3967,0
2019,18 Caquetá,6857,3635,3222,0
2019,19 Cauca,17011,8792,8216,3
2019,20 Cesar,23370,12045,11325,0
2019,23 Córdoba,25004,12940,12064,0
2019,25 Cundinamarca,35064,18152,16910,2
2019,27 Chocó,7018,3582,3436,0
2019,41 Huila,17187,8858,8329,0
2019,44 La Guajira,22162,11393,10761,8
2019,47 Magdalena,24629,12635,11992,2
2019,50 Meta,14646,7381,7264,1
2019,52 Nariño,16431,8255,8175,1
2019,54 Norte de Santander,23373,11971,11402,0
2019,63 Quindío,5340,2702,2638,0
2019,66 Risaralda,9916,5032,4877,7
2019,68 Santander,27388,14052,13331,5
2019,70 Sucre,14844,7677,7165,2
2019,73 Tolima,15930,8220,7709,1
2019,76 Valle del Cauca,47210,24259,22948,3
2019,81 Arauca,4516,2330,2186,0
2019,85 Casanare,5917,3017,2900,0
2019,86 Putumayo,4367,2273,2094,0
2019,88 Archipiélago de San Andrés y Providencia,769,397,372,0
2019,91 Amazonas,1179,594,585,0
2019,94 Guainía,960,456,504,0
2019,95 Guaviare,1262,676,586,0
2019,97 Vaupés,696,361,335,0
2019,99 Vichada,1530,769,761,0
2020,05 Antioquia,71783,36878,34903,2
2020,08 Atlántico,40007,20531,19474,2
2020,11 Bogotá,79322,40400,38916,6
2020,13 Bolívar,33416,17054,16361,1
2020,15 Boyacá,13396,6845,6550,1
2020,17 Caldas,7936,4093,3842,1
2020,18 Caquetá,6280,3237,3039,4
2020,19 Cauca,17779,9026,8748,5
2020,20 Cesar,23157,11907,11250,0
2020,23 Córdoba,24767,12945,11820,2
2020,25 Cundinamarca,34859,17712,17143,4
2020,27 Chocó,8604,4455,4148,1
2020,41 Huila,16811,8608,8202,1
2020,44 La Guajira,23562,11991,11568,3
2020,47 Magdalena,24042,12361,11679,2
2020,50 Meta,15350,7972,7374,4
2020,52 Nariño,16360,8351,8005,4
2020,54 Norte de Santander,22072,11271,10797,4
2020,63 Quindío,5432,2776,2655,1
2020,66 Risaralda,10039,5243,4794,2
2020,68 Santander,26216,13611,12604,1
2020,70 Sucre,14094,7214,6880,0
2020,73 Tolima,15984,8323,7661,0
2020,76 Valle del Cauca,46752,23838,22913,1
2020,81 Arauca,4145,2068,2077,0
2020,85 Casanare,6128,3163,2964,1
2020,86 Putumayo,4623,2378,2245,0
2020,88 Archipiélago de San Andrés y Providencia,759,393,366,0
2020,91 Amazonas,1133,607,524,2
2020,94 Guainía,1051,565,486,0
2020,95 Guaviare,1270,651,619,0
2020,97 Vaupés,672,366,304,2
2020,99 Vichada,1801,947,854,0
2021,05 Antioquia,70251,36263,33979,9
2021,08 Atlántico,38938,19998,18938,2
2021,11 Bogotá,66988,34116,32867,5
2021,13 Bolívar,35802,18290,17510,2
2021,15 Boyacá,12329,6279,6047,3
2021,17 Caldas,7869,4089,3778,2
2021,18 Caquetá,6663,3424,3230,9
2021,19 Cauca,18319,9400,8916,3
2021,20 Cesar,23806,12329,11475,2
2021,23 Córdoba,25975,13154,12819,2
2021,25 Cundinamarca,32009,16411,15595,3
2021,27 Chocó,9590,4888,4701,1
2021,41 Huila,17294,8691,8600,3
2021,44 La Guajira,25254,13008,12245,1
2021,47 Magdalena,23885,12118,11767,0
2021,50 Meta,15325,7977,7346,2
2021,52 Nariño,16120,8248,7871,1
2021,54 Norte de Santander,22325,11477,10848,0
2021,63 Quindío,5048,2607,2440,1
2021,66 Risaralda,9996,5052,4944,0
2021,68 Santander,25728,13258,12469,1
2021,70 Sucre,14877,7617,7260,0
2021,73 Tolima,15712,7920,7792,0
2021,76 Valle del Cauca,45171,23146,22025,0
2021,81 Arauca,4385,2212,2173,0
2021,85 Casanare,6192,3220,2972,0
2021,86 Putumayo,4825,2432,2393,0
2021,88 Archipiélago de San Andrés y Providencia,677,325,352,0
2021,91 Amazonas,1158,580,578,0
2021,94 Guainía,1316,685,631,0
2021,95 Guaviare,1377,692,685,0
2021,97 Vaupés,861,427,434,0
2021,99 Vichada,2018,1052,965,1
2022,05 Antioquia,66766,34224,32537,5
2022,08 Atlántico,36114,18466,17647,1
2022,11 Bogotá,64765,33094,31668,3
2022,13 Bolívar,33895,17322,16572,1
2022,15 Boyacá,12036,6035,5999,2
2022,17 Caldas,7728,3914,3814,0
2022,18 Caquetá,5836,2981,2855,0
2022,19 Cauca,16375,8365,8010,0
2022,20 Cesar,21498,10905,10591,2
2022,23 Córdoba,24207,12442,11764,1
2022,25 Cundinamarca,31155,15882,15270,3
2022,27 Chocó,7265,3604,3660,1
2022,41 Huila,16218,8344,7873,1
2022,44 La Guajira,22139,11314,10823,2
2022,47 Magdalena,21839,11193,10645,1
2022,50 Meta,14414,7407,6998,9
2022,52 Nariño,14078,7149,6929,0
2022,54 Norte de Santander,21834,11121,10712,1
2022,63 Quindío,4769,2449,2318,2
2022,66 Risaralda,9106,4703,4403,0
2022,68 Santander,24439,12600,11839,0
2022,70 Sucre,13637,7068,6568,1
2022,73 Tolima,14666,7490,7175,1
2022,76 Valle del Cauca,40862,20843,20016,3
2022,81 Arauca,4014,2070,1944,0
2022,85 Casanare,5806,2946,2860,0
2022,86 Putumayo,4590,2319,2271,0
2022,88 Archipiélago de San Andrés y Providencia,681,322,359,0
2022,91 Amazonas,1098,594,504,0
2022,94 Guainía,1244,618,626,0
2022,95 Guaviare,1256,615,641,0
2022,97 Vaupés,862,444,418,0
2022,99 Vichada,2035,1035,1000,0
2023,05 Antioquia,59017,30151,28862,4
2023,08 Atlántico,31727,16333,15394,0
2023,11 Bogotá,60912,31376,29533,3
2023,13 Bolívar,29953,15292,14661,0
2023,15 Boyacá,11327,5754,5570,3
2023,17 Caldas,6704,3463,3240,1
2023,18 Caquetá,5137,2619,2518,0
2023,19 Cauca,14115,7320,6792,3
