year,departamento,municipio,total,hombres,mujeres,indeterminado
2019,05 Antioquia,05001 Medellín,27140,14047,13089,4
2019,05 Antioquia,05002 Abejorral,146,72,74,0
2019,05 Antioquia,05004 Abriaquí,13,9,4,0
2019,05 Antioquia,05021 Alejandría,36,20,16,0
2019,05 Antioquia,05030 Amagá,241,142,99,0
2019,05 Antioquia,05031 Amalfi,256,139,117,0
2019,05 Antioquia,05034 Andes,393,199,194,0
2019,05 Antioquia,05036 Ángelópolis,42,24,18,0
2019,05 Antioquia,05038 Angostura,92,53,39,0
2019,05 Antioquia,05040 Anorí,224,127,97,0
2019,05 Antioquia,05042 Santafé de Antioquia,330,166,164,0
2019,05 Antioquia,05044 Anzá,92,48,44,0
2019,05 Antioquia,05045 Apartadó,2024,1038,986,0
2019,05 Antioquia,05051 Arboletes,500,259,241,0
2019,05 Antioquia,05055 Argelia,83,44,39,0
2019,05 Antioquia,05059 Armenia,28,15,13,0
2019,05 Antioquia,05079 Barbosa,448,244,204,0
2019,05 Antioquia,05086 Belmira,51,26,25,0
2019,05 Antioquia,05088 Bello,5098,2606,2492,0
2019,05 Antioquia,05091 Betania,99,50,49,0
2019,05 Antioquia,05093 Betulia,205,107,98,0
2019,05 Antioquia,05101 Ciudad Bolívar,274,153,121,0
2019,05 Antioquia,05107 Briceño,83,46,37,0
2019,05 Antioquia,05113 Buriticá,96,46,50,0
2019,05 Antioquia,05120 Cáceres,273,144,129,0
2019,05 Antioquia,05125 Caicedo,91,43,48,0
2019,05 Antioquia,05129 Caldas,835,424,411,0
2019,05 Antioquia,05134 Campamento,91,48,43,0
2019,05 Antioquia,05138 Cañasgordas,150,77,73,0
2019,05 Antioquia,05142 Caracolí,47,26,21,0
2019,05 Antioquia,05145 Caramanta,30,14,16,0
2019,05 Antioquia,05147 Carepa,943,465,478,0
2019,05 Antioquia,05148 El Carmen de Viboral,694,374,320,0
2019,05 Antioquia,05150 Carolina,24,11,13,0
2019,05 Antioquia,05154 Caucasia,1950,985,965,0
2019,05 Antioquia,05172 Chigorodó,1155,583,572,0
