Fecha,total,Total_Hombres,Total_Mujeres,Total_Indeterminado,Cabecera municipal_Hombres,Cabecera municipal_Mujeres,Cabecera municipal_Indeterminado,Centro poblado_Hombres,Centro poblado_Mujeres,Centro poblado_Indeterminado,Rural disperso_Hombres,Rural disperso_Mujeres,Rural disperso_Indeterminado,Sin información_Hombres,Sin información_Mujeres,Sin información_Indeterminado
2008,196943,112519,84394,30,95989,77188,8,3980,2076,0,12074,4944,16,476,186,6
2009,196933,113482,83449,2,97416,76522,1,3636,1917,1,11962,4839,0,468,171,0
2010,200524,114264,86250,10,98806,79297,6,3397,1856,0,11612,4930,3,449,167,1
2011,195823,111208,84590,25,97245,78175,14,2948,1661,1,10883,4720,9,132,34,1
2012,199756,113055,86654,47,98969,80327,26,3222,1792,1,10741,4499,18,123,36,2
2013,203071,114703,88355,13,101237,82272,5,3053,1752,0,10320,4315,8,93,16,0
2014,210051,116380,93648,23,102924,87154,5,3059,1860,0,10290,4608,16,107,26,2
2015,219472,121395,98037,40,107797,91460,19,3212,1922,0,10270,4641,19,116,14,2
2016,223078,123806,99242,30,110303,92879,11,3076,1796,0,10261,4539,19,166,28,0
2017,227624,125450,102119,55,109777,95020,27,3185,1831,2,12482,5266,26,6,2,0
2018,236932,130776,106075,81,113845,98617,38,3680,2021,5,12830,5361,28,421,76,10
2019,244355,134573,109689,93,117295,102166,37,3930,2131,3,12844,5282,30,504,110,23
2020,300853,171481,129288,84,153083,120304,29,4402,2554,1,13739,6382,25,257,48,29
2021,363089,205427,157596,66,184434,147222,33,4969,2945,3,15787,7391,19,237,38,11
2022,287251,159171,128030,50,139563,118160,28,4524,2642,0,14240,6775,14,844,453,8
2023,268411,147544,120827,40,128503,111251,27,4137,2510,0,13478,6150,10,1426,916,3
2024,275778,151018,124705,55,132243,115429,33,4084,2464,1,13492,6100,15,1199,712,6
2025,283378,156466,126878,34,137648,118015,17,3813,2505,1,14771,6325,14,234,33,2
