Fecha,Perspectiva,Concepto,Periodo,Valor
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Ene - Mar,20290.246815000002
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Feb - Abr,20572.397446666666
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Mar - May,20755.823148333333
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Abr - Jun,20880.578851
2015,TOTAL NACIONAL,Población ocupada Total Nacional,May - Jul,20838.200928666665
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Jun - Ago,20846.645693666665
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Jul - Sep,20837.969731333334
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Ago - Oct,21146.946153333334
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Sep - Nov,21374.991263666667
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Oct - Dic,21431.141728333332
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Nov - Ene,20965.088596999998
2015,TOTAL NACIONAL,Población ocupada Total Nacional,Dic - Feb,20645.700363666667
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Ene - Mar,20408.158357666667
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Feb - Abr,20692.519941
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Mar - May,20760.308860666668
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Abr - Jun,21007.336029666665
2016,TOTAL NACIONAL,Población ocupada Total Nacional,May - Jul,20823.113908666666
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Jun - Ago,20886.551959666667
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Jul - Sep,20843.953679333332
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Ago - Oct,21210.844437333333
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Sep - Nov,21407.481940333335
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Oct - Dic,21464.002815666667
2016,TOTAL NACIONAL,Población ocupada Total Nacional,Nov - Ene,21033.512476
