Fecha,Perspectiva,Sexo,Concepto,Valor
2022,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,5794.73
2023,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,5709.372
2024,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,5594.355
2025,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,5724.201
2022,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",3095.969
2023,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",3042.477
2024,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",3151.773
2025,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",3164.35
2022,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",2207.167
2023,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",2188.923
2024,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",2257.641
2025,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",2305.715
2022,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",5235.816
2023,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",5120.437
2024,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",5014.036
2025,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",5140.267
2022,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,401.496
2023,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,367.433
2024,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,336.253
2025,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,310.534
2022,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",51.633
2023,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",57.918
2024,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",54.163
2025,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",44.284
2022,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,190.81
2023,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,171.906
2024,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,134.322
2025,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,174.288
2022,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,2658.836
2023,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,2679.504
2024,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,2577.257
2025,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,2659.899
2022,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",1198.611
2023,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",1179.248
2024,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",1262.634
2025,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",1272.916
2022,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",765.356
2023,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",810.008
2024,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",836.391
2025,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",854.672
2022,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2389.203
2023,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2385.706
2024,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2279.501
2025,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2380.206
2022,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,129.164
2023,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,136.86
2024,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,103.768
