Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,Menos de 15 horas,128.033
2023,Total nacional,Menos de 15 horas,76.928
2024,Total nacional,Menos de 15 horas,81.085
2025,Total nacional,Menos de 15 horas,68.119
2022,Total nacional,De 15 a 29 horas,100.493
2023,Total nacional,De 15 a 29 horas,99.112
2024,Total nacional,De 15 a 29 horas,97.618
2025,Total nacional,De 15 a 29 horas,77.973
2022,Total nacional,30 horas y más,139.927
2023,Total nacional,30 horas y más,134.339
2024,Total nacional,30 horas y más,131.799
2025,Total nacional,30 horas y más,155.152
2022,Total nacional,No informa,0.929
2023,Total nacional,No informa,0.0
2024,Total nacional,No informa,0.077
2025,Total nacional,No informa,0.277
2022,Total cabeceras,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,Menos de 15 horas,45.797
2023,Total cabeceras,Menos de 15 horas,32.948
2024,Total cabeceras,Menos de 15 horas,33.946
2025,Total cabeceras,Menos de 15 horas,30.493
2022,Total cabeceras,De 15 a 29 horas,45.152
2023,Total cabeceras,De 15 a 29 horas,38.981
2024,Total cabeceras,De 15 a 29 horas,43.677
2025,Total cabeceras,De 15 a 29 horas,38.906
2022,Total cabeceras,30 horas y más,72.896
2023,Total cabeceras,30 horas y más,60.599
2024,Total cabeceras,30 horas y más,59.05
2025,Total cabeceras,30 horas y más,76.187
2022,Total cabeceras,No informa,0.0
2023,Total cabeceras,No informa,0.0
2024,Total cabeceras,No informa,0.077
2025,Total cabeceras,No informa,0.277
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,Menos de 15 horas,82.236
2023,Total centros poblados y rural disperso,Menos de 15 horas,43.981
2024,Total centros poblados y rural disperso,Menos de 15 horas,47.139
2025,Total centros poblados y rural disperso,Menos de 15 horas,37.626
2022,Total centros poblados y rural disperso,De 15 a 29 horas,55.341
2023,Total centros poblados y rural disperso,De 15 a 29 horas,60.131
2024,Total centros poblados y rural disperso,De 15 a 29 horas,53.941
2025,Total centros poblados y rural disperso,De 15 a 29 horas,39.067
2022,Total centros poblados y rural disperso,30 horas y más,67.032
2023,Total centros poblados y rural disperso,30 horas y más,73.74
2024,Total centros poblados y rural disperso,30 horas y más,72.749
2025,Total centros poblados y rural disperso,30 horas y más,78.964
2022,Total centros poblados y rural disperso,No informa,0.929
2023,Total centros poblados y rural disperso,No informa,0.0
2024,Total centros poblados y rural disperso,No informa,0.0
2025,Total centros poblados y rural disperso,No informa,0.0
