Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,Sin remuneración o ganancia,157.384
2023,Total nacional,Sin remuneración o ganancia,104.034
2024,Total nacional,Sin remuneración o ganancia,97.708
2025,Total nacional,Sin remuneración o ganancia,72.146
2022,Total nacional,Hasta 1/4 SMMLV,72.702
2023,Total nacional,Hasta 1/4 SMMLV,82.62
2024,Total nacional,Hasta 1/4 SMMLV,81.807
2025,Total nacional,Hasta 1/4 SMMLV,81.458
2022,Total nacional,Entre 1/4 y 1/2 SMMLV,68.642
2023,Total nacional,Entre 1/4 y 1/2 SMMLV,47.973
2024,Total nacional,Entre 1/4 y 1/2 SMMLV,70.857
2025,Total nacional,Entre 1/4 y 1/2 SMMLV,66.099
2022,Total nacional,Más de 1/2 SMMLV,69.906
2023,Total nacional,Más de 1/2 SMMLV,75.101
2024,Total nacional,Más de 1/2 SMMLV,57.274
2025,Total nacional,Más de 1/2 SMMLV,81.332
2022,Total nacional,No informa,0.748
2023,Total nacional,No informa,0.651
2024,Total nacional,No informa,2.934
2025,Total nacional,No informa,0.486
2022,Total cabeceras,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,Sin remuneración o ganancia,50.275
2023,Total cabeceras,Sin remuneración o ganancia,28.827
2024,Total cabeceras,Sin remuneración o ganancia,33.279
2025,Total cabeceras,Sin remuneración o ganancia,29.359
2022,Total cabeceras,Hasta 1/4 SMMLV,33.807
2023,Total cabeceras,Hasta 1/4 SMMLV,41.194
2024,Total cabeceras,Hasta 1/4 SMMLV,42.323
2025,Total cabeceras,Hasta 1/4 SMMLV,39.71
2022,Total cabeceras,Entre 1/4 y 1/2 SMMLV,39.429
2023,Total cabeceras,Entre 1/4 y 1/2 SMMLV,25.566
2024,Total cabeceras,Entre 1/4 y 1/2 SMMLV,32.684
2025,Total cabeceras,Entre 1/4 y 1/2 SMMLV,29.921
2022,Total cabeceras,Más de 1/2 SMMLV,39.585
2023,Total cabeceras,Más de 1/2 SMMLV,36.472
2024,Total cabeceras,Más de 1/2 SMMLV,26.241
2025,Total cabeceras,Más de 1/2 SMMLV,46.387
2022,Total cabeceras,No informa,0.748
2023,Total cabeceras,No informa,0.468
2024,Total cabeceras,No informa,2.223
2025,Total cabeceras,No informa,0.486
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,Sin remuneración o ganancia,107.109
2023,Total centros poblados y rural disperso,Sin remuneración o ganancia,75.207
2024,Total centros poblados y rural disperso,Sin remuneración o ganancia,64.429
2025,Total centros poblados y rural disperso,Sin remuneración o ganancia,42.787
2022,Total centros poblados y rural disperso,Hasta 1/4 SMMLV,38.895
2023,Total centros poblados y rural disperso,Hasta 1/4 SMMLV,41.426
2024,Total centros poblados y rural disperso,Hasta 1/4 SMMLV,39.484
2025,Total centros poblados y rural disperso,Hasta 1/4 SMMLV,41.748
2022,Total centros poblados y rural disperso,Entre 1/4 y 1/2 SMMLV,29.213
2023,Total centros poblados y rural disperso,Entre 1/4 y 1/2 SMMLV,22.406
2024,Total centros poblados y rural disperso,Entre 1/4 y 1/2 SMMLV,38.173
2025,Total centros poblados y rural disperso,Entre 1/4 y 1/2 SMMLV,36.178
2022,Total centros poblados y rural disperso,Más de 1/2 SMMLV,30.321
2023,Total centros poblados y rural disperso,Más de 1/2 SMMLV,38.629
2024,Total centros poblados y rural disperso,Más de 1/2 SMMLV,31.033
2025,Total centros poblados y rural disperso,Más de 1/2 SMMLV,34.945
2022,Total centros poblados y rural disperso,No informa,0.0
2023,Total centros poblados y rural disperso,No informa,0.183
2024,Total centros poblados y rural disperso,No informa,0.71
2025,Total centros poblados y rural disperso,No informa,0.0
