Fecha,Perspectiva,Grupo,Concepto,Periodo,Valor
2021,Total nacional,Población ocupada,Población ocupada,Ene - Mar,19787.210458666665
2021,Total nacional,Población ocupada,Población ocupada,Feb - Abr,20004.15751266667
2021,Total nacional,Población ocupada,Población ocupada,Mar - May,19946.438146333337
2021,Total nacional,Población ocupada,Población ocupada,Abr - Jun,19939.257222666667
2021,Total nacional,Población ocupada,Población ocupada,May - Jul,20159.417250333336
2021,Total nacional,Población ocupada,Población ocupada,Jun - Ago,20355.450913666664
2021,Total nacional,Población ocupada,Población ocupada,Jul - Sep,20558.206703666667
2021,Total nacional,Población ocupada,Población ocupada,Ago - Oct,20780.735785333334
2021,Total nacional,Población ocupada,Población ocupada,Sep - Nov,21010.881780666667
2021,Total nacional,Población ocupada,Población ocupada,Oct - Dic,21282.291796
2021,Total nacional,Población ocupada,Población ocupada,Nov - Ene,21152.724937666666
2021,Total nacional,Población ocupada,Población ocupada,Dic - Feb,21290.670992
2022,Total nacional,Población ocupada,Población ocupada,Ene - Mar,21352.177793
2022,Total nacional,Población ocupada,Población ocupada,Feb - Abr,21772.714409333334
2022,Total nacional,Población ocupada,Población ocupada,Mar - May,21940.662028000002
2022,Total nacional,Población ocupada,Población ocupada,Abr - Jun,22054.917514999997
2022,Total nacional,Población ocupada,Población ocupada,May - Jul,22087.473180999998
2022,Total nacional,Población ocupada,Población ocupada,Jun - Ago,22079.220003666665
2022,Total nacional,Población ocupada,Población ocupada,Jul - Sep,22201.465962333332
2022,Total nacional,Población ocupada,Población ocupada,Ago - Oct,22385.128792666666
2022,Total nacional,Población ocupada,Población ocupada,Sep - Nov,22493.886424333334
2022,Total nacional,Población ocupada,Población ocupada,Oct - Dic,22520.158621666666
2022,Total nacional,Población ocupada,Población ocupada,Nov - Ene,22148.664008666663
2022,Total nacional,Población ocupada,Población ocupada,Dic - Feb,22064.135597
2023,Total nacional,Población ocupada,Población ocupada,Ene - Mar,22172.651851333332
2023,Total nacional,Población ocupada,Población ocupada,Feb - Abr,22589.448848333337
2023,Total nacional,Población ocupada,Población ocupada,Mar - May,22701.036206666668
2023,Total nacional,Población ocupada,Población ocupada,Abr - Jun,22787.22184833333
2023,Total nacional,Población ocupada,Población ocupada,May - Jul,22933.833811333334
2023,Total nacional,Población ocupada,Población ocupada,Jun - Ago,23131.70821
2023,Total nacional,Población ocupada,Población ocupada,Jul - Sep,23149.819886666664
2023,Total nacional,Población ocupada,Población ocupada,Ago - Oct,23116.482338666665
2023,Total nacional,Población ocupada,Población ocupada,Sep - Nov,23124.637365333332
2023,Total nacional,Población ocupada,Población ocupada,Oct - Dic,23043.881428666664
2023,Total nacional,Población ocupada,Población ocupada,Nov - Ene,22691.48863133333
2023,Total nacional,Población ocupada,Población ocupada,Dic - Feb,22460.620363666665
2024,Total nacional,Población ocupada,Población ocupada,Ene - Mar,22387.53679433333
2024,Total nacional,Población ocupada,Población ocupada,Feb - Abr,22667.548709333332
2024,Total nacional,Población ocupada,Población ocupada,Mar - May,22846.60044966667
2024,Total nacional,Población ocupada,Población ocupada,Abr - Jun,22938.895007
2024,Total nacional,Población ocupada,Población ocupada,May - Jul,23051.676656666667
2024,Total nacional,Población ocupada,Población ocupada,Jun - Ago,23180.937313666665
2024,Total nacional,Población ocupada,Población ocupada,Jul - Sep,23278.056746000002
2024,Total nacional,Población ocupada,Población ocupada,Ago - Oct,23341.430961333335
2024,Total nacional,Población ocupada,Población ocupada,Sep - Nov,23403.893784333337
2024,Total nacional,Población ocupada,Población ocupada,Oct - Dic,23539.682919
2024,Total nacional,Población ocupada,Población ocupada,Nov - Ene,23376.259302
2024,Total nacional,Población ocupada,Población ocupada,Dic - Feb,23330.997814
2025,Total nacional,Población ocupada,Población ocupada,Ene - Mar,23358.235019
2025,Total nacional,Población ocupada,Población ocupada,Feb - Abr,23582.649624
2025,Total nacional,Población ocupada,Población ocupada,Mar - May,23635.101319
2025,Total nacional,Población ocupada,Población ocupada,Abr - Jun,23651.954433
2025,Total nacional,Población ocupada,Población ocupada,May - Jul,23782.943116
2025,Total nacional,Población ocupada,Población ocupada,Jun - Ago,23844.278902
2025,Total nacional,Población ocupada,Población ocupada,Jul - Sep,23902.24325
2025,Total nacional,Población ocupada,Población ocupada,Ago - Oct,24035.76622
2025,Total nacional,Población ocupada,Población ocupada,Sep - Nov,24298.367977
2025,Total nacional,Población ocupada,Población ocupada,Oct - Dic,24397.302737
2025,Total nacional,Población ocupada,Población ocupada,Nov - Ene,24016.432111
2025,Total nacional,Población ocupada,Población ocupada,Dic - Feb,23848.204876
2026,Total nacional,Población ocupada,Población ocupada,Ene - Mar,23890.987975
2026,Total nacional,Población ocupada,Población ocupada,Feb - Abr,24241.02269
2021,Total nacional,Población ocupada,Microempresa,Ene - Mar,13428.778877666666
2021,Total nacional,Población ocupada,Microempresa,Feb - Abr,13487.410765666666
2021,Total nacional,Población ocupada,Microempresa,Mar - May,13190.099503
2021,Total nacional,Población ocupada,Microempresa,Abr - Jun,13056.248112
2021,Total nacional,Población ocupada,Microempresa,May - Jul,13174.844932333333
2021,Total nacional,Población ocupada,Microempresa,Jun - Ago,13389.275671666664
2021,Total nacional,Población ocupada,Microempresa,Jul - Sep,13413.312581999999
2021,Total nacional,Población ocupada,Microempresa,Ago - Oct,13402.334215666668
2021,Total nacional,Población ocupada,Microempresa,Sep - Nov,13457.756863666667
2021,Total nacional,Población ocupada,Microempresa,Oct - Dic,13651.526639000002
2021,Total nacional,Población ocupada,Microempresa,Nov - Ene,13485.576178333335
2021,Total nacional,Población ocupada,Microempresa,Dic - Feb,13557.160121666668
2022,Total nacional,Población ocupada,Microempresa,Ene - Mar,13596.631480333335
2022,Total nacional,Población ocupada,Microempresa,Feb - Abr,13896.474703
2022,Total nacional,Población ocupada,Microempresa,Mar - May,13864.827880000003
2022,Total nacional,Población ocupada,Microempresa,Abr - Jun,13907.862854333333
2022,Total nacional,Población ocupada,Microempresa,May - Jul,14003.29297
2022,Total nacional,Población ocupada,Microempresa,Jun - Ago,14046.157145
2022,Total nacional,Población ocupada,Microempresa,Jul - Sep,14177.954348333333
2022,Total nacional,Población ocupada,Microempresa,Ago - Oct,14327.924349333334
2022,Total nacional,Población ocupada,Microempresa,Sep - Nov,14396.847471000001
2022,Total nacional,Población ocupada,Microempresa,Oct - Dic,14321.732295666667
2022,Total nacional,Población ocupada,Microempresa,Nov - Ene,13969.419361333334
2022,Total nacional,Población ocupada,Microempresa,Dic - Feb,14029.133783
2023,Total nacional,Población ocupada,Microempresa,Ene - Mar,14203.932292
2023,Total nacional,Población ocupada,Microempresa,Feb - Abr,14451.590596
2023,Total nacional,Población ocupada,Microempresa,Mar - May,14295.442485333333
2023,Total nacional,Población ocupada,Microempresa,Abr - Jun,14163.306989333332
2023,Total nacional,Población ocupada,Microempresa,May - Jul,14258.036710999999
2023,Total nacional,Población ocupada,Microempresa,Jun - Ago,14471.544447666665
2023,Total nacional,Población ocupada,Microempresa,Jul - Sep,14478.382424333331
2023,Total nacional,Población ocupada,Microempresa,Ago - Oct,14367.661324333332
2023,Total nacional,Población ocupada,Microempresa,Sep - Nov,14298.128935333332
2023,Total nacional,Población ocupada,Microempresa,Oct - Dic,14334.689215999999
