Fecha,Departamentos,Concepto,Valor
2007,Antioquia,% población en edad de trabajar,73.691472751
2008,Antioquia,% población en edad de trabajar,74.320949062
2009,Antioquia,% población en edad de trabajar,74.95198674
2010,Antioquia,% población en edad de trabajar,75.580685289
2011,Antioquia,% población en edad de trabajar,76.192837832
2012,Antioquia,% población en edad de trabajar,76.781066709
2013,Antioquia,% población en edad de trabajar,77.335646108
2014,Antioquia,% población en edad de trabajar,77.853819731
2015,Antioquia,% población en edad de trabajar,78.329177459
2016,Antioquia,% población en edad de trabajar,78.750512604
2017,Antioquia,% población en edad de trabajar,79.118272265
2018,Antioquia,% población en edad de trabajar,79.402176015
2019,Antioquia,% población en edad de trabajar,79.702967955
2020,Antioquia,% población en edad de trabajar,79.994709214
2021,Antioquia,% población en edad de trabajar,80.302885989
2022,Antioquia,% población en edad de trabajar,80.592017579
2023,Antioquia,% población en edad de trabajar,80.853625893
2024,Antioquia,% población en edad de trabajar,81.166764712
2025,Antioquia,% población en edad de trabajar,81.43402208
2007,Antioquia,Tasa Global de Participación (TGP),47.258735562
2008,Antioquia,Tasa Global de Participación (TGP),47.502585755
2009,Antioquia,Tasa Global de Participación (TGP),51.81475929
2010,Antioquia,Tasa Global de Participación (TGP),52.749331423
2011,Antioquia,Tasa Global de Participación (TGP),51.66442641
2012,Antioquia,Tasa Global de Participación (TGP),53.468347964
2013,Antioquia,Tasa Global de Participación (TGP),53.430562234
2014,Antioquia,Tasa Global de Participación (TGP),52.081502754
2015,Antioquia,Tasa Global de Participación (TGP),49.728590228
2016,Antioquia,Tasa Global de Participación (TGP),48.865646866
2017,Antioquia,Tasa Global de Participación (TGP),49.441171452
2018,Antioquia,Tasa Global de Participación (TGP),47.87251898
2019,Antioquia,Tasa Global de Participación (TGP),47.010122308
2020,Antioquia,Tasa Global de Participación (TGP),45.111981147
2021,Antioquia,Tasa Global de Participación (TGP),44.284517992
2022,Antioquia,Tasa Global de Participación (TGP),50.206292609
2023,Antioquia,Tasa Global de Participación (TGP),51.83957437
2024,Antioquia,Tasa Global de Participación (TGP),51.788500704
2025,Antioquia,Tasa Global de Participación (TGP),52.026719569
2007,Antioquia,Tasa de Ocupación (TO),40.224179039
2008,Antioquia,Tasa de Ocupación (TO),39.870363496
2009,Antioquia,Tasa de Ocupación (TO),43.229544544
2010,Antioquia,Tasa de Ocupación (TO),44.470937884
2011,Antioquia,Tasa de Ocupación (TO),44.393893687
2012,Antioquia,Tasa de Ocupación (TO),45.439889656
2013,Antioquia,Tasa de Ocupación (TO),46.277630849
2014,Antioquia,Tasa de Ocupación (TO),45.505222956
2015,Antioquia,Tasa de Ocupación (TO),43.386855121
2016,Antioquia,Tasa de Ocupación (TO),41.821956142
2017,Antioquia,Tasa de Ocupación (TO),41.947366006
2018,Antioquia,Tasa de Ocupación (TO),40.505468467
2019,Antioquia,Tasa de Ocupación (TO),39.145449707
2020,Antioquia,Tasa de Ocupación (TO),34.619930499
2021,Antioquia,Tasa de Ocupación (TO),36.684527541
2022,Antioquia,Tasa de Ocupación (TO),43.657389911
2023,Antioquia,Tasa de Ocupación (TO),45.802254656
2024,Antioquia,Tasa de Ocupación (TO),45.588440654
2025,Antioquia,Tasa de Ocupación (TO),47.025118735
2007,Antioquia,Tasa de Desocupación (TD),14.885198342
2008,Antioquia,Tasa de Desocupación (TD),16.066961697
2009,Antioquia,Tasa de Desocupación (TD),16.569052648
2010,Antioquia,Tasa de Desocupación (TD),15.693835951
2011,Antioquia,Tasa de Desocupación (TD),14.072609004
2012,Antioquia,Tasa de Desocupación (TD),15.015347611
2013,Antioquia,Tasa de Desocupación (TD),13.387340663
2014,Antioquia,Tasa de Desocupación (TD),12.626901013
2015,Antioquia,Tasa de Desocupación (TD),12.752694331
2016,Antioquia,Tasa de Desocupación (TD),14.414401887
2017,Antioquia,Tasa de Desocupación (TD),15.157014337
2018,Antioquia,Tasa de Desocupación (TD),15.388892564
2019,Antioquia,Tasa de Desocupación (TD),16.729742903
2020,Antioquia,Tasa de Desocupación (TD),23.25779179
2021,Antioquia,Tasa de Desocupación (TD),17.161732352
2022,Antioquia,Tasa de Desocupación (TD),13.043987831
2023,Antioquia,Tasa de Desocupación (TD),11.646159884
2024,Antioquia,Tasa de Desocupación (TD),11.971885584
2025,Antioquia,Tasa de Desocupación (TD),9.61352335
2007,Antioquia,Tasa de Subocupación (TS),8.110836122
2008,Antioquia,Tasa de Subocupación (TS),8.902344817
2009,Antioquia,Tasa de Subocupación (TS),11.941985521
2010,Antioquia,Tasa de Subocupación (TS),12.236465703
2011,Antioquia,Tasa de Subocupación (TS),10.913005142
2012,Antioquia,Tasa de Subocupación (TS),10.67435437
2013,Antioquia,Tasa de Subocupación (TS),10.036082567
2014,Antioquia,Tasa de Subocupación (TS),8.432146777
2015,Antioquia,Tasa de Subocupación (TS),8.878958455
2016,Antioquia,Tasa de Subocupación (TS),9.414020344
2017,Antioquia,Tasa de Subocupación (TS),9.184793165
2018,Antioquia,Tasa de Subocupación (TS),8.459067606
2019,Antioquia,Tasa de Subocupación (TS),9.498500734
2020,Antioquia,Tasa de Subocupación (TS),0.0
2021,Antioquia,Tasa de Subocupación (TS),5.926586955
2022,Antioquia,Tasa de Subocupación (TS),6.860921343
2023,Antioquia,Tasa de Subocupación (TS),5.980406304
2024,Antioquia,Tasa de Subocupación (TS),6.917296608
2025,Antioquia,Tasa de Subocupación (TS),6.066787534
2007,Antioquia,Población total,2896.749
2008,Antioquia,Población total,2930.303
2009,Antioquia,Población total,2964.806
2010,Antioquia,Población total,3000.076
2011,Antioquia,Población total,3034.612
2012,Antioquia,Población total,3068.035
2013,Antioquia,Población total,3101.037
2014,Antioquia,Población total,3134.527
2015,Antioquia,Población total,3169.409
2016,Antioquia,Población total,3209.108
2017,Antioquia,Población total,3253.045
2018,Antioquia,Población total,3310.272
2019,Antioquia,Población total,3382.396
2020,Antioquia,Población total,3447.503
