Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ene - Mar,10866.057459666665
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Feb - Abr,10660.702428999999
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Mar - May,10728.637235666667
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Abr - Jun,10677.471076666667
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,May - Jul,10799.494707333333
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jun - Ago,10857.115165666666
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jul - Sep,10839.041305333334
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ago - Oct,10571.488220333333
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Sep - Nov,10412.939303333334
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Oct - Dic,10481.966178
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Nov - Ene,10808.369592000001
2007,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Dic - Feb,10845.692638333334
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ene - Mar,10703.252615333333
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Feb - Abr,10509.037430333332
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Mar - May,10527.607050666667
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Abr - Jun,10769.771853
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,May - Jul,10892.970498
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jun - Ago,11020.334170666667
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jul - Sep,10895.717531
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ago - Oct,10966.639816666668
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Sep - Nov,11078.439189333332
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Oct - Dic,11092.659423333333
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Nov - Ene,11072.825056000001
2008,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Dic - Feb,10819.790535333334
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ene - Mar,10634.040580666668
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Feb - Abr,10327.419562666666
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Mar - May,10144.534506333332
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Abr - Jun,10085.388823000001
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,May - Jul,10085.203832666666
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jun - Ago,10259.396237
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jul - Sep,10329.81839
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ago - Oct,10172.566081600002
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Sep - Nov,9927.104166566669
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Oct - Dic,9782.7278952
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Nov - Ene,9971.638896933333
2009,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Dic - Feb,10046.854350300002
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ene - Mar,10183.674426666666
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Feb - Abr,10089.9615893
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Mar - May,10130.796978966668
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Abr - Jun,10028.5541613
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,May - Jul,10117.656239
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jun - Ago,10137.419454666668
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Jul - Sep,10092.505526566667
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ago - Oct,9989.408376033332
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Sep - Nov,9873.44964
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Oct - Dic,9946.4357881
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Nov - Ene,10058.3764353
2010,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Dic - Feb,10205.151295333331
2011,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Ene - Mar,10254.439199666667
2011,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Feb - Abr,10311.441486666667
2011,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Mar - May,10234.492902666667
2011,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,Abr - Jun,10229.363786666667
2011,TOTAL NACIONAL,Total,Fuera de la fuerza de trabajo - Total Nacional,May - Jul,10195.487447000001
