Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,70.92754627905137
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,70.96999297773318
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,71.01244261621964
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,71.05696425592176
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,71.09745691966796
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,71.13873761179855
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,71.17998637647815
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,71.22508381035492
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,71.26996010673176
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,71.3141651847
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,71.35898158397956
2007,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,71.40385534298431
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,71.44828449133361
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,71.49277618138883
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,71.53705398891995
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,71.58268279229773
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,71.61976310557765
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,71.65707368687829
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,71.69390313355028
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,71.7384555916673
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,71.7826774280765
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,71.82620646267239
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,71.87020515467349
2008,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,71.91417700173439
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,71.95729976011063
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,72.00055571342668
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,72.04365367989186
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,72.08867823805913
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,72.1311506195716
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,72.17439958222167
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,72.21745196045586
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,72.26257856649397
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,72.30729097839085
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,72.35118282889677
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,72.39637258911849
2009,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,72.44150412187935
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,72.48567755770976
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,72.52904888092412
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,72.57205765187099
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,72.61696902235173
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,72.65975014696816
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,72.70334785876406
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,72.74654812222782
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,72.7912903754246
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,72.8354618376783
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,72.87893070997696
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,72.92287675568059
2010,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,72.96666868403412
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,73.0094917414011
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,73.05215933102926
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,73.09445854564287
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,73.13843865894718
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,73.18076432565572
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,73.22370304294301
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,73.26626544338815
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,73.30983375842955
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,73.3528753702315
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,73.3952156147388
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,73.4378715107162
2011,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,73.48042104525962
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,73.52240477559778
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,73.56426765902899
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,73.6056669246959
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,73.64823792070092
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,73.68911189384178
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,73.73059538389681
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,73.77163238262534
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,73.81368910840459
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,73.85518440268112
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,73.8959678226749
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,73.93701461678648
2012,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,73.97793933691705
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,74.0178184983551
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,74.05758443862403
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,74.09694909954028
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,74.13806962608773
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,74.17693062219183
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,74.21636851099134
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,74.25532643602753
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,74.29576058983234
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Sep - Nov,74.33562224485813
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Oct - Dic,74.37468138200471
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Nov - Ene,74.40376834159761
2013,TOTAL NACIONAL,Total,% población en edad de trabajar,Dic - Feb,74.43267148172373
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Ene - Mar,74.46058136742828
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Feb - Abr,74.49873122345971
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Mar - May,74.53647048203224
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Abr - Jun,74.57576587564645
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,May - Jul,74.61248902829567
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Jun - Ago,74.64971942262177
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Jul - Sep,74.68657204231619
2014,TOTAL NACIONAL,Total,% población en edad de trabajar,Ago - Oct,74.72521172980866
