Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,5794.73
2023,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,5709.372
2024,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,5594.355
2025,Total nacional,Total,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,5724.201
2022,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",IV,3095.969
2023,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",IV,3042.477
2024,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",IV,3151.773
2025,Total nacional,Total,"Cocinar, lavar los platos, poner la mesa",IV,3164.35
2022,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",IV,2207.167
2023,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",IV,2188.923
2024,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",IV,2257.641
2025,Total nacional,Total,"Lavar, colgar, planchar la ropa, reparar ropa",IV,2305.715
2022,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,5235.816
2023,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,5120.437
2024,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,5014.036
2025,Total nacional,Total,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,5140.267
2022,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,401.496
2023,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,367.433
2024,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,336.253
2025,Total nacional,Total,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,310.534
2022,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,51.633
2023,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,57.918
2024,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,54.163
2025,Total nacional,Total,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,44.284
2022,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,IV,190.81
2023,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,IV,171.906
2024,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,IV,134.322
2025,Total nacional,Total,Ayudar a personas con tareas o trabajos escolares,IV,174.288
2022,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,2658.836
2023,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,2679.504
2024,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,2577.257
2025,Total nacional,Hombres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,2659.899
2022,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",IV,1198.611
2023,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",IV,1179.248
2024,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",IV,1262.634
2025,Total nacional,Hombres,"Cocinar, lavar los platos, poner la mesa",IV,1272.916
2022,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,765.356
2023,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,810.008
2024,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,836.391
2025,Total nacional,Hombres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,854.672
2022,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2389.203
2023,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2385.706
2024,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2279.501
2025,Total nacional,Hombres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2380.206
2022,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,129.164
2023,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,136.86
2024,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,103.768
2025,Total nacional,Hombres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,90.097
2022,Total nacional,Hombres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,23.585
2023,Total nacional,Hombres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,27.675
2024,Total nacional,Hombres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,22.541
2025,Total nacional,Hombres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,17.072
2022,Total nacional,Hombres,Ayudar a personas con tareas o trabajos escolares,IV,76.005
2023,Total nacional,Hombres,Ayudar a personas con tareas o trabajos escolares,IV,68.564
2024,Total nacional,Hombres,Ayudar a personas con tareas o trabajos escolares,IV,54.577
2025,Total nacional,Hombres,Ayudar a personas con tareas o trabajos escolares,IV,68.23
2022,Total nacional,Mujeres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,3135.895
2023,Total nacional,Mujeres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,3029.868
2024,Total nacional,Mujeres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,3017.098
2025,Total nacional,Mujeres,Población de 5 a 17 años que realiza trabajo doméstico y de cuidado no remunerado,IV,3064.303
2022,Total nacional,Mujeres,"Cocinar, lavar los platos, poner la mesa",IV,1897.358
2023,Total nacional,Mujeres,"Cocinar, lavar los platos, poner la mesa",IV,1863.23
2024,Total nacional,Mujeres,"Cocinar, lavar los platos, poner la mesa",IV,1889.139
2025,Total nacional,Mujeres,"Cocinar, lavar los platos, poner la mesa",IV,1891.434
2022,Total nacional,Mujeres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,1441.811
2023,Total nacional,Mujeres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,1378.916
2024,Total nacional,Mujeres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,1421.249
2025,Total nacional,Mujeres,"Lavar, colgar, planchar la ropa, reparar ropa",IV,1451.044
2022,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2846.612
2023,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2734.731
2024,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2734.535
2025,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",IV,2760.061
2022,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,272.332
2023,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,230.573
2024,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,232.486
2025,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,IV,220.437
2022,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,28.048
2023,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,30.243
2024,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,31.621
2025,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",IV,27.211
2022,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,IV,114.806
2023,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,IV,103.341
2024,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,IV,79.745
2025,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,IV,106.058
