Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,1.3422512663
2023,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,0.87286263147
2024,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,1.0628610222
2025,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,0.70782451424
2022,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,5.7918914278
2023,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,4.8329667521
2024,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,5.010740481
2025,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,4.3180294304
2022,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,7.1407876722
2023,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,6.2870384196
2024,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,6.1161351643
2025,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,5.3993239528
2022,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,10.336620884
2023,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,9.5776886058
2024,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,8.7062864394
2025,Total nacional,Total,Tasa de Trabajo Infantil (TTI),IV,9.6414789058
2022,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,28.098324655
2023,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,26.935803115
2024,Total nacional,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,23.288003953
