Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,369.383
2023,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.379
2024,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.579
2025,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,301.52
2022,Total nacional,Total,Asalariados,IV,107.544
2023,Total nacional,Total,Asalariados,IV,108.188
2024,Total nacional,Total,Asalariados,IV,106.717
2025,Total nacional,Total,Asalariados,IV,119.698
2022,Total nacional,Total,Independientes,IV,110.365
2023,Total nacional,Total,Independientes,IV,103.944
2024,Total nacional,Total,Independientes,IV,107.906
2025,Total nacional,Total,Independientes,IV,111.841
2022,Total nacional,Total,Trabajador familiar sin remuneración,IV,151.474
2023,Total nacional,Total,Trabajador familiar sin remuneración,IV,98.248
2024,Total nacional,Total,Trabajador familiar sin remuneración,IV,95.956
2025,Total nacional,Total,Trabajador familiar sin remuneración,IV,69.982
2022,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,163.844
2023,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,132.527
2024,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,136.75
2025,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,145.863
2022,Total cabeceras,Total,Asalariados,IV,65.273
2023,Total cabeceras,Total,Asalariados,IV,69.654
2024,Total cabeceras,Total,Asalariados,IV,61.383
2025,Total cabeceras,Total,Asalariados,IV,69.904
2022,Total cabeceras,Total,Independientes,IV,51.344
2023,Total cabeceras,Total,Independientes,IV,37.307
2024,Total cabeceras,Total,Independientes,IV,43.684
2025,Total cabeceras,Total,Independientes,IV,48.33
2022,Total cabeceras,Total,Trabajador familiar sin remuneración,IV,47.228
2023,Total cabeceras,Total,Trabajador familiar sin remuneración,IV,25.566
2024,Total cabeceras,Total,Trabajador familiar sin remuneración,IV,31.683
2025,Total cabeceras,Total,Trabajador familiar sin remuneración,IV,27.629
2022,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,205.538
2023,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,177.852
2024,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,173.829
2025,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,155.657
2022,Total centros poblados y rural disperso,Total,Asalariados,IV,42.272
2023,Total centros poblados y rural disperso,Total,Asalariados,IV,38.533
2024,Total centros poblados y rural disperso,Total,Asalariados,IV,45.335
2025,Total centros poblados y rural disperso,Total,Asalariados,IV,49.794
2022,Total centros poblados y rural disperso,Total,Independientes,IV,59.021
2023,Total centros poblados y rural disperso,Total,Independientes,IV,66.637
2024,Total centros poblados y rural disperso,Total,Independientes,IV,64.221
2025,Total centros poblados y rural disperso,Total,Independientes,IV,63.511
2022,Total centros poblados y rural disperso,Total,Trabajador familiar sin remuneración,IV,104.246
2023,Total centros poblados y rural disperso,Total,Trabajador familiar sin remuneración,IV,72.682
2024,Total centros poblados y rural disperso,Total,Trabajador familiar sin remuneración,IV,64.273
2025,Total centros poblados y rural disperso,Total,Trabajador familiar sin remuneración,IV,42.353
