Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,% población de 5 a 17 años,21.166044107
2023,Total nacional,% población de 5 a 17 años,20.813693928
2024,Total nacional,% población de 5 a 17 años,20.930675839
2025,Total nacional,% población de 5 a 17 años,20.884423088
2022,Total nacional,Tasa de Trabajo Infantil (TTI),3.4425179661
2023,Total nacional,Tasa de Trabajo Infantil (TTI),2.9110473489
2024,Total nacional,Tasa de Trabajo Infantil (TTI),2.8676207195
2025,Total nacional,Tasa de Trabajo Infantil (TTI),2.7629382652
2022,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),11.000645447
2023,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),10.008218207
2024,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),9.3263537946
2025,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),9.3964960298
2022,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),12.629884497
2023,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),11.637866041
2024,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.716721178
2025,Total nacional,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.815235687
2022,Total nacional,Población total,50694.451
2023,Total nacional,Población total,51226.465
2024,Total nacional,Población total,51744.814
2025,Total nacional,Población total,52254.411
2022,Total nacional,Población de 5 a 17 años,10730.01
2023,Total nacional,Población de 5 a 17 años,10662.12
2024,Total nacional,Población de 5 a 17 años,10830.539
2025,Total nacional,Población de 5 a 17 años,10913.032
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,810.988
