Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2007,Total Nacional,Hombres,Población ocupada,Ene - Mar,9856.585000000001
2007,Total Nacional,Hombres,Población ocupada,Feb - Abr,10049.974333333334
2007,Total Nacional,Hombres,Población ocupada,Mar - May,10062.951333333333
2007,Total Nacional,Hombres,Población ocupada,Abr - Jun,10167.735333333336
2007,Total Nacional,Hombres,Población ocupada,May - Jul,10123.168
2007,Total Nacional,Hombres,Población ocupada,Jun - Ago,10111.365333333333
2007,Total Nacional,Hombres,Población ocupada,Jul - Sep,10097.137666666667
2007,Total Nacional,Hombres,Población ocupada,Ago - Oct,10204.765
2007,Total Nacional,Hombres,Población ocupada,Sep - Nov,10358.067666666668
2007,Total Nacional,Hombres,Población ocupada,Oct - Dic,10432.814666666667
2007,Total Nacional,Hombres,Población ocupada,Nov - Ene,10294.007666666666
2007,Total Nacional,Hombres,Población ocupada,Dic - Feb,10191.610666666667
2008,Total Nacional,Hombres,Población ocupada,Ene - Mar,10194.695333333335
2008,Total Nacional,Hombres,Población ocupada,Feb - Abr,10339.17
2008,Total Nacional,Hombres,Población ocupada,Mar - May,10367.729
2008,Total Nacional,Hombres,Población ocupada,Abr - Jun,10304.613666666666
2008,Total Nacional,Hombres,Población ocupada,May - Jul,10197.019333333334
2008,Total Nacional,Hombres,Población ocupada,Jun - Ago,10231.611333333332
2008,Total Nacional,Hombres,Población ocupada,Jul - Sep,10309.674666666666
2008,Total Nacional,Hombres,Población ocupada,Ago - Oct,10393.359333333334
2008,Total Nacional,Hombres,Población ocupada,Sep - Nov,10393.843333333332
2008,Total Nacional,Hombres,Población ocupada,Oct - Dic,10433.437333333333
2008,Total Nacional,Hombres,Población ocupada,Nov - Ene,10357.986666666666
2008,Total Nacional,Hombres,Población ocupada,Dic - Feb,10418.594333333333
2009,Total Nacional,Hombres,Población ocupada,Ene - Mar,10452.833666666666
2009,Total Nacional,Hombres,Población ocupada,Feb - Abr,10628.833
