Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2010,Total nacional,Hombres,% población en edad de trabajar,I,71.370658
2010,Total nacional,Hombres,% población en edad de trabajar,II,71.631861
2011,Total nacional,Hombres,% población en edad de trabajar,I,71.893887
2011,Total nacional,Hombres,% población en edad de trabajar,II,72.15239
2012,Total nacional,Hombres,% población en edad de trabajar,I,72.409298
2012,Total nacional,Hombres,% población en edad de trabajar,II,72.661027
2013,Total nacional,Hombres,% población en edad de trabajar,I,72.908675
2013,Total nacional,Hombres,% población en edad de trabajar,II,73.149214
2014,Total nacional,Hombres,% población en edad de trabajar,I,73.357656
2014,Total nacional,Hombres,% población en edad de trabajar,II,73.58594
2015,Total nacional,Hombres,% población en edad de trabajar,I,73.810902
2015,Total nacional,Hombres,% población en edad de trabajar,II,74.024544
2016,Total nacional,Hombres,% población en edad de trabajar,I,74.233326
2016,Total nacional,Hombres,% población en edad de trabajar,II,74.428284
2017,Total nacional,Hombres,% población en edad de trabajar,I,74.614759
2017,Total nacional,Hombres,% población en edad de trabajar,II,74.785636
2018,Total nacional,Hombres,% población en edad de trabajar,I,74.944464
2018,Total nacional,Hombres,% población en edad de trabajar,II,75.090849
2019,Total nacional,Hombres,% población en edad de trabajar,I,75.229553
2019,Total nacional,Hombres,% población en edad de trabajar,II,75.363151
2020,Total nacional,Hombres,% población en edad de trabajar,I,75.498618
2020,Total nacional,Hombres,% población en edad de trabajar,II,75.637178
2021,Total nacional,Hombres,% población en edad de trabajar,I,75.783282
2021,Total nacional,Hombres,% población en edad de trabajar,II,75.925636
2022,Total nacional,Hombres,% población en edad de trabajar,I,76.06651
2022,Total nacional,Hombres,% población en edad de trabajar,II,76.196002
2023,Total nacional,Hombres,% población en edad de trabajar,I,76.330097
2023,Total nacional,Hombres,% población en edad de trabajar,II,76.490303
2024,Total nacional,Hombres,% población en edad de trabajar,I,76.674176
2024,Total nacional,Hombres,% población en edad de trabajar,II,76.844046
2025,Total nacional,Hombres,% población en edad de trabajar,I,76.994782
2025,Total nacional,Hombres,% población en edad de trabajar,II,77.141588
2010,Total nacional,Hombres,Tasa Global de Participación (TGP),I,80.686325
2010,Total nacional,Hombres,Tasa Global de Participación (TGP),II,81.041419
2011,Total nacional,Hombres,Tasa Global de Participación (TGP),I,80.90045
2011,Total nacional,Hombres,Tasa Global de Participación (TGP),II,81.428492
2012,Total nacional,Hombres,Tasa Global de Participación (TGP),I,81.288099
2012,Total nacional,Hombres,Tasa Global de Participación (TGP),II,81.054193
2013,Total nacional,Hombres,Tasa Global de Participación (TGP),I,80.250713
2013,Total nacional,Hombres,Tasa Global de Participación (TGP),II,80.344452
2014,Total nacional,Hombres,Tasa Global de Participación (TGP),I,79.796118
2014,Total nacional,Hombres,Tasa Global de Participación (TGP),II,80.204079
2015,Total nacional,Hombres,Tasa Global de Participación (TGP),I,79.605356
2015,Total nacional,Hombres,Tasa Global de Participación (TGP),II,79.957998
2016,Total nacional,Hombres,Tasa Global de Participación (TGP),I,79.08394
2016,Total nacional,Hombres,Tasa Global de Participación (TGP),II,79.18415
2017,Total nacional,Hombres,Tasa Global de Participación (TGP),I,78.808103
2017,Total nacional,Hombres,Tasa Global de Participación (TGP),II,78.589856
2018,Total nacional,Hombres,Tasa Global de Participación (TGP),I,78.164923
2018,Total nacional,Hombres,Tasa Global de Participación (TGP),II,78.365685
2019,Total nacional,Hombres,Tasa Global de Participación (TGP),I,77.365146
2019,Total nacional,Hombres,Tasa Global de Participación (TGP),II,77.206014
2020,Total nacional,Hombres,Tasa Global de Participación (TGP),I,72.464619
2020,Total nacional,Hombres,Tasa Global de Participación (TGP),II,74.801721
2021,Total nacional,Hombres,Tasa Global de Participación (TGP),I,75.67072
2021,Total nacional,Hombres,Tasa Global de Participación (TGP),II,75.755506
2022,Total nacional,Hombres,Tasa Global de Participación (TGP),I,76.557359
2022,Total nacional,Hombres,Tasa Global de Participación (TGP),II,76.416109
2023,Total nacional,Hombres,Tasa Global de Participación (TGP),I,76.621838
2023,Total nacional,Hombres,Tasa Global de Participación (TGP),II,76.666189
2024,Total nacional,Hombres,Tasa Global de Participación (TGP),I,76.411572
2024,Total nacional,Hombres,Tasa Global de Participación (TGP),II,76.333683
2025,Total nacional,Hombres,Tasa Global de Participación (TGP),I,76.699
2025,Total nacional,Hombres,Tasa Global de Participación (TGP),II,76.90074
2010,Total nacional,Hombres,Tasa de Ocupación (TO),I,72.649387
2010,Total nacional,Hombres,Tasa de Ocupación (TO),II,74.229192
2011,Total nacional,Hombres,Tasa de Ocupación (TO),I,73.514786
2011,Total nacional,Hombres,Tasa de Ocupación (TO),II,75.159204
