Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,17.4,14.1,27.5,11.1,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,16.1,13.3,25.0,10.5,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,15.2,12.2,24.6,9.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,14.9,12.0,24.2,9.7,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,15.1,12.5,23.3,10.0,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,14.3,12.0,21.6,10.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,14.5,12.1,22.1,10.3,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,15.5,12.8,24.2,10.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,19.9,19.5,21.1,19.0,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,16.6,15.3,20.7,14.1,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,14.7,13.2,19.7,11.5,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,13.6,12.2,18.2,10.2,14.9,12.1,10.5,8.9,12.2,9.4,18.1,13.4,20.7,18.0,6.5,9.7,13.3,18.7,11.9,9.3,16.8,30.8,21.2,15.3,18.1,11.6,22.8,11.0,10.8,11.9,9.5,13.3,6.4,8.8,9.9
2024,12.6,11.0,17.9,8.9,13.9,9.7,10.9,7.1,11.5,9.6,17.2,12.9,18.1,13.3,5.9,8.0,11.1,13.8,11.4,8.8,15.9,29.9,23.7,15.0,18.3,10.0,19.0,9.1,10.8,11.3,9.7,12.5,5.9,7.1,8.8
2025,10.7,9.0,16.5,7.3,11.3,8.5,8.2,6.2,10.1,7.6,13.2,11.1,15.7,9.5,4.5,6.1,11.0,10.7,11.4,7.4,14.6,32.2,21.5,9.7,16.9,8.9,14.8,8.2,8.8,9.3,7.7,10.7,4.4,5.2,7.0
