Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,0.546,0.516,0.476,0.502,0.504,0.521,,0.489,,,0.498,,0.536,0.485,,,0.496,0.51,0.504,,0.506,0.557,0.521,0.476,0.487,0.497,0.49,0.46,0.481,0.441,0.532,0.458,0.444,0.504,0.469
2013,0.546,0.519,0.459,0.508,0.5,0.498,,0.492,,,0.486,,0.521,0.492,,,0.519,0.498,0.513,,0.517,0.547,0.509,0.448,0.498,0.498,0.468,0.427,0.476,0.451,0.523,0.456,0.461,0.516,0.492
2014,0.547,0.518,0.474,0.509,0.495,0.49,,0.492,,,0.504,,0.513,0.489,,,0.453,0.5,0.5,,0.497,0.512,0.501,0.459,0.501,0.499,0.437,0.43,0.467,0.443,0.511,0.464,0.455,0.536,0.489
2015,0.531,0.501,0.469,0.491,0.479,0.487,,0.486,,,0.49,,0.518,0.493,,,0.444,0.471,0.491,,0.502,0.542,0.504,0.442,0.476,0.499,0.459,0.428,0.461,0.421,0.501,0.451,0.445,0.5,0.451
2016,0.527,0.499,0.474,0.49,0.477,0.466,,0.485,,,0.484,,0.525,0.485,,,0.457,0.486,0.473,,0.49,0.55,0.501,0.437,0.485,0.522,0.476,0.432,0.457,0.415,0.503,0.446,0.463,0.491,0.423
2017,0.519,0.493,0.471,0.483,0.476,0.453,,0.483,,,0.476,,0.506,0.492,,,0.457,0.486,0.476,,0.488,0.547,0.503,0.451,0.472,0.504,0.477,0.43,0.466,0.427,0.489,0.448,0.442,0.477,0.425
2018,0.527,0.501,0.464,0.492,0.485,0.456,,0.487,,,0.481,,0.521,0.502,,,0.445,0.501,0.483,,0.487,0.542,0.508,0.447,0.489,0.504,0.468,0.454,0.47,0.451,0.49,0.452,0.43,0.488,0.432
2019,0.535,0.508,0.474,0.5,0.487,0.47,,0.494,,,0.48,,0.528,0.521,,,0.456,0.467,0.481,,0.492,0.58,0.522,0.473,0.504,0.503,0.472,0.453,0.479,0.449,0.496,0.492,0.411,0.498,0.427
2020,0.553,0.539,0.475,0.542,0.509,0.511,,0.533,,,0.536,,0.553,0.567,,,0.482,0.512,0.519,,0.528,0.563,0.529,0.505,0.532,0.567,0.528,0.481,0.53,0.531,0.54,0.546,0.461,0.535,0.491
2021,0.563,0.548,0.462,0.551,0.497,0.485,,0.565,,,0.513,,0.526,0.539,,,0.522,0.516,0.524,,0.528,0.55,0.539,0.517,0.5,0.544,0.527,0.496,0.507,0.49,0.531,0.5,0.505,0.516,0.496
2022,0.55617,0.53817,0.47896,0.53601,0.49436,0.468,0.526,0.549,0.505,0.513,0.536,0.482,0.513,0.542,0.473,0.522,0.488,0.473,0.505,0.489,0.518,0.535,0.523,0.511,0.524,0.501,0.487,0.481,0.496,0.482,0.512,0.49,0.47,0.512,0.471
2023,0.55325,0.53325,0.48728,0.52659,0.49649,0.475,0.531,0.532,0.506,0.511,0.533,0.461,0.518,0.512,0.467,0.51,0.503,0.513,0.507,0.47,0.514,0.53,0.536,0.494,0.516,0.493,0.52,0.482,0.5,0.497,0.509,0.465,0.465,0.498,0.45
2024,0.55097,0.52953,0.48241,0.52202,0.49031,0.47,0.524,0.523,0.491,0.51,0.525,0.462,0.523,0.497,0.464,0.507,0.512,0.483,0.508,0.469,0.51,0.531,0.564,0.481,0.511,0.481,0.495,0.498,0.492,0.466,0.509,0.469,0.466,0.494,0.45
2025,0.531,0.507,0.476,0.498,0.482,0.441,0.491,0.501,0.481,0.487,0.486,0.444,0.506,0.473,0.436,0.478,0.488,0.446,0.482,0.44,0.481,0.555,0.542,0.455,0.514,0.459,0.467,0.463,0.468,0.463,0.486,0.448,0.432,0.463,0.421
