Fecha,Grupo,Categoria,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras
2025,Número de niños menores de 12 años,No tiene niños,5.0,3.6,10.7,2.6,5.2
2025,Número de niños menores de 12 años,Un niño,10.0,7.3,18.6,5.0,10.1
2025,Número de niños menores de 12 años,Dos niños,17.2,13.4,26.7,9.6,17.4
2025,Número de niños menores de 12 años,Tres o más niños,36.7,29.1,47.5,24.1,33.5
2025,Número de ocupados en el hogar,Ningún ocupado,24.9,19.9,40.3,14.9,25.3
2025,Número de ocupados en el hogar,Un ocupado,11.3,8.3,19.9,6.0,11.0
2025,Número de ocupados en el hogar,Dos o más ocupados,4.4,2.7,11.7,1.8,4.1
2025,Tamaño del hogar,Una persona,3.9,3.5,5.4,3.4,3.6
2025,Tamaño del hogar,Dos personas,4.9,3.7,9.8,2.8,5.0
2025,Tamaño del hogar,Tres personas,7.1,5.1,15.0,3.4,7.5
2025,Tamaño del hogar,Cuatro personas o más,13.5,9.6,25.0,6.5,13.4
2025,Total,,9.6,6.9,19.1,4.7,9.8
2024,Número de niños menores de 12 años,No tiene niños,6.6,5.0,13.2,3.6,7.2
2024,Número de niños menores de 12 años,Un niño,11.6,9.0,19.8,6.1,12.5
2024,Número de niños menores de 12 años,Dos niños,20.0,16.3,29.1,12.3,20.5
2024,Número de niños menores de 12 años,Tres o más niños,40.7,31.2,54.3,22.6,38.1
2024,Número de ocupados en el hogar,Ningún ocupado,30.5,25.3,46.9,20.0,30.8
2024,Número de ocupados en el hogar,Un ocupado,12.9,10.1,21.2,7.2,13.4
2024,Número de ocupados en el hogar,Dos o más ocupados,5.7,3.5,14.8,2.1,5.6
2024,Tamaño del hogar,Una persona,5.9,5.3,8.4,4.8,6.0
2024,Tamaño del hogar,Dos personas,7.0,5.2,14.0,3.8,7.5
2024,Tamaño del hogar,Tres personas,8.8,6.6,17.1,4.6,9.6
2024,Tamaño del hogar,Cuatro personas o más,15.5,11.5,27.4,7.7,16.2
2024,Total,,11.7,8.7,21.8,5.9,12.4
