Fecha,Grupo,Categoria,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras
2025,Sexo,Hombre,24.5,20.5,36.0,17.1,25.2
2025,Sexo,Mujer,32.3,29.3,45.1,24.6,35.4
2025,Edad,Hasta 25 años,33.0,30.1,39.2,26.5,33.9
2025,Edad,Entre 26 y 35 años,36.1,32.5,47.9,29.1,37.1
2025,Edad,Entre 36 y 45 años,32.2,28.2,45.3,24.1,33.5
2025,Edad,Entre 46 y 55 años,25.1,22.0,35.9,17.8,27.6
2025,Edad,Entre 56 y 65 años,21.4,18.9,31.1,15.8,23.6
2025,Edad,Mayor a 65 años,20.5,17.3,31.9,12.6,24.2
2025,Nivel Educativo,Ninguno o primaria,37.8,34.4,42.6,29.3,38.9
2025,Nivel Educativo,Secundaria,31.2,29.5,38.1,26.6,33.3
2025,Nivel Educativo,Técnica o Tecnológica,16.8,16.2,24.6,14.4,19.0
2025,Nivel Educativo,Universidad o posgrado,6.0,5.8,9.4,4.5,8.9
2025,Situación laboral,Ocupados,25.0,21.8,35.7,18.9,26.0
2025,Situación laboral,Desocupados,51.8,50.8,56.6,47.1,54.4
2025,Situación laboral,Población fuera de la fuerza de trabajo,32.4,27.6,47.8,21.2,35.7
2025,Posición Ocupacional,Asalariados,14.8,14.3,17.3,13.7,15.2
2025,Posición Ocupacional,Patronos y Cuenta Propia,35.5,31.1,45.8,26.1,37.1
2025,Cotización a pensión,Afiliado,7.3,7.8,3.1,8.8,5.7
2025,Cotización a pensión,No Afiliado,38.8,37.0,42.4,33.7,40.2
2025,Total,,28.0,24.6,39.5,20.6,30.1
2024,Sexo,Hombre,28.4,24.3,40.0,20.7,29.4
2024,Sexo,Mujer,36.1,33.6,46.8,28.0,40.7
2024,Edad,Hasta 25 años,36.0,33.8,40.5,29.7,38.7
2024,Edad,Entre 26 y 35 años,39.4,36.7,48.6,31.7,43.0
2024,Edad,Entre 36 y 45 años,35.7,32.0,48.0,28.2,37.1
2024,Edad,Entre 46 y 55 años,29.3,26.1,40.3,21.5,32.1
2024,Edad,Entre 56 y 65 años,25.6,23.0,36.0,18.8,29.2
2024,Edad,Mayor a 65 años,24.5,21.4,35.7,16.4,28.9
2024,Nivel Educativo,Ninguno o primaria,42.9,40.4,46.5,35.4,45.0
2024,Nivel Educativo,Secundaria,35.1,34.0,39.9,30.9,38.0
2024,Nivel Educativo,Técnica o Tecnológica,19.2,18.8,24.7,15.7,23.6
2024,Nivel Educativo,Universidad o posgrado,6.9,6.7,11.3,5.5,9.4
2024,Situación laboral,Ocupados,28.3,25.2,38.4,21.9,30.0
2024,Situación laboral,Desocupados,56.6,55.8,60.7,51.4,60.6
2024,Situación laboral,Población fuera de la fuerza de trabajo,36.5,32.1,51.3,24.8,40.8
2024,Posición Ocupacional,Asalariados,16.7,16.6,17.3,15.6,18.2
2024,Posición Ocupacional,Patronos y Cuenta Propia,40.3,35.9,50.2,30.7,42.4
2024,Cotización a pensión,Afiliado,9.3,9.8,5.0,10.6,8.1
2024,Cotización a pensión,No Afiliado,43.0,41.9,45.1,38.7,45.2
2024,Total,,31.8,28.6,42.5,24.0,34.8
