Fecha,Grupo,Categoria,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras
2025,Sexo,Hombre,8.0,4.9,16.9,3.3,7.0
2025,Sexo,Mujer,11.7,9.1,22.6,6.3,12.7
2025,Edad,Hasta 25 años,12.4,9.3,19.1,7.4,11.3
2025,Edad,Entre 26 y 35 años,12.9,9.4,24.7,6.8,12.8
2025,Edad,Entre 36 y 45 años,11.3,7.9,22.4,5.4,11.2
2025,Edad,Entre 46 y 55 años,8.7,6.3,17.1,4.1,9.1
2025,Edad,Entre 56 y 65 años,6.7,4.8,14.1,3.3,7.1
2025,Edad,Mayor a 65 años,6.4,4.4,13.7,2.8,6.7
2025,Nivel Educativo,Ninguno o primaria,14.8,10.5,20.8,7.3,13.4
2025,Nivel Educativo,Secundaria,9.9,7.9,18.2,6.0,10.4
2025,Nivel Educativo,Técnica o Tecnológica,4.3,3.9,9.5,2.7,5.9
2025,Nivel Educativo,Universidad o posgrado,1.7,1.6,5.0,1.1,2.8
2025,Situación laboral,Ocupados,7.4,5.0,15.6,3.4,7.1
2025,Situación laboral,Desocupados,24.6,23.3,31.2,18.7,27.8
2025,Situación laboral,Población fuera de la fuerza de trabajo,13.3,9.1,27.0,6.1,12.9
2025,Posición Ocupacional,Asalariados,2.2,1.8,4.7,1.3,2.5
2025,Posición Ocupacional,Patronos y Cuenta Propia,12.7,8.9,21.6,6.4,11.9
2025,Cotización a pensión,Afiliado,0.4,0.3,0.7,0.4,0.2
2025,Cotización a pensión,No Afiliado,12.8,9.8,18.7,7.7,11.9
2025,Total,,9.6,6.9,19.1,4.7,9.8
2024,Sexo,Hombre,9.8,6.3,20.0,4.2,9.3
2024,Sexo,Mujer,14.0,11.4,25.0,8.0,15.8
2024,Edad,Hasta 25 años,15.2,12.1,21.8,8.2,16.7
2024,Edad,Entre 26 y 35 años,15.0,11.6,26.5,7.8,16.3
2024,Edad,Entre 36 y 45 años,13.1,9.7,24.5,6.7,13.5
2024,Edad,Entre 46 y 55 años,10.5,7.3,21.1,5.2,10.2
2024,Edad,Entre 56 y 65 años,9.4,7.0,18.4,4.7,10.5
2024,Edad,Mayor a 65 años,8.3,6.2,15.7,4.2,9.2
2024,Nivel Educativo,Ninguno o primaria,17.7,13.0,24.5,9.5,16.1
2024,Nivel Educativo,Secundaria,11.9,10.1,19.7,7.2,13.8
2024,Nivel Educativo,Técnica o Tecnológica,5.3,4.8,11.3,3.3,7.2
2024,Nivel Educativo,Universidad o posgrado,2.3,2.2,6.6,1.7,3.2
2024,Situación laboral,Ocupados,8.8,6.0,17.9,4.1,8.8
2024,Situación laboral,Desocupados,31.0,28.4,44.6,23.8,33.2
2024,Situación laboral,Población fuera de la fuerza de trabajo,15.8,11.7,29.6,7.6,16.7
2024,Posición Ocupacional,Asalariados,2.5,1.9,5.2,1.3,3.0
2024,Posición Ocupacional,Patronos y Cuenta Propia,15.3,11.1,24.9,8.0,14.8
2024,Cotización a pensión,Afiliado,0.4,0.3,1.0,0.3,0.4
2024,Cotización a pensión,No Afiliado,15.2,12.0,21.3,9.5,14.5
2024,Total,,11.7,8.7,21.8,5.9,12.4
