Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,13.0,8.7,26.4,5.6,13.1,11.8,,3.1,,,10.0,,12.1,12.7,,,8.6,7.8,13.5,,16.4,24.7,10.9,9.8,7.9,11.3,7.7,5.6,7.1,4.1,8.3,8.3,2.4,5.4,7.2
2013,11.4,7.9,22.5,5.2,11.8,9.1,,2.4,,,9.9,,11.9,13.7,,,8.1,8.1,9.0,,15.7,26.7,9.0,7.5,9.0,12.2,6.5,3.4,7.8,4.1,7.2,8.7,2.3,4.9,9.7
2014,10.9,7.3,22.1,4.9,10.7,7.4,,2.7,,,8.7,,12.4,14.5,,,2.1,7.3,8.6,,15.7,23.4,8.6,8.0,8.6,14.1,5.7,3.1,7.2,4.0,6.3,8.9,2.1,4.6,6.9
2015,10.9,7.1,22.7,5.1,10.0,9.3,,2.9,,,9.1,,12.0,15.8,,,3.2,8.5,9.0,,14.5,29.1,9.1,7.1,8.5,14.5,6.9,3.1,6.4,4.8,6.4,10.7,1.1,5.0,7.3
2016,11.7,8.0,23.5,5.5,11.6,9.3,,3.2,,,10.9,,13.6,16.4,,,6.2,10.1,8.2,,16.3,28.8,10.4,8.0,9.7,15.6,11.1,5.1,6.6,5.0,6.4,11.6,1.9,5.0,7.2
2017,10.4,7.2,20.5,5.3,9.8,8.0,,3.3,,,9.6,,13.3,18.2,,,5.0,9.4,7.0,,14.7,27.3,9.4,7.1,8.3,15.1,9.9,4.5,6.5,5.9,6.8,9.6,1.1,4.4,6.2
2018,10.4,7.3,20.3,5.6,9.6,7.2,,3.1,,,9.5,,13.8,20.0,,,5.7,8.4,8.9,,13.6,27.5,10.4,5.3,8.1,15.6,9.6,3.3,6.5,6.7,7.1,11.7,0.7,4.9,7.6
2019,12.0,8.3,23.7,6.2,11.3,6.9,,3.1,,,8.4,,14.8,21.1,,,5.9,8.8,7.8,,14.8,26.6,13.1,9.6,10.2,17.0,11.8,4.2,7.8,8.6,8.2,14.6,0.4,5.5,8.4
2020,17.3,15.5,23.1,14.5,16.8,16.6,,11.5,,,18.3,,24.1,32.1,,,13.7,19.3,16.7,,23.5,32.8,20.8,18.7,19.8,26.5,21.6,12.9,17.1,20.5,16.9,25.7,5.7,10.7,16.6
2021,13.7,11.3,21.6,9.4,13.9,10.5,,8.5,,,10.1,,17.8,19.0,,,9.1,12.7,10.1,,17.3,32.9,22.0,15.2,11.2,16.6,15.8,6.2,10.8,10.4,10.6,17.7,5.0,6.7,10.4
2022,13.8,11.0,23.3,8.3,14.6,7.9,11.2,8.1,9.5,6.6,12.7,12.2,14.7,17.6,4.1,6.5,9.4,11.2,10.2,6.7,13.4,31.7,23.3,16.1,14.5,10.4,15.9,7.7,10.9,9.5,6.7,12.0,4.0,5.3,7.0
2023,12.6,9.8,22.0,7.0,13.7,8.4,8.2,5.9,8.8,7.2,14.4,8.8,16.5,14.5,3.5,5.8,9.5,14.1,8.4,5.3,14.3,31.3,23.5,13.2,12.5,8.1,19.4,9.6,7.9,8.1,7.2,8.7,3.4,5.3,5.3
2024,11.7,8.7,21.8,5.9,12.4,6.1,9.2,4.2,7.7,7.8,13.2,8.4,12.8,9.4,3.1,4.1,7.4,8.5,7.8,5.1,12.9,29.7,25.9,13.1,12.0,6.1,13.4,7.8,8.6,7.3,7.9,8.3,3.1,3.7,4.7
2025,9.6,6.9,19.1,4.7,9.8,5.1,6.6,3.6,6.5,6.0,9.3,7.2,11.7,5.5,2.5,3.1,7.2,5.8,8.0,4.5,11.3,32.5,23.3,7.6,10.4,5.3,9.2,6.9,6.8,5.6,6.0,6.7,2.4,2.7,4.1
