Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,5690,2864,2826,1105,1760,33,,223,,,83,,18,60,,,31,24,41,,41,25,12,40,18,17,29,25,117,42,183,69,10,178,42
2013,5051,2628,2422,1028,1601,25,,170,,,83,,17,65,,,30,26,27,,40,28,10,31,21,18,25,15,130,43,160,72,10,165,58
2014,4842,2448,2394,970,1478,21,,194,,,73,,18,69,,,8,23,26,,40,25,10,34,20,22,22,14,123,42,139,75,9,157,41
2015,4896,2425,2471,1030,1395,26,,208,,,77,,18,76,,,12,28,28,,37,31,10,30,20,23,27,14,109,52,143,90,5,173,44
2016,5332,2759,2572,1112,1647,26,,230,,,93,,20,79,,,23,33,25,,42,32,12,35,23,25,45,24,115,54,142,99,9,175,43
2017,4784,2515,2269,1090,1425,23,,240,,,83,,20,89,,,19,31,21,,39,30,11,32,20,24,41,22,115,65,153,83,5,157,38
2018,4863,2588,2275,1163,1424,21,,228,,,84,,20,98,,,22,28,27,,36,31,13,24,20,26,42,16,118,75,160,105,3,179,47
2019,5727,3043,2683,1314,1729,20,,235,,,76,,22,105,,,23,30,24,,40,30,18,45,26,29,53,21,146,100,186,138,2,206,53
2020,8422,5784,2638,3146,2638,49,,885,,,168,,37,161,,,54,66,51,,63,37,31,90,51,45,101,65,331,245,388,251,28,413,106
2021,6774,4291,2482,2065,2226,32,,665,,,94,,27,96,,,36,44,31,,47,37,33,75,29,29,75,31,213,126,246,175,24,261,67
2022,6905,4214,2690,1842,2372,24,147.0,640,58.0,148.0,119,93.0,23,89,18.0,166.0,38,39,31,27.0,36,36,36,80,39,18,77,39,217,116,156,120,19,212,46
2023,6392,3832,2560,1574,2258,26,108.0,469,54.0,162.0,136,67.0,26,73,15.0,153.0,38,49,26,22.0,39,36,37,66,33,14,95,49,160,100,168,87,17,216,35
2024,5972,3417,2555,1339,2078,19,124.0,335,48.0,178.0,125,64.0,20,48,14.0,110.0,30,30,24,22.0,35,34,41,66,32,11,66,40,175,90,187,84,15,153,32
2025,4972,2729,2244,1076,1653,16,89.0,293,41.0,138.0,89,56.0,19,28,11.0,85.0,29,20,25,19.0,31,37,37,38,28,9,46,36,140,71,144,68,12,115,28
