Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Andorra,6,11,17
2012-02,Andorra,1,4,5
2012-03,Andorra,1,10,11
2012-04,Andorra,1,7,8
2012-05,Andorra,1,9,10
2012-06,Andorra,0,12,12
2012-07,Andorra,0,10,10
2012-08,Andorra,1,11,12
2012-09,Andorra,2,5,7
2012-10,Andorra,3,8,11
2012-11,Andorra,0,12,12
2012-12,Andorra,1,8,9
2013-01,Andorra,5,9,14
2013-02,Andorra,1,11,12
2013-03,Andorra,2,9,11
2013-04,Andorra,2,12,14
2013-05,Andorra,2,12,14
2013-06,Andorra,0,12,12
2013-07,Andorra,2,12,14
2013-08,Andorra,3,15,18
2013-09,Andorra,1,5,6
2013-10,Andorra,2,17,19
2013-11,Andorra,0,8,8
2013-12,Andorra,0,4,4
2014-01,Andorra,1,8,9
2014-02,Andorra,8,9,17
2014-03,Andorra,0,8,8
2014-04,Andorra,1,9,10
2014-05,Andorra,0,6,6
2014-06,Andorra,0,4,4
2014-07,Andorra,1,5,6
2014-08,Andorra,1,6,7
2014-09,Andorra,1,8,9
2014-10,Andorra,1,11,12
2014-11,Andorra,1,10,11
2014-12,Andorra,2,9,11
2015-01,Andorra,4,10,14
2015-02,Andorra,2,12,14
2015-03,Andorra,3,15,18
2015-04,Andorra,4,9,13
2015-05,Andorra,1,7,8
2015-06,Andorra,1,10,11
2015-07,Andorra,0,9,9
2015-08,Andorra,3,10,13
2015-09,Andorra,2,10,12
2015-10,Andorra,1,8,9
2015-11,Andorra,1,10,11
2015-12,Andorra,2,7,9
2016-01,Andorra,3,10,13
2016-02,Andorra,3,12,15
2016-03,Andorra,2,15,17
2016-04,Andorra,4,7,11
2016-05,Andorra,6,15,21
2016-06,Andorra,1,9,10
2016-07,Andorra,1,12,13
2016-08,Andorra,3,8,11
2016-09,Andorra,2,10,12
2016-10,Andorra,5,15,20
2016-11,Andorra,2,16,18
2016-12,Andorra,3,7,10
2017-01,Andorra,1,8,9
2017-02,Andorra,7,18,25
2017-03,Andorra,1,12,13
2017-04,Andorra,2,8,10
2017-05,Andorra,0,10,10
2017-06,Andorra,3,9,12
2017-07,Andorra,1,11,12
2017-08,Andorra,6,18,24
2017-09,Andorra,1,8,9
2017-10,Andorra,3,12,15
2017-11,Andorra,2,10,12
2017-12,Andorra,3,8,11
2018-01,Andorra,3,12,15
2018-02,Andorra,4,13,17
2018-03,Andorra,2,8,10
2018-04,Andorra,2,7,9
2018-05,Andorra,1,9,10
2018-06,Andorra,1,7,8
2018-07,Andorra,1,6,7
2018-08,Andorra,4,8,12
2018-09,Andorra,1,11,12
2018-10,Andorra,3,6,9
2018-11,Andorra,4,14,18
2018-12,Andorra,2,2,4
2019-01,Andorra,6,9,15
2019-02,Andorra,4,9,13
2019-03,Andorra,9,11,20
2019-04,Andorra,10,15,25
2019-05,Andorra,2,7,9
2019-06,Andorra,3,16,19
2019-07,Andorra,4,16,20
2019-08,Andorra,10,15,25
2019-09,Andorra,4,6,10
2019-10,Andorra,2,12,14
2019-11,Andorra,1,10,11
2019-12,Andorra,1,5,6
2020-01,Andorra,3,10,13
2020-02,Andorra,0,9,9
2020-03,Andorra,1,2,3
2020-10,Andorra,0,1,1
2020-12,Andorra,0,1,1
2021-01,Andorra,2,4,6
2021-02,Andorra,0,4,4
2021-03,Andorra,1,2,3
2021-04,Andorra,1,2,3
2021-05,Andorra,2,6,8
2021-06,Andorra,1,3,4
2021-07,Andorra,0,2,2
2021-08,Andorra,4,5,9
2021-09,Andorra,2,5,7
2021-10,Andorra,2,8,10
2021-11,Andorra,0,7,7
2021-12,Andorra,5,10,15
2022-01,Andorra,2,4,6
2022-02,Andorra,1,6,7
2022-03,Andorra,0,5,5
2022-04,Andorra,8,15,23
2022-05,Andorra,5,10,15
2022-06,Andorra,2,7,9
2022-07,Andorra,5,12,17
2022-08,Andorra,9,13,22
2022-09,Andorra,4,6,10
2022-10,Andorra,2,5,7
2022-11,Andorra,0,4,4
2022-12,Andorra,2,13,15
2023-01,Andorra,2,8,10
2023-02,Andorra,8,9,17
2023-03,Andorra,2,9,11
2023-04,Andorra,1,7,8
2023-05,Andorra,5,8,13
2023-06,Andorra,2,5,7
2023-07,Andorra,14,14,28
2023-08,Andorra,14,18,32
2023-09,Andorra,6,10,16
2023-10,Andorra,3,6,9
2023-11,Andorra,5,13,18
2023-12,Andorra,6,17,23
2024-01,Andorra,2,7,9
2024-02,Andorra,4,6,10
2024-03,Andorra,3,7,10
2024-04,Andorra,2,8,10
2024-05,Andorra,3,8,11
2024-06,Andorra,0,8,8
2024-07,Andorra,4,11,15
2024-08,Andorra,6,11,17
2024-09,Andorra,7,5,12
2024-10,Andorra,3,8,11
2024-11,Andorra,7,6,13
2024-12,Andorra,9,6,15
2025-01,Andorra,2,8,10
2025-02,Andorra,4,8,12
2025-03,Andorra,3,7,10
2025-04,Andorra,1,5,6
2025-05,Andorra,4,13,17
2025-06,Andorra,4,11,15
2025-07,Andorra,6,12,18
2025-08,Andorra,9,16,25
2025-09,Andorra,2,6,8
2025-10,Andorra,10,17,27
2025-11,Andorra,0,13,13
2025-12,Andorra,4,6,10
