Fecha,Nacionalidad,Femenino,Masculino,Total
2012-07,Anguila,0,3,3
2013-08,Anguila,0,1,1
2013-12,Anguila,0,1,1
2014-07,Anguila,0,1,1
2014-11,Anguila,1,0,1
2015-09,Anguila,0,1,1
2015-10,Anguila,0,1,1
2015-11,Anguila,2,1,3
2016-01,Anguila,0,1,1
2016-02,Anguila,0,1,1
2016-07,Anguila,0,1,1
2016-08,Anguila,0,1,1
2016-09,Anguila,1,1,2
2016-11,Anguila,0,1,1
2017-04,Anguila,1,0,1
2017-05,Anguila,0,1,1
2017-06,Anguila,1,0,1
2017-07,Anguila,0,1,1
2017-10,Anguila,0,1,1
2018-04,Anguila,1,0,1
2018-05,Anguila,0,1,1
2018-08,Anguila,0,1,1
2019-02,Anguila,0,1,1
2019-08,Anguila,1,1,2
2019-10,Anguila,0,1,1
2020-10,Anguila,2,1,3
2021-01,Anguila,1,0,1
2021-07,Anguila,1,1,2
2021-08,Anguila,1,0,1
2021-09,Anguila,0,1,1
2021-11,Anguila,1,2,3
2021-12,Anguila,1,2,3
2022-01,Anguila,0,1,1
2022-02,Anguila,1,0,1
2022-03,Anguila,1,0,1
2022-04,Anguila,0,1,1
2022-05,Anguila,0,1,1
2022-06,Anguila,1,1,2
2022-08,Anguila,2,5,7
2022-10,Anguila,1,1,2
2022-12,Anguila,1,2,3
2023-02,Anguila,2,1,3
2023-03,Anguila,1,1,2
2023-05,Anguila,0,1,1
2023-07,Anguila,2,4,6
2023-08,Anguila,0,2,2
2023-09,Anguila,1,0,1
2023-10,Anguila,6,0,6
2023-11,Anguila,1,0,1
2023-12,Anguila,1,0,1
2024-01,Anguila,1,3,4
2024-02,Anguila,0,1,1
2024-03,Anguila,1,2,3
2024-04,Anguila,1,2,3
2024-06,Anguila,0,1,1
2024-08,Anguila,2,4,6
2024-09,Anguila,1,1,2
2024-11,Anguila,1,1,2
2024-12,Anguila,1,1,2
2025-01,Anguila,2,1,3
2025-02,Anguila,0,2,2
2025-03,Anguila,0,1,1
2025-04,Anguila,2,0,2
2025-05,Anguila,0,1,1
2025-06,Anguila,1,2,3
2025-07,Anguila,0,4,4
2025-08,Anguila,0,4,4
2025-09,Anguila,5,5,10
2025-10,Anguila,1,1,2
2025-11,Anguila,0,1,1
2025-12,Anguila,1,3,4
