Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Argelia,3,4,7
2012-02,Argelia,0,2,2
2012-03,Argelia,0,1,1
2012-04,Argelia,1,3,4
2012-05,Argelia,1,4,5
2012-06,Argelia,1,6,7
2012-07,Argelia,1,3,4
2012-08,Argelia,3,4,7
2012-09,Argelia,4,9,13
2012-10,Argelia,1,2,3
2012-11,Argelia,0,3,3
2012-12,Argelia,3,2,5
2013-01,Argelia,0,6,6
2013-02,Argelia,1,2,3
2013-03,Argelia,2,3,5
2013-04,Argelia,1,3,4
2013-05,Argelia,0,2,2
2013-06,Argelia,1,3,4
2013-07,Argelia,2,8,10
2013-08,Argelia,1,2,3
2013-09,Argelia,1,3,4
2013-10,Argelia,0,10,10
2013-11,Argelia,1,4,5
2013-12,Argelia,3,4,7
2014-01,Argelia,1,6,7
2014-02,Argelia,2,3,5
2014-03,Argelia,3,8,11
2014-04,Argelia,1,6,7
2014-05,Argelia,3,3,6
2014-06,Argelia,1,3,4
2014-07,Argelia,1,2,3
2014-08,Argelia,2,5,7
2014-09,Argelia,6,6,12
2014-10,Argelia,2,6,8
2014-11,Argelia,2,4,6
2014-12,Argelia,1,3,4
2015-01,Argelia,3,5,8
2015-02,Argelia,1,3,4
2015-03,Argelia,1,4,5
2015-04,Argelia,1,2,3
2015-05,Argelia,1,9,10
2015-06,Argelia,2,8,10
2015-07,Argelia,1,20,21
2015-08,Argelia,3,10,13
2015-09,Argelia,2,9,11
2015-10,Argelia,1,10,11
2015-11,Argelia,3,2,5
2015-12,Argelia,3,5,8
2016-01,Argelia,3,3,6
2016-02,Argelia,3,4,7
2016-03,Argelia,3,6,9
2016-04,Argelia,2,2,4
2016-05,Argelia,0,2,2
2016-06,Argelia,1,4,5
2016-07,Argelia,1,5,6
2016-08,Argelia,2,9,11
2016-09,Argelia,2,4,6
2016-10,Argelia,4,6,10
2016-11,Argelia,4,5,9
2016-12,Argelia,2,10,12
2017-01,Argelia,3,5,8
2017-02,Argelia,3,3,6
2017-03,Argelia,0,7,7
2017-04,Argelia,0,3,3
2017-05,Argelia,3,12,15
2017-06,Argelia,1,8,9
2017-07,Argelia,4,9,13
2017-08,Argelia,8,13,21
2017-09,Argelia,1,7,8
2017-10,Argelia,2,5,7
2017-11,Argelia,2,3,5
2017-12,Argelia,2,10,12
2018-01,Argelia,5,9,14
2018-02,Argelia,1,6,7
2018-03,Argelia,2,6,8
2018-04,Argelia,1,5,6
2018-05,Argelia,4,2,6
2018-06,Argelia,2,7,9
2018-07,Argelia,5,9,14
2018-08,Argelia,11,5,16
2018-09,Argelia,4,5,9
2018-10,Argelia,2,9,11
2018-11,Argelia,1,2,3
2018-12,Argelia,3,11,14
2019-01,Argelia,6,5,11
2019-02,Argelia,6,9,15
2019-03,Argelia,4,5,9
2019-04,Argelia,2,5,7
2019-05,Argelia,3,2,5
2019-06,Argelia,2,4,6
2019-07,Argelia,4,14,18
2019-08,Argelia,16,10,26
2019-09,Argelia,2,8,10
2019-10,Argelia,2,7,9
2019-11,Argelia,4,3,7
2019-12,Argelia,2,6,8
2020-01,Argelia,4,4,8
2020-02,Argelia,6,13,19
2020-03,Argelia,1,2,3
2020-09,Argelia,0,1,1
2020-11,Argelia,0,1,1
2020-12,Argelia,0,1,1
2021-01,Argelia,0,2,2
2021-02,Argelia,1,1,2
2021-04,Argelia,0,2,2
2021-06,Argelia,0,3,3
2021-08,Argelia,2,2,4
2021-09,Argelia,0,4,4
2021-10,Argelia,1,3,4
2021-11,Argelia,4,3,7
2021-12,Argelia,1,3,4
2022-01,Argelia,1,4,5
2022-02,Argelia,2,10,12
2022-03,Argelia,2,3,5
2022-04,Argelia,1,3,4
2022-05,Argelia,1,7,8
2022-06,Argelia,2,5,7
2022-07,Argelia,9,24,33
2022-08,Argelia,1,17,18
2022-09,Argelia,5,7,12
2022-10,Argelia,3,3,6
2022-11,Argelia,2,4,6
2022-12,Argelia,3,14,17
2023-01,Argelia,3,11,14
2023-02,Argelia,2,8,10
2023-03,Argelia,2,5,7
2023-04,Argelia,4,6,10
2023-05,Argelia,0,11,11
2023-06,Argelia,0,4,4
2023-07,Argelia,5,7,12
2023-08,Argelia,4,10,14
2023-09,Argelia,5,3,8
2023-10,Argelia,3,8,11
2023-11,Argelia,6,4,10
2023-12,Argelia,10,22,32
2024-01,Argelia,4,5,9
2024-02,Argelia,4,10,14
2024-03,Argelia,2,2,4
2024-04,Argelia,1,6,7
2024-05,Argelia,4,5,9
2024-06,Argelia,1,5,6
2024-07,Argelia,1,9,10
2024-08,Argelia,10,9,19
2024-09,Argelia,0,5,5
2024-10,Argelia,3,8,11
2024-11,Argelia,2,6,8
2024-12,Argelia,5,10,15
2025-01,Argelia,2,2,4
2025-02,Argelia,2,9,11
2025-03,Argelia,2,6,8
2025-04,Argelia,4,2,6
2025-05,Argelia,2,8,10
2025-06,Argelia,2,5,7
2025-07,Argelia,0,9,9
2025-08,Argelia,9,14,23
2025-09,Argelia,2,5,7
2025-10,Argelia,3,8,11
2025-11,Argelia,3,10,13
2025-12,Argelia,3,8,11
