Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Australia,379,678,1057
2012-02,Australia,291,553,844
2012-03,Australia,286,538,824
2012-04,Australia,280,501,781
2012-05,Australia,275,547,822
2012-06,Australia,320,535,855
2012-07,Australia,349,548,897
2012-08,Australia,335,555,890
2012-09,Australia,283,526,809
2012-10,Australia,305,570,875
2012-11,Australia,377,665,1042
2012-12,Australia,530,865,1395
2013-01,Australia,413,696,1109
2013-02,Australia,293,594,887
2013-03,Australia,299,554,853
2013-04,Australia,264,514,778
2013-05,Australia,289,520,809
2013-06,Australia,310,516,826
2013-07,Australia,396,664,1060
2013-08,Australia,331,533,864
2013-09,Australia,278,508,786
2013-10,Australia,280,510,790
2013-11,Australia,412,611,1023
2013-12,Australia,496,875,1371
2014-01,Australia,381,624,1005
2014-02,Australia,273,571,844
2014-03,Australia,309,554,863
2014-04,Australia,348,593,941
2014-05,Australia,322,692,1014
2014-06,Australia,352,752,1104
2014-07,Australia,466,836,1302
2014-08,Australia,407,741,1148
2014-09,Australia,385,656,1041
2014-10,Australia,312,629,941
2014-11,Australia,439,762,1201
2014-12,Australia,671,1057,633
2015-01,Australia,500,784,1284
2015-02,Australia,366,606,972
2015-03,Australia,331,640,971
2015-04,Australia,350,605,955
2015-05,Australia,394,734,1128
2015-06,Australia,401,614,1015
2015-07,Australia,475,785,1260
2015-08,Australia,413,650,1063
2015-09,Australia,442,642,1084
2015-10,Australia,420,765,1185
2015-11,Australia,526,859,1385
2015-12,Australia,769,1223,654
2016-01,Australia,639,1006,1645
2016-02,Australia,407,731,1138
2016-03,Australia,397,641,1038
2016-04,Australia,388,708,1096
2016-05,Australia,443,791,1234
2016-06,Australia,456,708,1164
2016-07,Australia,511,791,1302
2016-08,Australia,488,781,1269
2016-09,Australia,454,708,1162
2016-10,Australia,494,813,1307
2016-11,Australia,529,876,1405
2016-12,Australia,712,1193,661
2017-01,Australia,668,1031,643
2017-02,Australia,428,731,1159
2017-03,Australia,403,784,1187
2017-04,Australia,452,712,1164
2017-05,Australia,445,773,1218
2017-06,Australia,529,828,1357
2017-07,Australia,613,923,487
2017-08,Australia,496,815,1311
2017-09,Australia,461,727,1188
2017-10,Australia,509,804,1313
2017-11,Australia,631,983,507
2017-12,Australia,782,1323,677
2018-01,Australia,636,1109,715
2018-02,Australia,436,774,1210
2018-03,Australia,451,818,1269
2018-04,Australia,467,721,1188
2018-05,Australia,466,807,1274
2018-06,Australia,513,854,1367
2018-07,Australia,566,853,1419
2018-08,Australia,465,861,1326
2018-09,Australia,474,813,1287
2018-10,Australia,456,810,1266
2018-11,Australia,540,977,445
2018-12,Australia,912,461,738
2019-01,Australia,636,1004,627
2019-02,Australia,367,678,1045
2019-03,Australia,458,803,1261
2019-04,Australia,532,837,1369
2019-05,Australia,425,729,1154
2019-06,Australia,508,825,1333
2019-07,Australia,529,911,1441
2019-08,Australia,486,799,1285
2019-09,Australia,513,870,1383
2019-10,Australia,648,940,1588
2019-11,Australia,574,955,510
2019-12,Australia,813,1286,688
2020-01,Australia,587,987,1574
2020-02,Australia,378,721,1099
2020-03,Australia,216,372,588
2020-06,Australia,1,2,3
2020-07,Australia,0,1,1
2020-08,Australia,2,4,6
2020-09,Australia,5,7,12
2020-10,Australia,11,49,60
2020-11,Australia,10,66,76
2020-12,Australia,26,103,129
2021-01,Australia,18,62,80
2021-02,Australia,9,47,56
2021-03,Australia,23,67,90
2021-04,Australia,15,67,82
2021-05,Australia,21,74,95
2021-06,Australia,27,83,110
2021-07,Australia,32,101,133
2021-08,Australia,69,159,228
2021-09,Australia,42,116,158
2021-10,Australia,67,129,196
2021-11,Australia,70,214,284
2021-12,Australia,176,446,622
2022-01,Australia,103,329,432
2022-02,Australia,127,302,429
2022-03,Australia,212,458,670
2022-04,Australia,261,571,832
2022-05,Australia,215,475,690
2022-06,Australia,266,571,837
2022-07,Australia,329,713,1042
2022-08,Australia,320,655,975
2022-09,Australia,293,563,856
2022-10,Australia,352,714,1066
2022-11,Australia,455,843,1298
2022-12,Australia,926,522,782
2023-01,Australia,562,957,1519
2023-02,Australia,391,728,1119
2023-03,Australia,473,791,1264
2023-04,Australia,404,740,1144
2023-05,Australia,417,741,1158
2023-06,Australia,474,730,1204
2023-07,Australia,485,837,1322
2023-08,Australia,433,684,1117
2023-09,Australia,404,732,1136
2023-10,Australia,423,709,1132
2023-11,Australia,570,908,1478
2023-12,Australia,927,558,865
2024-01,Australia,641,1078,719
2024-02,Australia,388,732,1120
2024-03,Australia,488,867,1355
2024-04,Australia,473,761,1234
2024-05,Australia,451,785,1236
2024-06,Australia,452,809,1261
2024-07,Australia,489,788,1277
2024-08,Australia,488,844,1332
2024-09,Australia,501,814,1315
2024-10,Australia,542,887,1429
2024-11,Australia,684,998,1682
2024-12,Australia,1098,675,1091
2025-01,Australia,651,1127,1778
2025-02,Australia,457,793,1250
2025-03,Australia,466,889,1355
2025-04,Australia,482,772,1254
2025-05,Australia,378,677,1055
2025-06,Australia,506,786,1292
2025-07,Australia,536,914,1450
2025-08,Australia,510,819,1329
2025-09,Australia,446,785,1231
2025-10,Australia,568,909,1477
2025-11,Australia,641,1108,680
2025-12,Australia,1201,694,1115
