Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Bahamas,2,5,7
2012-02,Bahamas,6,17,23
2012-03,Bahamas,2,16,18
2012-04,Bahamas,3,15,18
2012-05,Bahamas,3,16,19
2012-06,Bahamas,6,16,22
2012-07,Bahamas,7,10,17
2012-08,Bahamas,5,9,14
2012-09,Bahamas,0,36,36
2012-10,Bahamas,5,2,7
2012-11,Bahamas,6,14,20
2012-12,Bahamas,4,11,15
2013-01,Bahamas,3,7,10
2013-02,Bahamas,5,13,18
2013-03,Bahamas,3,5,8
2013-04,Bahamas,3,12,15
2013-05,Bahamas,9,20,29
2013-06,Bahamas,6,5,11
2013-07,Bahamas,7,12,19
2013-08,Bahamas,8,16,24
2013-09,Bahamas,4,15,19
2013-10,Bahamas,4,10,14
2013-11,Bahamas,8,14,22
2013-12,Bahamas,0,5,5
2014-01,Bahamas,5,10,15
2014-02,Bahamas,3,12,15
2014-03,Bahamas,2,9,11
2014-04,Bahamas,4,23,27
2014-05,Bahamas,0,4,4
2014-06,Bahamas,3,15,18
2014-07,Bahamas,3,5,8
2014-08,Bahamas,4,7,11
2014-09,Bahamas,5,4,9
2014-10,Bahamas,1,7,8
2014-11,Bahamas,9,8,17
2014-12,Bahamas,4,4,8
2015-01,Bahamas,7,6,13
2015-02,Bahamas,3,14,17
2015-03,Bahamas,3,16,19
2015-04,Bahamas,4,10,14
2015-05,Bahamas,4,8,12
2015-06,Bahamas,15,22,37
2015-07,Bahamas,19,25,44
2015-08,Bahamas,12,12,24
2015-09,Bahamas,5,15,20
2015-10,Bahamas,8,11,19
2015-11,Bahamas,7,8,15
2015-12,Bahamas,1,6,7
2016-01,Bahamas,9,12,21
2016-02,Bahamas,6,6,12
2016-03,Bahamas,6,7,13
2016-04,Bahamas,4,10,14
2016-05,Bahamas,5,13,18
2016-06,Bahamas,10,13,23
2016-07,Bahamas,14,12,26
2016-08,Bahamas,10,24,34
2016-09,Bahamas,14,27,41
2016-10,Bahamas,5,9,14
2016-11,Bahamas,7,14,21
2016-12,Bahamas,11,11,22
2017-01,Bahamas,9,18,27
2017-02,Bahamas,8,31,39
2017-03,Bahamas,13,14,27
2017-04,Bahamas,9,15,24
2017-05,Bahamas,8,26,34
2017-06,Bahamas,5,21,26
2017-07,Bahamas,21,15,36
2017-08,Bahamas,15,27,42
2017-09,Bahamas,17,20,37
2017-10,Bahamas,11,21,32
2017-11,Bahamas,12,19,31
2017-12,Bahamas,12,18,30
2018-01,Bahamas,8,21,29
2018-02,Bahamas,11,28,39
2018-03,Bahamas,9,24,33
2018-04,Bahamas,17,18,35
2018-05,Bahamas,5,24,29
2018-06,Bahamas,15,18,33
2018-07,Bahamas,40,83,123
2018-08,Bahamas,12,27,39
2018-09,Bahamas,10,22,32
2018-10,Bahamas,22,31,53
2018-11,Bahamas,16,20,36
2018-12,Bahamas,3,22,25
2019-01,Bahamas,8,31,39
2019-02,Bahamas,8,34,42
2019-03,Bahamas,15,16,31
2019-04,Bahamas,16,25,41
2019-05,Bahamas,19,24,43
2019-06,Bahamas,24,42,66
2019-07,Bahamas,23,45,68
2019-08,Bahamas,52,53,105
2019-09,Bahamas,9,16,25
2019-10,Bahamas,14,26,40
2019-11,Bahamas,16,24,40
2019-12,Bahamas,17,25,42
2020-01,Bahamas,15,33,48
2020-02,Bahamas,10,35,45
2020-03,Bahamas,3,19,22
2020-09,Bahamas,1,2,3
2020-10,Bahamas,6,3,9
2020-11,Bahamas,9,13,22
2020-12,Bahamas,1,20,21
2021-01,Bahamas,5,13,18
2021-02,Bahamas,3,8,11
2021-03,Bahamas,10,18,28
2021-04,Bahamas,7,8,15
2021-05,Bahamas,7,13,20
2021-06,Bahamas,14,31,45
2021-07,Bahamas,14,10,24
2021-08,Bahamas,18,17,35
2021-09,Bahamas,15,19,34
2021-10,Bahamas,38,37,75
2021-11,Bahamas,27,41,68
2021-12,Bahamas,11,25,36
2022-01,Bahamas,16,20,36
2022-02,Bahamas,10,28,38
2022-03,Bahamas,19,24,43
2022-04,Bahamas,19,24,43
2022-05,Bahamas,20,31,51
2022-06,Bahamas,24,34,58
2022-07,Bahamas,41,38,79
2022-08,Bahamas,77,56,133
2022-09,Bahamas,21,52,73
2022-10,Bahamas,48,46,94
2022-11,Bahamas,17,54,71
2022-12,Bahamas,26,34,60
2023-01,Bahamas,32,44,76
2023-02,Bahamas,35,43,78
2023-03,Bahamas,53,52,105
2023-04,Bahamas,49,42,91
2023-05,Bahamas,62,63,125
2023-06,Bahamas,42,50,92
2023-07,Bahamas,59,58,117
2023-08,Bahamas,56,49,105
2023-09,Bahamas,59,62,121
2023-10,Bahamas,49,73,122
2023-11,Bahamas,53,77,130
2023-12,Bahamas,22,41,63
2024-01,Bahamas,38,42,80
2024-02,Bahamas,39,38,77
2024-03,Bahamas,68,76,144
2024-04,Bahamas,61,62,123
2024-05,Bahamas,62,64,126
2024-06,Bahamas,58,75,133
2024-07,Bahamas,50,75,125
2024-08,Bahamas,68,79,147
2024-09,Bahamas,63,74,137
2024-10,Bahamas,80,85,165
2024-11,Bahamas,77,86,163
2024-12,Bahamas,37,49,86
2025-01,Bahamas,46,49,95
2025-02,Bahamas,70,67,137
2025-03,Bahamas,72,91,163
2025-04,Bahamas,63,85,148
2025-05,Bahamas,89,94,183
2025-06,Bahamas,93,75,168
2025-07,Bahamas,79,83,162
2025-08,Bahamas,91,89,180
2025-09,Bahamas,75,70,145
2025-10,Bahamas,94,117,211
2025-11,Bahamas,83,87,170
2025-12,Bahamas,46,48,94
