Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Bahrein,0,1,1
2012-02,Bahrein,1,0,1
2012-03,Bahrein,0,1,1
2013-01,Bahrein,0,1,1
2013-05,Bahrein,1,0,1
2013-10,Bahrein,0,5,5
2013-11,Bahrein,1,1,2
2013-12,Bahrein,3,1,4
2014-01,Bahrein,0,1,1
2014-02,Bahrein,0,1,1
2014-03,Bahrein,0,1,1
2014-04,Bahrein,1,2,3
2014-05,Bahrein,1,3,4
2014-06,Bahrein,0,1,1
2014-07,Bahrein,0,2,2
2014-08,Bahrein,0,1,1
2014-12,Bahrein,0,6,6
2015-02,Bahrein,0,1,1
2015-03,Bahrein,0,2,2
2015-04,Bahrein,0,2,2
2015-05,Bahrein,0,1,1
2015-06,Bahrein,1,4,5
2015-07,Bahrein,6,7,13
2015-08,Bahrein,0,3,3
2015-09,Bahrein,3,14,17
2015-10,Bahrein,0,2,2
2015-11,Bahrein,2,1,3
2015-12,Bahrein,1,4,5
2016-01,Bahrein,0,1,1
2016-02,Bahrein,1,2,3
2016-05,Bahrein,1,2,3
2016-06,Bahrein,1,1,2
2016-07,Bahrein,2,0,2
2016-08,Bahrein,1,0,1
2016-09,Bahrein,5,1,6
2016-11,Bahrein,0,2,2
2016-12,Bahrein,0,3,3
2017-01,Bahrein,1,1,2
2017-02,Bahrein,0,2,2
2017-03,Bahrein,0,1,1
2017-04,Bahrein,1,0,1
2017-05,Bahrein,0,1,1
2017-07,Bahrein,1,4,5
2017-08,Bahrein,0,2,2
2017-10,Bahrein,1,2,3
2017-11,Bahrein,1,1,2
2017-12,Bahrein,0,1,1
2018-01,Bahrein,1,0,1
2018-02,Bahrein,0,2,2
2018-03,Bahrein,1,4,5
2018-04,Bahrein,0,1,1
2018-05,Bahrein,0,1,1
2018-06,Bahrein,0,1,1
2018-07,Bahrein,0,1,1
2018-08,Bahrein,1,0,1
2018-09,Bahrein,0,2,2
2018-10,Bahrein,1,0,1
2018-11,Bahrein,0,2,2
2018-12,Bahrein,2,4,6
2019-01,Bahrein,1,2,3
2019-03,Bahrein,0,2,2
2019-04,Bahrein,0,1,1
2019-05,Bahrein,0,3,3
2019-06,Bahrein,1,4,5
2019-07,Bahrein,4,1,5
2019-08,Bahrein,0,2,2
2019-09,Bahrein,1,4,5
2019-10,Bahrein,0,3,3
2019-11,Bahrein,2,6,8
2019-12,Bahrein,5,2,7
2020-01,Bahrein,1,1,2
2020-02,Bahrein,2,1,3
2020-04,Bahrein,0,1,1
2020-06,Bahrein,0,1,1
2020-09,Bahrein,0,1,1
2020-11,Bahrein,0,2,2
2020-12,Bahrein,0,1,1
2021-05,Bahrein,0,1,1
2021-06,Bahrein,0,2,2
2021-08,Bahrein,2,3,5
2021-09,Bahrein,1,4,5
2021-10,Bahrein,1,1,2
2021-11,Bahrein,1,3,4
2021-12,Bahrein,3,7,10
2022-02,Bahrein,2,2,4
2022-03,Bahrein,0,7,7
2022-04,Bahrein,0,1,1
2022-05,Bahrein,1,1,2
2022-06,Bahrein,2,2,4
2022-07,Bahrein,4,9,13
2022-08,Bahrein,0,1,1
2022-09,Bahrein,7,3,10
2022-10,Bahrein,1,2,3
2022-11,Bahrein,4,3,7
2022-12,Bahrein,2,7,9
2023-03,Bahrein,2,2,4
2023-04,Bahrein,0,1,1
2023-07,Bahrein,1,4,5
2023-08,Bahrein,3,10,13
2023-09,Bahrein,0,3,3
2023-11,Bahrein,0,4,4
2023-12,Bahrein,1,3,4
2024-02,Bahrein,1,1,2
2024-04,Bahrein,0,11,11
2024-05,Bahrein,1,3,4
2024-06,Bahrein,0,1,1
2024-07,Bahrein,1,3,4
2024-09,Bahrein,0,4,4
2024-10,Bahrein,2,7,9
2024-11,Bahrein,4,3,7
2024-12,Bahrein,1,3,4
2025-01,Bahrein,0,1,1
2025-02,Bahrein,1,2,3
2025-03,Bahrein,0,1,1
2025-04,Bahrein,1,1,2
2025-06,Bahrein,2,2,4
2025-07,Bahrein,2,1,3
2025-08,Bahrein,0,1,1
2025-09,Bahrein,0,1,1
2025-10,Bahrein,7,13,20
2025-12,Bahrein,0,2,2
