Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Belarús,5,5,10
2012-02,Belarús,5,1,6
2012-03,Belarús,4,0,4
2012-04,Belarús,1,3,4
2012-05,Belarús,0,3,3
2012-06,Belarús,2,5,7
2012-07,Belarús,0,3,3
2012-08,Belarús,1,3,4
2012-09,Belarús,2,0,2
2012-10,Belarús,9,13,22
2012-11,Belarús,4,3,7
2012-12,Belarús,2,1,3
2013-01,Belarús,5,8,13
2013-02,Belarús,5,1,6
2013-03,Belarús,1,6,7
2013-04,Belarús,7,4,11
2013-05,Belarús,2,7,9
2013-06,Belarús,4,4,8
2013-07,Belarús,23,17,40
2013-08,Belarús,3,2,5
2013-09,Belarús,2,7,9
2013-10,Belarús,2,5,7
2013-11,Belarús,2,0,2
2013-12,Belarús,3,2,5
2014-01,Belarús,5,2,7
2014-02,Belarús,9,20,29
2014-03,Belarús,1,3,4
2014-04,Belarús,2,2,4
2014-05,Belarús,2,3,5
2014-06,Belarús,5,2,7
2014-07,Belarús,3,1,4
2014-08,Belarús,3,3,6
2014-09,Belarús,6,0,6
2014-10,Belarús,1,6,7
2014-11,Belarús,2,2,4
2014-12,Belarús,9,8,17
2015-01,Belarús,16,11,27
2015-02,Belarús,4,1,5
2015-03,Belarús,5,9,14
2015-04,Belarús,5,3,8
2015-05,Belarús,3,7,10
2015-06,Belarús,5,3,8
2015-07,Belarús,4,12,16
2015-08,Belarús,7,4,11
2015-09,Belarús,2,7,9
2015-10,Belarús,14,13,27
2015-11,Belarús,5,6,11
2015-12,Belarús,4,4,8
2016-01,Belarús,3,11,14
2016-02,Belarús,29,80,109
2016-03,Belarús,5,7,12
2016-04,Belarús,4,1,5
2016-05,Belarús,1,7,8
2016-06,Belarús,5,7,12
2016-07,Belarús,7,8,15
2016-08,Belarús,6,6,12
2016-09,Belarús,7,6,13
2016-10,Belarús,6,9,15
2016-11,Belarús,4,3,7
2016-12,Belarús,9,8,17
2017-01,Belarús,11,17,28
2017-02,Belarús,5,22,27
2017-03,Belarús,8,8,16
2017-04,Belarús,8,5,13
2017-05,Belarús,4,6,10
2017-06,Belarús,6,8,14
2017-07,Belarús,2,5,7
2017-08,Belarús,3,7,10
2017-09,Belarús,8,4,12
2017-10,Belarús,5,3,8
2017-11,Belarús,8,15,23
2017-12,Belarús,10,7,17
2018-01,Belarús,6,6,12
2018-02,Belarús,6,6,12
2018-03,Belarús,3,7,10
2018-04,Belarús,3,7,10
2018-05,Belarús,9,1,10
2018-06,Belarús,5,3,8
2018-07,Belarús,3,5,8
2018-08,Belarús,7,2,9
2018-09,Belarús,6,1,7
2018-10,Belarús,7,4,11
2018-11,Belarús,8,8,16
2018-12,Belarús,11,8,19
2019-01,Belarús,4,3,7
2019-02,Belarús,6,2,8
2019-03,Belarús,8,13,21
2019-04,Belarús,1,12,13
2019-05,Belarús,3,10,13
2019-06,Belarús,2,7,9
2019-07,Belarús,3,5,8
2019-08,Belarús,7,4,11
2019-09,Belarús,5,8,13
2019-10,Belarús,6,11,17
2019-11,Belarús,8,13,22
2019-12,Belarús,14,6,20
2020-01,Belarús,9,6,15
2020-02,Belarús,8,9,17
2020-03,Belarús,4,4,8
2020-10,Belarús,1,0,1
2020-11,Belarús,6,8,14
2020-12,Belarús,3,1,4
2021-01,Belarús,3,4,7
2021-02,Belarús,0,4,4
2021-03,Belarús,2,3,5
2021-04,Belarús,1,2,3
2021-05,Belarús,1,3,4
2021-06,Belarús,2,2,4
2021-07,Belarús,2,3,5
2021-08,Belarús,4,7,11
2021-09,Belarús,4,6,10
2021-10,Belarús,9,13,22
2021-11,Belarús,7,10,17
2021-12,Belarús,12,12,24
2022-01,Belarús,3,3,6
2022-02,Belarús,7,6,13
2022-03,Belarús,7,4,11
2022-04,Belarús,4,15,19
2022-05,Belarús,8,7,15
2022-06,Belarús,6,7,13
2022-07,Belarús,4,6,10
2022-08,Belarús,14,8,22
2022-09,Belarús,6,5,11
2022-10,Belarús,5,7,12
2022-11,Belarús,7,9,16
2022-12,Belarús,14,6,20
2023-01,Belarús,5,5,10
2023-02,Belarús,13,11,24
2023-03,Belarús,8,12,20
2023-04,Belarús,22,26,48
2023-05,Belarús,6,9,15
2023-06,Belarús,8,7,15
2023-07,Belarús,9,5,14
2023-08,Belarús,11,8,19
2023-09,Belarús,10,9,19
2023-10,Belarús,11,4,15
2023-11,Belarús,4,8,12
2023-12,Belarús,13,10,23
2024-01,Belarús,6,18,24
2024-02,Belarús,7,11,18
2024-03,Belarús,9,9,18
2024-04,Belarús,12,10,22
2024-05,Belarús,6,10,16
2024-06,Belarús,4,2,6
2024-07,Belarús,4,2,6
2024-08,Belarús,9,3,12
2024-09,Belarús,12,9,21
2024-10,Belarús,6,6,12
2024-11,Belarús,5,11,16
2024-12,Belarús,11,7,18
2025-01,Belarús,16,11,27
2025-02,Belarús,9,6,15
2025-03,Belarús,7,10,17
2025-04,Belarús,3,2,5
2025-05,Belarús,8,4,12
2025-06,Belarús,7,3,10
2025-07,Belarús,9,4,13
2025-08,Belarús,12,7,19
2025-09,Belarús,9,6,15
2025-10,Belarús,9,7,16
2025-11,Belarús,11,11,22
2025-12,Belarús,10,10,20
