Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Belice,9,11,20
2012-02,Belice,2,7,9
2012-03,Belice,3,9,12
2012-04,Belice,5,13,18
2012-05,Belice,2,5,7
2012-06,Belice,4,23,27
2012-07,Belice,6,17,23
2012-08,Belice,4,10,14
2012-09,Belice,6,13,19
2012-10,Belice,5,18,23
2012-11,Belice,2,8,10
2012-12,Belice,6,11,17
2013-01,Belice,3,8,11
2013-02,Belice,5,12,17
2013-03,Belice,4,14,18
2013-04,Belice,2,16,18
2013-05,Belice,7,16,23
2013-06,Belice,3,17,20
2013-07,Belice,18,16,34
2013-08,Belice,11,18,29
2013-09,Belice,4,27,31
2013-10,Belice,5,15,20
2013-11,Belice,6,19,25
2013-12,Belice,11,15,26
2014-01,Belice,3,3,6
2014-02,Belice,2,8,10
2014-03,Belice,2,9,11
2014-04,Belice,5,9,14
2014-05,Belice,4,14,18
2014-06,Belice,2,10,12
2014-07,Belice,5,23,28
2014-08,Belice,10,19,29
2014-09,Belice,6,10,16
2014-10,Belice,5,16,21
2014-11,Belice,4,14,18
2014-12,Belice,3,13,16
2015-01,Belice,1,5,6
2015-02,Belice,1,15,16
2015-03,Belice,7,19,26
2015-04,Belice,3,17,20
2015-05,Belice,3,20,23
2015-06,Belice,10,10,20
2015-07,Belice,11,18,29
2015-08,Belice,10,27,37
2015-09,Belice,5,15,20
2015-10,Belice,6,16,22
2015-11,Belice,16,20,36
2015-12,Belice,2,9,11
2016-01,Belice,4,11,15
2016-02,Belice,5,15,20
2016-03,Belice,2,12,14
2016-04,Belice,2,16,18
2016-05,Belice,8,18,26
2016-06,Belice,8,13,21
2016-07,Belice,15,24,39
2016-08,Belice,12,15,27
2016-09,Belice,11,14,25
2016-10,Belice,7,21,28
2016-11,Belice,5,25,30
2016-12,Belice,4,18,22
2017-01,Belice,5,10,15
2017-02,Belice,12,13,25
2017-03,Belice,4,13,17
2017-04,Belice,2,6,8
2017-05,Belice,8,18,26
2017-06,Belice,10,18,28
2017-07,Belice,16,25,41
2017-08,Belice,14,23,37
2017-09,Belice,8,13,21
2017-10,Belice,9,21,30
2017-11,Belice,13,36,49
2017-12,Belice,6,8,14
2018-01,Belice,7,13,20
2018-02,Belice,2,14,16
2018-03,Belice,16,26,42
2018-04,Belice,8,21,29
2018-05,Belice,8,10,18
2018-06,Belice,9,15,24
2018-07,Belice,29,35,64
2018-08,Belice,9,26,35
2018-09,Belice,22,36,58
2018-10,Belice,13,28,41
2018-11,Belice,18,33,51
2018-12,Belice,10,11,21
2019-01,Belice,7,22,29
2019-02,Belice,9,17,26
2019-03,Belice,12,20,32
2019-04,Belice,14,20,34
2019-05,Belice,28,31,59
2019-06,Belice,19,28,47
2019-07,Belice,53,62,115
2019-08,Belice,23,34,57
2019-09,Belice,14,14,28
2019-10,Belice,6,9,15
2019-11,Belice,11,22,33
2019-12,Belice,14,15,29
2020-01,Belice,4,18,22
2020-02,Belice,9,16,25
2020-03,Belice,5,8,13
2020-10,Belice,2,6,8
2020-11,Belice,3,3,6
2020-12,Belice,5,5,10
2021-01,Belice,1,6,7
2021-02,Belice,4,4,8
2021-03,Belice,0,3,3
2021-04,Belice,4,5,9
2021-05,Belice,2,6,8
2021-06,Belice,6,10,16
2021-07,Belice,7,4,11
2021-08,Belice,6,8,14
2021-09,Belice,6,8,14
2021-10,Belice,4,12,16
2021-11,Belice,5,29,34
2021-12,Belice,11,10,21
2022-01,Belice,6,10,16
2022-02,Belice,3,19,22
2022-03,Belice,6,10,16
2022-04,Belice,21,30,51
2022-05,Belice,10,16,26
2022-06,Belice,3,12,15
2022-07,Belice,20,29,49
2022-08,Belice,12,20,32
2022-09,Belice,9,14,23
2022-10,Belice,8,19,27
2022-11,Belice,18,25,43
2022-12,Belice,23,27,50
2023-01,Belice,10,15,25
2023-02,Belice,8,10,18
2023-03,Belice,32,35,67
2023-04,Belice,23,19,42
2023-05,Belice,18,22,40
2023-06,Belice,28,35,63
2023-07,Belice,23,60,83
2023-08,Belice,34,55,89
2023-09,Belice,30,32,62
2023-10,Belice,28,22,50
2023-11,Belice,22,30,52
2023-12,Belice,16,24,40
2024-01,Belice,19,22,41
2024-02,Belice,13,18,31
2024-03,Belice,17,23,40
2024-04,Belice,9,24,33
2024-05,Belice,19,23,42
2024-06,Belice,36,34,70
2024-07,Belice,29,35,64
2024-08,Belice,38,44,82
2024-09,Belice,25,53,78
2024-10,Belice,32,43,75
2024-11,Belice,23,34,57
2024-12,Belice,27,21,48
2025-01,Belice,21,40,61
2025-02,Belice,37,30,67
2025-03,Belice,45,46,91
2025-04,Belice,22,34,56
2025-05,Belice,30,32,62
2025-06,Belice,17,31,48
2025-07,Belice,113,99,212
2025-08,Belice,52,45,97
2025-09,Belice,32,45,77
2025-10,Belice,22,51,73
2025-11,Belice,42,41,83
2025-12,Belice,25,34,59
