Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Benin,2,2,4
2012-03,Benin,0,1,1
2012-05,Benin,2,0,2
2012-06,Benin,1,0,1
2012-08,Benin,1,2,3
2012-09,Benin,0,4,4
2012-10,Benin,1,0,1
2012-11,Benin,1,0,1
2013-01,Benin,0,1,1
2013-02,Benin,1,0,1
2013-05,Benin,0,1,1
2013-07,Benin,1,0,1
2013-09,Benin,1,0,1
2013-10,Benin,2,2,4
2013-12,Benin,3,1,4
2014-01,Benin,1,0,1
2014-02,Benin,1,1,2
2014-03,Benin,1,6,7
2014-04,Benin,0,3,3
2014-05,Benin,0,2,2
2014-06,Benin,0,1,1
2014-08,Benin,0,1,1
2014-09,Benin,1,0,1
2014-10,Benin,0,1,1
2014-11,Benin,2,0,2
2014-12,Benin,1,1,2
2015-02,Benin,1,0,1
2015-03,Benin,2,1,3
2015-06,Benin,1,3,4
2015-07,Benin,0,2,2
2015-08,Benin,0,2,2
2015-09,Benin,0,8,8
2015-10,Benin,0,3,3
2015-11,Benin,1,3,4
2015-12,Benin,0,2,2
2016-01,Benin,1,0,1
2016-04,Benin,2,1,3
2016-07,Benin,1,2,3
2016-08,Benin,0,1,1
2016-09,Benin,1,1,2
2016-10,Benin,3,2,5
2016-11,Benin,1,4,5
2017-01,Benin,4,1,5
2017-02,Benin,0,1,1
2017-03,Benin,2,0,2
2017-07,Benin,1,1,2
2017-10,Benin,2,6,8
2017-12,Benin,0,1,1
2018-03,Benin,2,3,5
2018-06,Benin,1,3,4
2018-07,Benin,0,4,4
2018-08,Benin,2,1,3
2018-09,Benin,0,1,1
2018-10,Benin,2,8,10
2018-12,Benin,0,1,1
2019-01,Benin,3,1,4
2019-02,Benin,0,4,4
2019-03,Benin,2,2,4
2019-04,Benin,1,0,1
2019-06,Benin,0,1,1
2019-07,Benin,1,3,4
2019-08,Benin,0,1,1
2019-09,Benin,1,0,1
2019-10,Benin,0,2,2
2019-11,Benin,1,1,2
2019-12,Benin,0,2,2
2020-01,Benin,0,2,2
2020-02,Benin,1,1,2
2020-12,Benin,0,1,1
2021-03,Benin,1,1,2
2021-05,Benin,2,0,2
2021-07,Benin,1,1,2
2022-01,Benin,3,3,6
2022-02,Benin,3,2,5
2022-03,Benin,0,4,4
2022-04,Benin,0,2,2
2022-05,Benin,0,1,1
2022-06,Benin,3,0,3
2022-07,Benin,2,2,4
2022-08,Benin,1,0,1
2022-09,Benin,3,2,5
2022-10,Benin,5,9,14
2022-11,Benin,2,2,4
2022-12,Benin,0,6,6
2023-01,Benin,0,1,1
2023-02,Benin,2,6,8
2023-03,Benin,0,3,3
2023-04,Benin,0,3,3
2023-05,Benin,0,4,4
2023-08,Benin,0,8,8
2023-09,Benin,3,3,6
2023-10,Benin,1,1,2
2023-11,Benin,3,1,4
2024-01,Benin,1,4,5
2024-03,Benin,1,2,3
2024-04,Benin,1,1,2
2024-05,Benin,0,5,5
2024-06,Benin,0,2,2
2024-07,Benin,1,2,3
2024-08,Benin,1,8,9
2024-09,Benin,0,1,1
2024-10,Benin,3,9,12
2024-11,Benin,4,6,10
2024-12,Benin,0,1,1
2025-01,Benin,1,6,7
2025-03,Benin,0,1,1
2025-04,Benin,0,3,3
2025-05,Benin,3,1,4
2025-06,Benin,0,2,2
2025-07,Benin,0,2,2
2025-08,Benin,0,2,2
2025-09,Benin,3,2,5
2025-10,Benin,11,15,26
2025-11,Benin,7,10,17
2025-12,Benin,0,1,1
