Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Brasil,414,637,1052
2012-02,Brasil,409,532,942
2012-03,Brasil,270,412,683
2012-04,Brasil,235,399,635
2012-05,Brasil,317,394,712
2012-06,Brasil,226,364,590
2012-07,Brasil,377,481,858
2012-08,Brasil,289,442,731
2012-09,Brasil,395,534,930
2012-10,Brasil,391,603,995
2012-11,Brasil,351,574,925
2012-12,Brasil,482,508,990
2013-01,Brasil,433,523,957
2013-02,Brasil,492,556,1048
2013-03,Brasil,438,487,925
2013-04,Brasil,276,493,769
2013-05,Brasil,414,571,985
2013-06,Brasil,406,547,954
2013-07,Brasil,598,764,1362
2013-08,Brasil,503,663,1166
2013-09,Brasil,569,766,1335
2013-10,Brasil,574,700,1275
2013-11,Brasil,639,838,1477
2013-12,Brasil,737,818,1556
2014-01,Brasil,846,932,1779
2014-02,Brasil,1006,979,1985
2014-03,Brasil,1075,1164,2239
2014-04,Brasil,1088,1114,2202
2014-05,Brasil,1125,1084,2210
2014-06,Brasil,798,883,1682
2014-07,Brasil,1204,1255,2459
2014-08,Brasil,1789,1569,1228
2014-09,Brasil,1778,1605,2276
2014-10,Brasil,1506,1390,2896
2014-11,Brasil,1604,1528,3132
2014-12,Brasil,1844,1587,1171
2015-01,Brasil,1735,1662,3397
2015-02,Brasil,2037,1748,2677
2015-03,Brasil,1470,1414,2885
2015-04,Brasil,1476,1286,2763
2015-05,Brasil,1055,1097,2152
2015-06,Brasil,687,786,1473
2015-07,Brasil,895,937,1832
2015-08,Brasil,643,823,1466
2015-09,Brasil,1076,1046,2122
2015-10,Brasil,1768,1556,2325
2015-11,Brasil,1704,1661,3365
2015-12,Brasil,2434,2049,1796
2016-01,Brasil,2123,2633,1373
2016-02,Brasil,1078,2799,2226
2016-03,Brasil,2775,2111,1854
2016-04,Brasil,1784,2450,1811
2016-05,Brasil,2331,2025,1578
2016-06,Brasil,1006,999,2006
2016-07,Brasil,1664,1592,1990
2016-08,Brasil,1428,1303,1649
2016-09,Brasil,1612,1405,1707
2016-10,Brasil,2521,2029,1995
2016-11,Brasil,2005,1859,1328
2016-12,Brasil,1743,1607,1084
2017-01,Brasil,2303,1960,1799
2017-02,Brasil,1725,2297,2179
2017-03,Brasil,2509,2100,1890
2017-04,Brasil,2335,1811,1609
2017-05,Brasil,2302,2026,1525
2017-06,Brasil,1831,1624,2189
2017-07,Brasil,1723,1737,2211
2017-08,Brasil,1923,1692,2005
2017-09,Brasil,1458,1540,2998
2017-10,Brasil,1659,1634,2049
2017-11,Brasil,1489,1972,1210
2017-12,Brasil,1035,1801,2034
2018-01,Brasil,1792,1739,2257
2018-02,Brasil,1222,1973,2415
2018-03,Brasil,1588,2171,1484
2018-04,Brasil,1437,2195,1638
2018-05,Brasil,1614,1444,1533
2018-06,Brasil,1787,1539,1901
2018-07,Brasil,1942,1778,2070
2018-08,Brasil,2099,1933,2329
2018-09,Brasil,1212,2010,1345
2018-10,Brasil,1611,1592,1967
2018-11,Brasil,1687,1982,2107
2018-12,Brasil,1894,1791,2107
2019-01,Brasil,1861,1702,2197
2019-02,Brasil,1808,1723,2354
2019-03,Brasil,1353,2136,2736
2019-04,Brasil,1853,1644,2076
2019-05,Brasil,1695,1664,2219
2019-06,Brasil,1369,1353,2723
2019-07,Brasil,1445,1400,2845
2019-08,Brasil,1721,1492,1923
2019-09,Brasil,1944,1714,2115
2019-10,Brasil,1749,1544,1906
2019-11,Brasil,1792,1748,2179
2019-12,Brasil,1739,1611,1881
2020-01,Brasil,1566,1455,1781
2020-02,Brasil,1321,2220,2672
2020-03,Brasil,1192,1129,1298
2020-04,Brasil,12,9,21
2020-05,Brasil,0,5,5
2020-06,Brasil,13,13,26
2020-07,Brasil,15,21,36
2020-08,Brasil,9,12,21
2020-09,Brasil,34,82,116
2020-10,Brasil,273,499,772
2020-11,Brasil,542,1049,262
2020-12,Brasil,1199,343,676
2021-01,Brasil,1212,255,474
2021-02,Brasil,105,115,220
2021-03,Brasil,128,188,316
2021-04,Brasil,123,231,354
2021-05,Brasil,222,409,632
2021-06,Brasil,510,722,1233
2021-07,Brasil,354,462,816
2021-08,Brasil,374,502,877
2021-09,Brasil,499,567,1067
2021-10,Brasil,551,657,1210
2021-11,Brasil,614,759,1373
2021-12,Brasil,721,891,1613
2022-01,Brasil,709,726,1435
2022-02,Brasil,749,718,1468
2022-03,Brasil,853,949,1802
2022-04,Brasil,848,1053,1902
2022-05,Brasil,829,1162,1991
2022-06,Brasil,807,1009,1816
2022-07,Brasil,1065,1172,2238
2022-08,Brasil,1086,1189,2276
2022-09,Brasil,1284,1390,2675
2022-10,Brasil,1008,1757,2765
2022-11,Brasil,1074,1229,2304
