Fecha,Nacionalidad,Femenino,Masculino,Total
2012-06,Brunei Darussalam,1,0,1
2012-10,Brunei Darussalam,4,2,6
2013-10,Brunei Darussalam,0,5,5
2014-04,Brunei Darussalam,0,1,1
2014-05,Brunei Darussalam,0,1,1
2014-08,Brunei Darussalam,0,3,3
2015-01,Brunei Darussalam,1,0,1
2015-04,Brunei Darussalam,1,0,1
2015-05,Brunei Darussalam,1,0,1
2015-06,Brunei Darussalam,0,2,2
2016-03,Brunei Darussalam,0,1,1
2016-05,Brunei Darussalam,0,1,1
2016-12,Brunei Darussalam,0,1,1
2017-01,Brunei Darussalam,1,0,1
2017-07,Brunei Darussalam,2,0,2
2017-08,Brunei Darussalam,0,1,1
2017-10,Brunei Darussalam,1,0,1
2017-12,Brunei Darussalam,1,0,1
2018-05,Brunei Darussalam,1,0,1
2018-06,Brunei Darussalam,1,1,2
2018-10,Brunei Darussalam,2,0,2
2018-12,Brunei Darussalam,1,0,1
2019-05,Brunei Darussalam,1,0,1
2019-06,Brunei Darussalam,1,1,2
2019-08,Brunei Darussalam,1,0,1
2019-09,Brunei Darussalam,2,0,2
2019-10,Brunei Darussalam,2,0,2
2019-12,Brunei Darussalam,1,0,1
2020-01,Brunei Darussalam,1,0,1
2020-09,Brunei Darussalam,1,0,1
2020-11,Brunei Darussalam,1,0,1
2021-05,Brunei Darussalam,1,0,1
2021-06,Brunei Darussalam,1,0,1
2021-09,Brunei Darussalam,1,0,1
2021-11,Brunei Darussalam,1,0,1
2021-12,Brunei Darussalam,1,0,1
2022-02,Brunei Darussalam,0,1,1
2022-05,Brunei Darussalam,1,0,1
2022-07,Brunei Darussalam,1,1,2
2022-08,Brunei Darussalam,0,6,6
2022-09,Brunei Darussalam,1,0,1
2022-12,Brunei Darussalam,2,0,2
2023-01,Brunei Darussalam,2,0,2
2023-02,Brunei Darussalam,1,0,1
2023-03,Brunei Darussalam,1,0,1
2023-04,Brunei Darussalam,1,0,1
2023-07,Brunei Darussalam,1,1,2
2023-08,Brunei Darussalam,0,2,2
2023-09,Brunei Darussalam,1,0,1
2023-10,Brunei Darussalam,1,0,1
2023-12,Brunei Darussalam,1,0,1
2024-01,Brunei Darussalam,0,1,1
2024-02,Brunei Darussalam,3,0,3
2024-03,Brunei Darussalam,1,0,1
2024-06,Brunei Darussalam,1,1,2
2024-07,Brunei Darussalam,1,1,2
2024-08,Brunei Darussalam,1,0,1
2024-09,Brunei Darussalam,0,1,1
2024-11,Brunei Darussalam,0,2,2
2024-12,Brunei Darussalam,1,0,1
2025-01,Brunei Darussalam,0,2,2
2025-02,Brunei Darussalam,0,1,1
2025-04,Brunei Darussalam,1,1,2
2025-08,Brunei Darussalam,0,2,2
2025-10,Brunei Darussalam,2,0,2
2025-12,Brunei Darussalam,1,0,1
