Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Burundi,0,1,1
2012-06,Burundi,0,1,1
2012-09,Burundi,0,1,1
2012-11,Burundi,0,2,2
2013-02,Burundi,0,1,1
2013-05,Burundi,0,1,1
2013-08,Burundi,1,4,5
2013-10,Burundi,0,3,3
2013-11,Burundi,1,0,1
2013-12,Burundi,0,1,1
2014-01,Burundi,0,7,7
2014-03,Burundi,0,1,1
2014-04,Burundi,3,9,12
2014-06,Burundi,0,2,2
2014-07,Burundi,1,0,1
2014-11,Burundi,0,1,1
2015-02,Burundi,0,1,1
2015-03,Burundi,0,2,2
2015-04,Burundi,0,1,1
2015-05,Burundi,1,0,1
2015-09,Burundi,0,1,1
2015-10,Burundi,2,0,2
2015-11,Burundi,0,1,1
2016-04,Burundi,1,4,5
2016-05,Burundi,1,0,1
2016-10,Burundi,1,2,3
2016-11,Burundi,0,1,1
2017-02,Burundi,1,5,6
2017-03,Burundi,0,1,1
2017-04,Burundi,0,1,1
2017-07,Burundi,0,1,1
2017-08,Burundi,0,1,1
2017-10,Burundi,0,1,1
2017-12,Burundi,0,2,2
2018-03,Burundi,1,0,1
2018-06,Burundi,0,2,2
2018-07,Burundi,1,1,2
2018-10,Burundi,0,1,1
2018-11,Burundi,0,2,2
2019-02,Burundi,1,0,1
2019-07,Burundi,1,1,2
2019-09,Burundi,1,0,1
2019-10,Burundi,0,3,3
2020-02,Burundi,0,1,1
2020-03,Burundi,1,0,1
2021-08,Burundi,1,0,1
2021-11,Burundi,0,2,2
2022-02,Burundi,0,1,1
2022-04,Burundi,0,1,1
2022-06,Burundi,1,0,1
2022-07,Burundi,1,2,3
2022-10,Burundi,0,3,3
2022-11,Burundi,3,1,4
2022-12,Burundi,1,0,1
2023-01,Burundi,1,1,2
2023-03,Burundi,1,1,2
2023-06,Burundi,0,2,2
2023-09,Burundi,1,1,2
2023-11,Burundi,0,1,1
2024-02,Burundi,0,1,1
2024-03,Burundi,1,3,4
2024-05,Burundi,1,0,1
2024-06,Burundi,0,1,1
2024-07,Burundi,0,1,1
2024-08,Burundi,1,0,1
2024-10,Burundi,1,8,9
2024-11,Burundi,4,4,8
2025-01,Burundi,0,2,2
2025-02,Burundi,1,1,2
2025-04,Burundi,0,2,2
2025-06,Burundi,0,5,5
2025-07,Burundi,3,0,3
2025-08,Burundi,0,1,1
2025-09,Burundi,1,1,2
2025-10,Burundi,1,0,1
2025-11,Burundi,5,7,12
