Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Bélgica,172,380,552
2012-02,Bélgica,143,371,514
2012-03,Bélgica,138,354,492
2012-04,Bélgica,101,292,393
2012-05,Bélgica,79,264,343
2012-06,Bélgica,188,395,583
2012-07,Bélgica,270,471,741
2012-08,Bélgica,124,311,435
2012-09,Bélgica,125,263,388
2012-10,Bélgica,102,355,457
2012-11,Bélgica,134,336,470
2012-12,Bélgica,185,418,603
2013-01,Bélgica,144,384,528
2013-02,Bélgica,164,342,506
2013-03,Bélgica,139,321,460
2013-04,Bélgica,106,353,459
2013-05,Bélgica,95,334,429
2013-06,Bélgica,201,377,578
2013-07,Bélgica,345,597,942
2013-08,Bélgica,174,355,529
2013-09,Bélgica,134,373,507
2013-10,Bélgica,153,407,560
2013-11,Bélgica,152,416,568
2013-12,Bélgica,169,456,625
2014-01,Bélgica,199,419,618
2014-02,Bélgica,169,419,588
2014-03,Bélgica,173,369,542
2014-04,Bélgica,157,360,517
2014-05,Bélgica,139,375,514
2014-06,Bélgica,193,390,583
2014-07,Bélgica,314,584,898
2014-08,Bélgica,204,443,647
2014-09,Bélgica,134,367,501
2014-10,Bélgica,175,508,683
2014-11,Bélgica,167,427,594
2014-12,Bélgica,224,501,725
2015-01,Bélgica,219,441,660
2015-02,Bélgica,181,416,597
2015-03,Bélgica,157,427,584
2015-04,Bélgica,166,383,549
2015-05,Bélgica,144,385,529
2015-06,Bélgica,249,465,714
2015-07,Bélgica,497,683,1180
2015-08,Bélgica,275,471,746
2015-09,Bélgica,171,378,549
2015-10,Bélgica,188,463,651
2015-11,Bélgica,238,549,787
2015-12,Bélgica,269,540,809
2016-01,Bélgica,259,529,788
2016-02,Bélgica,256,515,771
2016-03,Bélgica,267,468,735
2016-04,Bélgica,157,353,510
2016-05,Bélgica,170,406,576
2016-06,Bélgica,291,501,792
2016-07,Bélgica,532,735,1267
2016-08,Bélgica,291,487,778
2016-09,Bélgica,255,516,771
2016-10,Bélgica,247,513,760
2016-11,Bélgica,296,567,863
2016-12,Bélgica,330,637,967
2017-01,Bélgica,361,551,912
2017-02,Bélgica,407,616,1023
2017-03,Bélgica,352,630,982
2017-04,Bélgica,252,515,767
2017-05,Bélgica,231,452,683
2017-06,Bélgica,327,534,861
2017-07,Bélgica,754,928,381
2017-08,Bélgica,428,617,1045
2017-09,Bélgica,332,619,951
2017-10,Bélgica,325,544,869
2017-11,Bélgica,361,676,1037
2017-12,Bélgica,408,729,1137
