Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Camboya,0,2,2
2012-03,Camboya,1,2,3
2012-05,Camboya,0,1,1
2012-06,Camboya,0,2,2
2012-10,Camboya,2,2,4
2012-11,Camboya,1,3,4
2012-12,Camboya,2,0,2
2013-03,Camboya,0,1,1
2013-07,Camboya,0,1,1
2013-08,Camboya,3,4,7
2013-10,Camboya,0,1,1
2013-11,Camboya,0,2,2
2013-12,Camboya,0,1,1
2014-02,Camboya,0,5,5
2014-04,Camboya,0,1,1
2014-08,Camboya,1,0,1
2014-09,Camboya,1,0,1
2014-10,Camboya,1,0,1
2014-11,Camboya,0,2,2
2015-04,Camboya,0,2,2
2015-05,Camboya,1,2,3
2015-07,Camboya,1,0,1
2015-08,Camboya,1,3,4
2015-09,Camboya,3,3,6
2016-04,Camboya,0,2,2
2016-05,Camboya,1,0,1
2016-07,Camboya,1,4,5
2016-08,Camboya,1,1,2
2017-02,Camboya,0,3,3
2017-03,Camboya,0,1,1
2017-06,Camboya,0,1,1
2017-07,Camboya,0,4,4
2017-08,Camboya,0,1,1
2017-09,Camboya,0,6,6
2017-10,Camboya,2,2,4
2017-11,Camboya,0,3,3
2017-12,Camboya,2,1,3
2018-03,Camboya,2,0,2
2018-05,Camboya,0,1,1
2018-07,Camboya,1,3,4
2018-08,Camboya,1,0,1
2018-09,Camboya,0,1,1
2018-11,Camboya,0,1,1
2018-12,Camboya,1,1,2
2019-02,Camboya,1,1,2
2019-03,Camboya,0,1,1
2019-04,Camboya,2,1,3
2019-06,Camboya,1,1,2
2019-07,Camboya,0,7,7
2019-08,Camboya,1,1,2
2019-09,Camboya,2,2,4
2019-10,Camboya,1,0,1
2019-11,Camboya,0,2,2
2019-12,Camboya,1,2,4
2020-02,Camboya,1,0,1
2021-09,Camboya,0,1,1
2021-10,Camboya,1,0,1
2021-11,Camboya,0,3,3
2022-02,Camboya,0,2,2
2022-06,Camboya,2,2,4
2022-10,Camboya,1,3,4
2022-11,Camboya,1,0,1
2022-12,Camboya,0,6,6
2023-02,Camboya,0,1,1
2023-03,Camboya,3,0,3
2023-04,Camboya,0,2,2
2023-05,Camboya,1,0,1
2023-07,Camboya,0,3,3
2023-08,Camboya,2,7,9
2023-10,Camboya,0,4,4
2023-11,Camboya,2,4,6
2023-12,Camboya,1,1,2
2024-01,Camboya,1,1,2
2024-02,Camboya,0,1,1
2024-03,Camboya,1,0,1
2024-04,Camboya,0,1,1
2024-05,Camboya,1,0,1
2024-06,Camboya,1,3,4
2024-07,Camboya,0,2,2
2024-09,Camboya,1,4,5
2024-10,Camboya,9,12,21
2024-11,Camboya,5,6,11
2024-12,Camboya,1,1,2
2025-01,Camboya,1,0,1
2025-02,Camboya,1,3,4
2025-03,Camboya,0,5,5
2025-06,Camboya,0,2,2
2025-07,Camboya,1,4,5
2025-08,Camboya,0,1,1
2025-10,Camboya,1,0,1
2025-11,Camboya,0,1,1
2025-12,Camboya,0,1,1
