Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Camerún,1,2,3
2012-02,Camerún,1,2,3
2012-03,Camerún,0,4,4
2012-04,Camerún,0,2,2
2012-05,Camerún,0,2,2
2012-06,Camerún,2,5,7
2012-07,Camerún,0,1,1
2012-08,Camerún,0,4,4
2012-09,Camerún,2,3,5
2012-10,Camerún,0,25,25
2012-11,Camerún,1,5,6
2012-12,Camerún,1,2,3
2013-01,Camerún,0,6,6
2013-02,Camerún,3,3,6
2013-03,Camerún,0,1,1
2013-04,Camerún,2,3,5
2013-05,Camerún,1,0,1
2013-06,Camerún,2,4,6
2013-07,Camerún,0,3,3
2013-09,Camerún,0,6,6
2013-10,Camerún,4,9,13
2013-11,Camerún,1,1,2
2013-12,Camerún,0,1,1
2014-03,Camerún,0,2,2
2014-04,Camerún,7,24,31
2014-05,Camerún,1,1,2
2014-06,Camerún,2,4,6
2014-07,Camerún,1,3,4
2014-08,Camerún,0,3,3
2014-09,Camerún,0,5,5
2014-10,Camerún,1,5,6
2014-11,Camerún,2,5,7
2014-12,Camerún,0,1,1
2015-01,Camerún,2,0,2
2015-02,Camerún,0,10,10
2015-03,Camerún,1,1,2
2015-04,Camerún,2,2,4
2015-05,Camerún,1,2,3
2015-06,Camerún,2,5,7
2015-07,Camerún,2,3,5
2015-08,Camerún,0,7,7
2015-09,Camerún,1,10,11
2015-10,Camerún,0,4,4
2015-11,Camerún,1,9,10
2015-12,Camerún,1,0,1
2016-01,Camerún,2,2,4
2016-02,Camerún,0,5,5
2016-03,Camerún,1,4,5
2016-04,Camerún,0,1,1
2016-05,Camerún,0,3,3
2016-06,Camerún,2,2,4
2016-07,Camerún,0,3,3
2016-08,Camerún,0,4,4
2016-09,Camerún,1,1,2
2016-10,Camerún,4,2,6
2016-11,Camerún,3,3,6
2016-12,Camerún,1,4,5
2017-01,Camerún,1,4,5
2017-02,Camerún,3,2,5
2017-03,Camerún,2,3,5
2017-04,Camerún,0,3,3
2017-05,Camerún,3,3,6
2017-06,Camerún,2,4,6
2017-07,Camerún,7,19,26
2017-08,Camerún,1,4,5
2017-09,Camerún,0,3,3
2017-10,Camerún,1,8,9
2017-11,Camerún,2,1,3
2017-12,Camerún,1,3,4
2018-01,Camerún,0,2,2
2018-02,Camerún,1,6,7
2018-03,Camerún,4,6,10
2018-04,Camerún,1,1,2
2018-05,Camerún,1,6,7
2018-06,Camerún,6,3,9
2018-07,Camerún,3,5,8
2018-08,Camerún,2,4,6
2018-09,Camerún,4,4,8
2018-10,Camerún,4,11,15
2018-11,Camerún,4,7,11
2018-12,Camerún,0,1,1
2019-01,Camerún,3,4,7
2019-02,Camerún,1,7,8
2019-03,Camerún,5,8,13
2019-04,Camerún,1,3,4
2019-05,Camerún,3,3,6
2019-06,Camerún,0,2,2
2019-07,Camerún,3,1,4
2019-08,Camerún,0,2,2
2019-09,Camerún,3,5,8
2019-10,Camerún,3,4,7
2019-11,Camerún,1,3,4
2019-12,Camerún,4,7,11
2020-01,Camerún,4,8,12
2020-02,Camerún,1,1,2
2020-03,Camerún,1,1,2
2020-10,Camerún,0,1,1
2020-12,Camerún,0,1,1
2021-01,Camerún,0,1,1
2021-02,Camerún,1,1,2
2021-03,Camerún,1,0,1
2021-05,Camerún,1,0,1
2021-06,Camerún,0,2,2
2021-07,Camerún,0,2,2
2021-08,Camerún,2,2,4
2021-09,Camerún,2,2,4
2021-10,Camerún,2,5,7
2021-11,Camerún,0,2,2
2021-12,Camerún,0,4,4
2022-01,Camerún,2,1,3
2022-02,Camerún,0,3,3
2022-03,Camerún,1,5,6
2022-04,Camerún,1,3,4
2022-05,Camerún,7,1,8
2022-06,Camerún,5,3,8
2022-07,Camerún,1,12,13
2022-08,Camerún,4,6,10
2022-09,Camerún,0,4,4
2022-10,Camerún,4,9,13
2022-11,Camerún,5,16,21
2022-12,Camerún,1,1,2
2023-01,Camerún,6,10,16
2023-02,Camerún,2,6,8
2023-03,Camerún,2,6,8
2023-04,Camerún,3,9,12
2023-05,Camerún,3,8,11
2023-06,Camerún,4,13,17
2023-07,Camerún,8,15,23
2023-08,Camerún,10,13,23
2023-09,Camerún,18,13,31
2023-10,Camerún,0,3,3
2023-11,Camerún,1,2,3
2023-12,Camerún,1,5,6
2024-01,Camerún,2,1,3
2024-02,Camerún,1,5,6
2024-03,Camerún,3,4,7
2024-04,Camerún,5,2,7
2024-05,Camerún,4,1,5
2024-06,Camerún,3,13,16
2024-07,Camerún,2,5,7
2024-08,Camerún,43,16,59
2024-09,Camerún,21,36,57
2024-10,Camerún,29,61,90
2024-11,Camerún,4,18,22
2024-12,Camerún,4,2,6
2025-01,Camerún,2,2,5
2025-02,Camerún,4,5,9
2025-03,Camerún,1,6,7
2025-04,Camerún,4,6,10
2025-05,Camerún,4,2,6
2025-06,Camerún,3,3,6
2025-07,Camerún,1,5,6
2025-08,Camerún,1,6,7
2025-09,Camerún,5,2,7
2025-10,Camerún,4,15,19
2025-11,Camerún,4,5,9
2025-12,Camerún,2,3,5
