Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Canadá,1549,992,645
2012-02,Canadá,1320,778,1374
2012-03,Canadá,1328,777,1483
2012-04,Canadá,1032,698,1202
2012-05,Canadá,693,371,539
2012-06,Canadá,771,337,519
2012-07,Canadá,303,394,697
2012-08,Canadá,1028,316,467
2012-09,Canadá,643,345,494
2012-10,Canadá,694,349,473
2012-11,Canadá,1028,588,954
2012-12,Canadá,954,1256,1187
2013-01,Canadá,2088,1560,1363
2013-02,Canadá,2055,1435,1231
2013-03,Canadá,1835,1161,1124
2013-04,Canadá,806,490,749
2013-05,Canadá,828,482,667
2013-06,Canadá,901,374,588
2013-07,Canadá,1200,570,908
2013-08,Canadá,1100,462,743
2013-09,Canadá,650,386,528
2013-10,Canadá,757,338,523
2013-11,Canadá,1029,532,840
2013-12,Canadá,1172,1471,1469
2014-01,Canadá,2372,1725,1573
2014-02,Canadá,2227,1534,1303
2014-03,Canadá,1949,1237,1286
2014-04,Canadá,934,445,677
2014-05,Canadá,870,439,655
2014-06,Canadá,993,463,738
2014-07,Canadá,1248,530,893
2014-08,Canadá,1068,478,750
2014-09,Canadá,718,381,564
2014-10,Canadá,868,453,667
2014-11,Canadá,1096,555,890
2014-12,Canadá,1054,1421,2475
2015-01,Canadá,2358,1637,1420
2015-02,Canadá,2311,1532,1377
2015-03,Canadá,1998,1258,2343
2015-04,Canadá,968,474,739
2015-05,Canadá,902,421,667
2015-06,Canadá,1067,488,765
2015-07,Canadá,1361,631,1075
2015-08,Canadá,1167,502,809
2015-09,Canadá,748,416,605
2015-10,Canadá,990,464,730
2015-11,Canadá,1203,599,940
2015-12,Canadá,1025,1403,2428
2016-01,Canadá,1299,1616,1737
2016-02,Canadá,1110,1316,2426
2016-03,Canadá,2065,1231,2307
2016-04,Canadá,1055,609,971
2016-05,Canadá,1091,542,871
2016-06,Canadá,1033,493,771
2016-07,Canadá,513,683,1196
2016-08,Canadá,1224,599,919
2016-09,Canadá,851,412,622
2016-10,Canadá,999,499,768
2016-11,Canadá,1235,614,916
2016-12,Canadá,1071,1409,2480
2017-01,Canadá,1381,1685,1565
2017-02,Canadá,1363,1692,1520
2017-03,Canadá,1259,1558,1587
2017-04,Canadá,1406,716,1134
2017-05,Canadá,1310,621,980
2017-06,Canadá,356,603,959
2017-07,Canadá,467,703,1171
2017-08,Canadá,398,669,1067
2017-09,Canadá,1037,493,747
2017-10,Canadá,1330,602,955
2017-11,Canadá,449,809,1259
2017-12,Canadá,1194,1723,1791
2018-01,Canadá,1670,1021,1718
2018-02,Canadá,1637,2116,1849
2018-03,Canadá,1725,1021,1775
2018-04,Canadá,633,1094,1727
2018-05,Canadá,567,820,1387
2018-06,Canadá,483,785,1268
2018-07,Canadá,633,839,1472
2018-08,Canadá,517,832,1349
2018-09,Canadá,1244,748,1182
