Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Chile,363,464,828
2012-02,Chile,523,553,1076
2012-03,Chile,414,501,915
2012-04,Chile,227,372,599
2012-05,Chile,241,354,595
2012-06,Chile,317,364,682
2012-07,Chile,422,506,928
2012-08,Chile,475,591,1066
2012-09,Chile,402,528,931
2012-10,Chile,362,470,833
2012-11,Chile,299,382,681
2012-12,Chile,397,605,1003
2013-01,Chile,592,653,1245
2013-02,Chile,842,993,1835
2013-03,Chile,477,572,1049
2013-04,Chile,257,382,640
2013-05,Chile,361,476,838
2013-06,Chile,290,449,740
2013-07,Chile,362,483,846
2013-08,Chile,343,521,864
2013-09,Chile,565,678,1244
2013-10,Chile,303,845,1148
2013-11,Chile,325,466,792
2013-12,Chile,269,512,782
2014-01,Chile,529,674,1204
2014-02,Chile,754,876,1631
2014-03,Chile,668,882,1550
2014-04,Chile,490,638,1128
2014-05,Chile,568,967,1535
2014-06,Chile,424,467,891
2014-07,Chile,488,575,1063
2014-08,Chile,515,525,1041
2014-09,Chile,400,593,994
2014-10,Chile,374,420,795
2014-11,Chile,342,475,817
2014-12,Chile,378,575,954
2015-01,Chile,617,691,1308
2015-02,Chile,1017,1063,2080
2015-03,Chile,371,542,914
2015-04,Chile,317,407,724
2015-05,Chile,279,365,644
2015-06,Chile,229,349,579
2015-07,Chile,373,523,897
2015-08,Chile,263,429,692
2015-09,Chile,338,445,784
2015-10,Chile,446,540,987
2015-11,Chile,241,376,618
2015-12,Chile,337,487,825
2016-01,Chile,838,902,1740
2016-02,Chile,1376,1139,2515
2016-03,Chile,666,644,1311
2016-04,Chile,436,499,935
2016-05,Chile,398,499,897
2016-06,Chile,292,403,696
2016-07,Chile,682,658,1341
2016-08,Chile,511,498,1009
2016-09,Chile,332,452,784
2016-10,Chile,650,703,1354
2016-11,Chile,440,838,1278
2016-12,Chile,493,632,1126
2017-01,Chile,987,907,1894
2017-02,Chile,1631,1498,1908
2017-03,Chile,787,842,1629
2017-04,Chile,657,665,1322
2017-05,Chile,516,541,1057
2017-06,Chile,628,673,1301
2017-07,Chile,856,769,1626
2017-08,Chile,768,762,1531
2017-09,Chile,616,666,1282
2017-10,Chile,635,732,1367
2017-11,Chile,799,807,1607
2017-12,Chile,681,813,1495
2018-01,Chile,563,692,1256
2018-02,Chile,1404,1234,2639
2018-03,Chile,940,981,1921
2018-04,Chile,1176,1184,1164
2018-05,Chile,1080,1388,1361
2018-06,Chile,1000,943,920
2018-07,Chile,1183,1204,2387
2018-08,Chile,1094,968,2063
2018-09,Chile,962,1000,1962
2018-10,Chile,1006,1020,942
2018-11,Chile,1291,1143,2434
2018-12,Chile,1039,1075,2115
2019-01,Chile,1389,1264,2653
2019-02,Chile,2121,1963,2599
2019-03,Chile,1540,1408,1891
2019-04,Chile,977,1004,1982
2019-05,Chile,956,997,1953
2019-06,Chile,709,817,1527
2019-07,Chile,1195,1068,2263
2019-08,Chile,947,934,1881
2019-09,Chile,879,973,1852
2019-10,Chile,896,895,1792
2019-11,Chile,1126,954,2081
2019-12,Chile,821,1073,1895
2020-01,Chile,1290,1254,1457
2020-02,Chile,1971,1862,2334
2020-03,Chile,529,585,1115
2020-04,Chile,2,0,2
2020-05,Chile,11,16,27
2020-06,Chile,0,11,11
2020-07,Chile,16,22,38
2020-08,Chile,8,8,16
2020-09,Chile,25,88,113
2020-10,Chile,183,389,572
2020-11,Chile,513,967,418
2020-12,Chile,260,425,685
2021-01,Chile,220,275,496
2021-02,Chile,196,251,448
2021-03,Chile,183,233,416
2021-04,Chile,168,368,536
2021-05,Chile,131,291,422
2021-06,Chile,347,590,937
2021-07,Chile,735,1057,366
2021-08,Chile,201,231,432
2021-09,Chile,179,381,561
2021-10,Chile,288,368,656
2021-11,Chile,539,616,1156
2021-12,Chile,1085,1396,1000
2022-01,Chile,1280,1272,1122
2022-02,Chile,1239,1322,1231
2022-03,Chile,864,1028,1893
2022-04,Chile,888,1109,1998
2022-05,Chile,1017,1121,2138
2022-06,Chile,1063,1216,2280
2022-07,Chile,1420,1480,1689
2022-08,Chile,1074,1320,2394
2022-09,Chile,779,970,1749
2022-10,Chile,939,1152,2091
2022-11,Chile,1085,1213,2300
2022-12,Chile,1680,1887,1729
2023-01,Chile,1900,1918,606
2023-02,Chile,2032,1987,543
2023-03,Chile,1901,1953,1226
2023-04,Chile,1435,1757,908
2023-05,Chile,1355,1488,771
2023-06,Chile,1693,1809,858
2023-07,Chile,1758,1967,1177
2023-08,Chile,1465,1454,2919
2023-09,Chile,1445,1473,1787
2023-10,Chile,1430,1546,735
2023-11,Chile,1695,1574,907
2023-12,Chile,2098,1485,1370
2024-01,Chile,1246,1307,933
2024-02,Chile,1407,1428,1029
2024-03,Chile,1880,2016,1742
2024-04,Chile,1106,2153,1509
2024-05,Chile,1808,1970,1366
2024-06,Chile,1535,2470,688
2024-07,Chile,1458,2354,1493
2024-08,Chile,1489,989,1803
2024-09,Chile,1248,2465,1410
2024-10,Chile,1494,1873,1722
2024-11,Chile,1423,2632,1735
2024-12,Chile,3186,2299,1086
2025-01,Chile,1232,1323,834
2025-02,Chile,1321,1382,1024
2025-03,Chile,1501,842,1524
2025-04,Chile,943,2254,2276
2025-05,Chile,1890,2046,2310
2025-06,Chile,1251,1468,1587
2025-07,Chile,1114,1427,1530
2025-08,Chile,1151,2175,1517
2025-09,Chile,1013,2140,2409
2025-10,Chile,1810,1922,2389
2025-11,Chile,1148,2207,1405
2025-12,Chile,1798,1946,903
