Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,China,113,264,377
2012-02,China,151,470,621
2012-03,China,168,484,652
2012-04,China,169,550,719
2012-05,China,182,590,772
2012-06,China,138,454,592
2012-07,China,159,398,557
2012-08,China,166,490,656
2012-09,China,187,486,673
2012-10,China,215,604,819
2012-11,China,182,566,748
2012-12,China,165,385,550
2013-01,China,147,392,539
2013-02,China,178,412,590
2013-03,China,186,545,731
2013-04,China,207,665,872
2013-05,China,175,606,781
2013-06,China,182,473,655
2013-07,China,284,549,833
2013-08,China,189,427,616
2013-09,China,128,384,512
2013-10,China,167,498,665
2013-11,China,207,530,737
2013-12,China,147,409,556
2014-01,China,148,292,440
2014-02,China,190,495,685
2014-03,China,186,572,758
2014-04,China,251,692,943
2014-05,China,194,608,802
2014-06,China,184,469,653
2014-07,China,237,497,734
2014-08,China,227,577,804
2014-09,China,205,544,749
2014-10,China,225,573,798
2014-11,China,261,779,1040
2014-12,China,190,518,708
2015-01,China,231,519,750
2015-02,China,201,400,601
2015-03,China,247,755,1002
2015-04,China,266,794,1060
2015-05,China,441,121,187
2015-06,China,320,758,1078
2015-07,China,430,903,176
2015-08,China,421,959,159
2015-09,China,340,855,151
2015-10,China,351,799,1150
2015-11,China,328,932,158
2015-12,China,323,707,1030
2016-01,China,397,826,217
2016-02,China,354,701,1055
2016-03,China,421,953,186
2016-04,China,351,868,170
2016-05,China,383,964,247
2016-06,China,367,886,213
2016-07,China,398,820,205
2016-08,China,417,994,185
2016-09,China,393,1026,200
2016-10,China,454,1015,241
2016-11,China,452,138,207
2016-12,China,384,747,1131
2017-01,China,394,614,1008
2017-02,China,511,961,262
2017-03,China,504,1103,282
2017-04,China,393,930,223
2017-05,China,518,1135,349
2017-06,China,484,969,241
2017-07,China,551,945,275
2017-08,China,442,931,212
2017-09,China,382,972,227
2017-10,China,480,884,204
2017-11,China,491,1102,291
2017-12,China,392,791,1183
2018-01,China,492,864,272
2018-02,China,506,694,198
2018-03,China,567,1188,349
2018-04,China,492,1062,247
2018-05,China,516,1129,314
2018-06,China,509,1074,374
2018-07,China,570,953,208
2018-08,China,481,1008,255
2018-09,China,572,1182,333
2018-10,China,378,896,203
2018-11,China,502,1133,303
2018-12,China,523,874,264
2019-01,China,505,854,305
2019-02,China,604,981,339
2019-03,China,673,212,360
2019-04,China,465,1155,315
2019-05,China,570,194,298
2019-06,China,581,1159,255
2019-07,China,646,169,302
2019-08,China,530,153,259
2019-09,China,522,272,378
2019-10,China,488,1125,263
2019-11,China,556,181,288
2019-12,China,470,953,286
2020-01,China,466,745,1211
2020-02,China,326,686,1012
2020-03,China,121,324,445
2020-07,China,0,1,1
2020-08,China,5,60,65
2020-09,China,3,5,8
2020-10,China,19,60,79
2020-11,China,44,111,155
2020-12,China,46,131,177
2021-01,China,36,102,138
2021-02,China,29,124,153
2021-03,China,56,226,282
2021-04,China,62,231,293
2021-05,China,64,238,302
2021-06,China,68,228,296
2021-07,China,70,242,312
2021-08,China,71,277,348
2021-09,China,80,238,318
2021-10,China,86,337,423
2021-11,China,145,345,491
2021-12,China,149,324,473
2022-01,China,89,240,329
2022-02,China,128,348,476
2022-03,China,203,593,796
2022-04,China,189,512,702
2022-05,China,212,609,821
2022-06,China,262,613,875
2022-07,China,310,645,955
2022-08,China,307,665,972
2022-09,China,257,652,909
2022-10,China,354,769,1123
2022-11,China,319,715,1034
2022-12,China,387,750,1138
2023-01,China,375,630,1005
2023-02,China,392,823,1215
2023-03,China,564,258,384
2023-04,China,415,1103,372
2023-05,China,702,339,465
2023-06,China,705,239,357
2023-07,China,556,1148,333
2023-08,China,514,1046,308
2023-09,China,528,258,340
2023-10,China,570,265,395
2023-11,China,763,332,502
2023-12,China,694,1154,461
2024-01,China,592,1104,483
2024-02,China,518,1025,350
2024-03,China,896,492,695
2024-04,China,737,359,502
2024-05,China,833,484,660
2024-06,China,742,349,520
2024-07,China,853,404,558
2024-08,China,895,357,522
2024-09,China,799,357,493
2024-10,China,845,401,582
2024-11,China,927,487,681
2024-12,China,760,465,657
2025-01,China,665,1176,605
2025-02,China,737,314,463
2025-03,China,1143,547,788
2025-04,China,740,305,422
2025-05,China,1031,416,616
2025-06,China,1079,370,523
2025-07,China,847,415,591
2025-08,China,828,404,565
2025-09,China,771,351,500
2025-10,China,787,289,418
2025-11,China,1253,513,775
2025-12,China,888,398,592
