Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Chipre,1,2,3
2012-02,Chipre,0,1,1
2012-03,Chipre,0,5,5
2012-04,Chipre,3,3,6
2012-05,Chipre,3,3,6
2012-06,Chipre,2,5,7
2012-07,Chipre,5,1,6
2012-08,Chipre,1,9,10
2012-09,Chipre,4,2,6
2012-10,Chipre,2,4,6
2012-11,Chipre,0,3,3
2012-12,Chipre,1,7,8
2013-01,Chipre,1,4,5
2013-02,Chipre,0,5,5
2013-03,Chipre,1,2,3
2013-04,Chipre,0,6,6
2013-05,Chipre,0,3,3
2013-06,Chipre,0,3,3
2013-07,Chipre,1,18,19
2013-08,Chipre,0,5,5
2013-09,Chipre,2,3,5
2013-10,Chipre,1,4,5
2013-11,Chipre,2,4,6
2013-12,Chipre,1,11,12
2014-01,Chipre,2,5,7
2014-02,Chipre,2,4,6
2014-03,Chipre,4,5,9
2014-04,Chipre,0,5,5
2014-05,Chipre,4,7,11
2014-06,Chipre,2,9,11
2014-07,Chipre,4,12,16
2014-08,Chipre,5,4,9
2014-09,Chipre,1,7,8
2014-10,Chipre,3,3,6
2014-11,Chipre,0,8,8
2014-12,Chipre,5,7,12
2015-01,Chipre,1,6,7
2015-02,Chipre,0,3,3
2015-03,Chipre,3,3,6
2015-04,Chipre,5,2,7
2015-05,Chipre,1,7,8
2015-06,Chipre,5,7,12
2015-07,Chipre,3,10,13
2015-08,Chipre,6,10,16
2015-09,Chipre,4,6,10
2015-10,Chipre,1,4,5
2015-11,Chipre,4,3,7
2015-12,Chipre,2,5,7
2016-01,Chipre,2,6,8
2016-02,Chipre,6,4,10
2016-03,Chipre,6,15,21
2016-04,Chipre,1,3,4
2016-05,Chipre,2,5,7
2016-06,Chipre,2,3,5
2016-07,Chipre,4,7,11
2016-08,Chipre,1,10,11
2016-09,Chipre,4,4,8
2016-10,Chipre,3,12,15
2016-11,Chipre,1,5,6
2016-12,Chipre,3,5,8
2017-01,Chipre,5,10,15
2017-02,Chipre,4,5,9
2017-03,Chipre,7,6,13
2017-04,Chipre,0,9,9
2017-05,Chipre,3,4,7
2017-06,Chipre,2,5,7
2017-07,Chipre,6,12,18
2017-08,Chipre,5,12,17
2017-09,Chipre,5,21,26
2017-10,Chipre,4,5,9
2017-11,Chipre,2,5,7
2017-12,Chipre,5,13,18
2018-01,Chipre,9,8,17
2018-02,Chipre,14,13,27
2018-03,Chipre,10,12,22
2018-04,Chipre,2,5,7
2018-05,Chipre,5,8,13
2018-06,Chipre,10,8,18
2018-07,Chipre,5,6,11
2018-08,Chipre,13,15,28
2018-09,Chipre,3,12,15
2018-10,Chipre,7,14,21
2018-11,Chipre,7,7,14
2018-12,Chipre,6,10,16
2019-01,Chipre,8,8,16
2019-02,Chipre,3,6,9
2019-03,Chipre,7,20,27
2019-04,Chipre,9,8,17
2019-05,Chipre,6,7,13
2019-06,Chipre,6,14,20
2019-07,Chipre,5,16,21
2019-08,Chipre,13,17,30
2019-09,Chipre,6,12,18
2019-10,Chipre,4,8,12
2019-11,Chipre,5,17,22
2019-12,Chipre,15,17,32
2020-01,Chipre,3,18,21
2020-02,Chipre,7,14,21
2020-03,Chipre,3,9,12
2020-10,Chipre,1,5,6
2020-11,Chipre,0,1,1
2020-12,Chipre,2,4,6
2021-01,Chipre,0,5,5
2021-02,Chipre,3,4,7
2021-03,Chipre,1,5,6
2021-04,Chipre,0,5,5
2021-05,Chipre,1,3,4
2021-06,Chipre,0,3,3
2021-07,Chipre,2,6,8
2021-08,Chipre,3,7,10
2021-09,Chipre,2,3,5
2021-10,Chipre,0,6,6
2021-11,Chipre,2,6,8
2021-12,Chipre,4,12,16
2022-01,Chipre,4,8,12
2022-02,Chipre,4,17,21
2022-03,Chipre,6,20,26
2022-04,Chipre,15,12,27
2022-05,Chipre,3,16,19
2022-06,Chipre,3,4,7
2022-07,Chipre,10,15,25
2022-08,Chipre,14,18,32
2022-09,Chipre,5,10,15
2022-10,Chipre,15,13,28
2022-11,Chipre,6,13,19
2022-12,Chipre,10,21,31
2023-01,Chipre,7,13,20
2023-02,Chipre,11,16,27
2023-03,Chipre,6,8,14
2023-04,Chipre,6,13,19
2023-06,Chipre,6,14,20
2023-07,Chipre,12,7,19
2023-08,Chipre,10,13,23
2023-09,Chipre,6,9,15
2023-10,Chipre,6,10,16
2023-11,Chipre,8,16,24
2023-12,Chipre,11,16,27
2024-01,Chipre,11,12,23
2024-02,Chipre,12,15,27
2024-03,Chipre,11,24,35
2024-04,Chipre,14,23,37
2024-05,Chipre,6,13,19
2024-06,Chipre,3,8,11
2024-07,Chipre,13,10,23
2024-08,Chipre,18,20,38
2024-09,Chipre,3,7,10
2024-10,Chipre,4,15,19
2024-11,Chipre,10,24,34
2024-12,Chipre,11,26,37
2025-01,Chipre,5,27,32
2025-02,Chipre,8,21,29
2025-03,Chipre,7,21,28
2025-04,Chipre,10,22,32
2025-05,Chipre,9,12,21
2025-06,Chipre,13,22,35
2025-07,Chipre,7,11,18
2025-08,Chipre,24,37,61
2025-09,Chipre,5,10,15
2025-10,Chipre,4,10,14
2025-11,Chipre,16,27,43
2025-12,Chipre,17,27,44
