Fecha,Nacionalidad,Femenino,Masculino,Total
2013-10,Comoras,0,2,2
2015-07,Comoras,0,1,1
2015-12,Comoras,0,1,1
2016-10,Comoras,1,2,3
2017-10,Comoras,0,1,1
2018-03,Comoras,0,1,1
2018-12,Comoras,0,1,1
2019-06,Comoras,0,1,1
2019-12,Comoras,1,0,1
2021-06,Comoras,0,1,1
2021-10,Comoras,0,1,1
2022-10,Comoras,0,1,1
2022-11,Comoras,1,2,3
2023-01,Comoras,0,1,1
2023-02,Comoras,1,1,2
2023-03,Comoras,1,1,2
2023-04,Comoras,1,0,1
2023-06,Comoras,1,0,1
2023-07,Comoras,1,3,4
2023-10,Comoras,0,1,1
2023-12,Comoras,0,1,1
2024-01,Comoras,0,1,1
2024-10,Comoras,0,2,2
2025-12,Comoras,1,0,1
