Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Costa De Marfil,1,1,2
2012-02,Costa De Marfil,1,0,1
2012-03,Costa De Marfil,0,2,2
2012-04,Costa De Marfil,0,2,2
2012-05,Costa De Marfil,0,3,3
2012-06,Costa De Marfil,0,2,2
2012-08,Costa De Marfil,0,1,1
2012-09,Costa De Marfil,0,2,2
2012-10,Costa De Marfil,3,5,8
2012-11,Costa De Marfil,1,1,2
2012-12,Costa De Marfil,1,1,2
2013-01,Costa De Marfil,1,0,1
2013-02,Costa De Marfil,0,3,3
2013-04,Costa De Marfil,0,1,1
2013-05,Costa De Marfil,0,1,1
2013-06,Costa De Marfil,0,4,4
2013-07,Costa De Marfil,1,1,2
2013-08,Costa De Marfil,0,1,1
2013-09,Costa De Marfil,1,7,8
2013-10,Costa De Marfil,1,6,7
2013-11,Costa De Marfil,0,7,7
2013-12,Costa De Marfil,1,0,1
2014-01,Costa De Marfil,0,2,2
2014-02,Costa De Marfil,0,2,2
2014-03,Costa De Marfil,1,2,3
2014-04,Costa De Marfil,1,4,5
2014-07,Costa De Marfil,3,4,7
2014-08,Costa De Marfil,1,4,5
2014-09,Costa De Marfil,0,6,6
2014-11,Costa De Marfil,0,4,4
2014-12,Costa De Marfil,0,4,4
2015-02,Costa De Marfil,2,1,3
2015-03,Costa De Marfil,0,2,2
2015-04,Costa De Marfil,0,2,2
2015-05,Costa De Marfil,0,1,1
2015-06,Costa De Marfil,1,2,3
2015-07,Costa De Marfil,1,3,4
2015-08,Costa De Marfil,0,3,3
2015-09,Costa De Marfil,2,11,13
2015-10,Costa De Marfil,0,2,2
2015-11,Costa De Marfil,0,5,5
2016-01,Costa De Marfil,0,3,3
2016-02,Costa De Marfil,0,7,7
2016-03,Costa De Marfil,1,2,3
2016-04,Costa De Marfil,0,2,2
2016-06,Costa De Marfil,2,1,3
2016-07,Costa De Marfil,1,0,1
2016-09,Costa De Marfil,0,3,3
2016-10,Costa De Marfil,2,1,3
2016-11,Costa De Marfil,1,2,3
2016-12,Costa De Marfil,0,2,2
2017-01,Costa De Marfil,0,1,1
2017-02,Costa De Marfil,1,9,10
2017-03,Costa De Marfil,0,3,3
2017-04,Costa De Marfil,3,3,6
2017-05,Costa De Marfil,0,10,10
2017-06,Costa De Marfil,1,7,8
2017-07,Costa De Marfil,1,6,7
2017-08,Costa De Marfil,0,1,1
2017-09,Costa De Marfil,0,3,3
2017-10,Costa De Marfil,2,12,14
2017-11,Costa De Marfil,1,1,2
2017-12,Costa De Marfil,0,1,1
2018-01,Costa De Marfil,1,3,4
2018-02,Costa De Marfil,0,4,4
2018-03,Costa De Marfil,3,4,7
2018-04,Costa De Marfil,3,0,3
2018-05,Costa De Marfil,0,2,2
2018-06,Costa De Marfil,1,3,4
2018-07,Costa De Marfil,2,6,8
2018-08,Costa De Marfil,2,8,10
2018-09,Costa De Marfil,1,5,6
2018-10,Costa De Marfil,0,2,2
2018-11,Costa De Marfil,0,2,2
2018-12,Costa De Marfil,0,1,1
2019-01,Costa De Marfil,3,2,5
2019-02,Costa De Marfil,2,5,7
2019-03,Costa De Marfil,1,4,5
2019-04,Costa De Marfil,2,4,6
2019-05,Costa De Marfil,3,1,4
2019-06,Costa De Marfil,1,1,2
2019-07,Costa De Marfil,2,4,6
2019-08,Costa De Marfil,1,3,4
2019-09,Costa De Marfil,2,1,3
2019-10,Costa De Marfil,3,3,6
2019-12,Costa De Marfil,2,1,3
2020-01,Costa De Marfil,1,5,6
2020-02,Costa De Marfil,2,0,2
2020-10,Costa De Marfil,1,0,1
2021-01,Costa De Marfil,1,1,2
2021-04,Costa De Marfil,1,0,1
2021-06,Costa De Marfil,2,2,4
2021-07,Costa De Marfil,0,1,1
2021-08,Costa De Marfil,0,1,1
2021-09,Costa De Marfil,0,1,1
2021-10,Costa De Marfil,1,6,7
2021-11,Costa De Marfil,1,5,6
2021-12,Costa De Marfil,0,2,2
2022-01,Costa De Marfil,0,3,3
2022-02,Costa De Marfil,0,4,4
2022-03,Costa De Marfil,2,1,3
2022-04,Costa De Marfil,0,1,1
2022-05,Costa De Marfil,1,6,7
2022-06,Costa De Marfil,3,6,9
2022-07,Costa De Marfil,1,2,3
2022-08,Costa De Marfil,1,2,3
2022-09,Costa De Marfil,0,1,1
2022-10,Costa De Marfil,2,8,10
2022-11,Costa De Marfil,2,8,10
2022-12,Costa De Marfil,0,2,2
2023-02,Costa De Marfil,1,11,12
2023-03,Costa De Marfil,0,1,1
2023-04,Costa De Marfil,0,3,3
2023-05,Costa De Marfil,0,5,5
2023-06,Costa De Marfil,3,6,9
2023-07,Costa De Marfil,0,1,1
2023-08,Costa De Marfil,3,4,7
2023-09,Costa De Marfil,167,950,342
2023-10,Costa De Marfil,2,4,6
2023-11,Costa De Marfil,1,7,8
2023-12,Costa De Marfil,4,8,12
2024-01,Costa De Marfil,0,1,1
2024-02,Costa De Marfil,2,2,4
2024-03,Costa De Marfil,2,2,4
2024-04,Costa De Marfil,1,4,5
2024-05,Costa De Marfil,0,5,5
2024-06,Costa De Marfil,0,4,4
2024-07,Costa De Marfil,0,4,4
2024-08,Costa De Marfil,2,4,6
2024-09,Costa De Marfil,1,5,6
2024-10,Costa De Marfil,5,10,15
2024-11,Costa De Marfil,4,4,8
2024-12,Costa De Marfil,2,1,3
2025-01,Costa De Marfil,1,2,3
2025-02,Costa De Marfil,0,3,3
2025-03,Costa De Marfil,0,2,2
2025-04,Costa De Marfil,4,6,10
2025-05,Costa De Marfil,1,0,1
2025-06,Costa De Marfil,1,3,4
2025-07,Costa De Marfil,0,4,4
2025-08,Costa De Marfil,0,1,1
2025-09,Costa De Marfil,3,12,16
2025-10,Costa De Marfil,3,8,11
2025-11,Costa De Marfil,6,6,12
2025-12,Costa De Marfil,0,2,2
