Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Costa Rica,960,1107,2067
2012-02,Costa Rica,703,981,1684
2012-03,Costa Rica,812,1089,845
2012-04,Costa Rica,858,1106,910
2012-05,Costa Rica,641,924,1565
2012-06,Costa Rica,623,982,542
2012-07,Costa Rica,961,1220,1047
2012-08,Costa Rica,785,1224,2009
2012-09,Costa Rica,847,1196,949
2012-10,Costa Rica,814,1227,956
2012-11,Costa Rica,848,1189,936
2012-12,Costa Rica,1253,1431,1414
2013-01,Costa Rica,1090,1297,1157
2013-02,Costa Rica,956,1159,868
2013-03,Costa Rica,920,1272,920
2013-04,Costa Rica,912,1324,1028
2013-05,Costa Rica,805,1312,826
2013-06,Costa Rica,867,1354,862
2013-07,Costa Rica,1262,1597,1325
2013-08,Costa Rica,1009,1400,947
2013-09,Costa Rica,949,1422,978
2013-10,Costa Rica,619,1093,468
2013-11,Costa Rica,732,1247,543
2013-12,Costa Rica,1325,1631,1389
2014-01,Costa Rica,1308,1406,518
2014-02,Costa Rica,765,1104,774
2014-03,Costa Rica,669,1148,532
2014-04,Costa Rica,913,1279,902
2014-05,Costa Rica,713,1152,599
2014-06,Costa Rica,675,1119,517
2014-07,Costa Rica,832,1220,715
2014-08,Costa Rica,828,1314,736
2014-09,Costa Rica,805,1301,866
2014-10,Costa Rica,746,1257,664
2014-11,Costa Rica,811,1418,738
2014-12,Costa Rica,1657,1735,1737
2015-01,Costa Rica,1275,1451,1485
2015-02,Costa Rica,698,1055,428
2015-03,Costa Rica,1002,273,458
2015-04,Costa Rica,941,302,481
2015-05,Costa Rica,970,274,441
2015-06,Costa Rica,863,228,407
2015-07,Costa Rica,1217,381,714
2015-08,Costa Rica,958,384,638
2015-09,Costa Rica,994,388,661
2015-10,Costa Rica,1085,348,637
2015-11,Costa Rica,1156,393,669
2015-12,Costa Rica,694,720,1414
2016-01,Costa Rica,1455,600,1183
2016-02,Costa Rica,885,1300,575
2016-03,Costa Rica,1252,445,801
2016-04,Costa Rica,1054,409,750
2016-05,Costa Rica,1019,405,703
2016-06,Costa Rica,1175,411,740
2016-07,Costa Rica,582,613,1195
2016-08,Costa Rica,332,460,792
2016-09,Costa Rica,332,443,775
2016-10,Costa Rica,339,454,793
2016-11,Costa Rica,388,440,828
2016-12,Costa Rica,594,657,1251
2017-01,Costa Rica,559,584,1143
2017-02,Costa Rica,1318,601,1092
2017-03,Costa Rica,1407,545,1017
2017-04,Costa Rica,851,794,1646
2017-05,Costa Rica,542,582,1124
2017-06,Costa Rica,274,375,649
2017-07,Costa Rica,472,440,913
2017-08,Costa Rica,310,417,727
2017-09,Costa Rica,452,487,939
2017-10,Costa Rica,442,569,1011
2017-11,Costa Rica,1369,605,1039
2017-12,Costa Rica,886,908,1795
2018-01,Costa Rica,913,786,1700
2018-02,Costa Rica,391,504,895
2018-03,Costa Rica,558,648,1206
2018-04,Costa Rica,455,516,972
2018-05,Costa Rica,422,455,878
2018-06,Costa Rica,370,394,765
2018-07,Costa Rica,668,596,1265
2018-08,Costa Rica,393,476,870
2018-09,Costa Rica,340,495,836
2018-10,Costa Rica,412,465,878
2018-11,Costa Rica,513,600,1114
2018-12,Costa Rica,684,658,1343
2019-01,Costa Rica,902,818,1720
2019-02,Costa Rica,1498,630,1152
2019-03,Costa Rica,434,475,909
2019-04,Costa Rica,788,698,1486
2019-05,Costa Rica,561,742,1303
2019-06,Costa Rica,421,454,875
2019-07,Costa Rica,538,514,1053
2019-08,Costa Rica,529,574,1104
2019-09,Costa Rica,657,678,1336
2019-10,Costa Rica,543,578,1121
2019-11,Costa Rica,539,591,1131
2019-12,Costa Rica,586,672,1259
2020-01,Costa Rica,580,600,1181
2020-02,Costa Rica,343,479,822
2020-03,Costa Rica,706,888,366
2020-05,Costa Rica,1,5,6
2020-07,Costa Rica,1,13,14
2020-08,Costa Rica,5,12,17
2020-09,Costa Rica,1,16,17
2020-10,Costa Rica,39,81,120
2020-11,Costa Rica,218,314,532
2020-12,Costa Rica,595,715,1311
2021-01,Costa Rica,471,567,1038
2021-02,Costa Rica,284,409,693
2021-03,Costa Rica,567,646,1213
2021-04,Costa Rica,312,419,731
2021-05,Costa Rica,233,344,577
2021-06,Costa Rica,512,626,1139
2021-07,Costa Rica,746,817,436
2021-08,Costa Rica,711,930,518
2021-09,Costa Rica,1071,1235,842
2021-10,Costa Rica,1143,1339,870
2021-11,Costa Rica,497,536,1033
2021-12,Costa Rica,771,848,1620
2022-01,Costa Rica,1289,1145,224
2022-02,Costa Rica,1018,944,851
2022-03,Costa Rica,909,1034,873
2022-04,Costa Rica,1974,1807,270
2022-05,Costa Rica,2606,1578,212
2022-06,Costa Rica,1325,1285,1180
2022-07,Costa Rica,120,1000,277
2022-08,Costa Rica,838,682,352
2022-09,Costa Rica,1053,905,337
2022-10,Costa Rica,1553,1531,257
2022-11,Costa Rica,1652,1574,310
2022-12,Costa Rica,1021,935,386
2023-01,Costa Rica,140,1004,290
2023-02,Costa Rica,1917,1628,249
2023-03,Costa Rica,1073,950,313
2023-04,Costa Rica,86,1000,191
2023-05,Costa Rica,1931,1817,268
2023-06,Costa Rica,1958,1722,274
2023-07,Costa Rica,215,218,435
2023-08,Costa Rica,149,894,342
2023-10,Costa Rica,998,848,332
2023-11,Costa Rica,1108,1009,373
2023-12,Costa Rica,155,226,382
2024-01,Costa Rica,232,223,455
2024-02,Costa Rica,154,1174,335
2024-03,Costa Rica,139,169,310
2024-04,Costa Rica,164,182,348
2024-05,Costa Rica,154,191,347
2024-06,Costa Rica,89,1095,225
2024-07,Costa Rica,125,166,292
2024-08,Costa Rica,146,1132,337
2024-09,Costa Rica,154,174,329
2024-10,Costa Rica,131,1171,340
2024-11,Costa Rica,146,164,312
2024-12,Costa Rica,125,160,287
2025-01,Costa Rica,182,177,361
2025-02,Costa Rica,126,1054,276
2025-03,Costa Rica,953,864,280
2025-04,Costa Rica,161,239,402
2025-05,Costa Rica,876,814,380
2025-06,Costa Rica,926,791,422
2025-07,Costa Rica,171,229,401
2025-08,Costa Rica,750,649,397
2025-09,Costa Rica,891,733,266
2025-10,Costa Rica,750,679,1431
2025-11,Costa Rica,1033,966,360
2025-12,Costa Rica,230,295,527
