Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Croacia,11,18,29
2012-02,Croacia,5,39,44
2012-03,Croacia,8,62,70
2012-04,Croacia,6,45,51
2012-05,Croacia,5,35,40
2012-06,Croacia,6,53,59
2012-07,Croacia,8,30,38
2012-08,Croacia,8,37,45
2012-09,Croacia,6,29,35
2012-10,Croacia,8,35,43
2012-11,Croacia,2,35,37
2012-12,Croacia,12,29,41
2013-01,Croacia,7,40,47
2013-02,Croacia,19,27,46
2013-03,Croacia,8,32,40
2013-04,Croacia,4,27,31
2013-05,Croacia,2,24,26
2013-06,Croacia,6,33,39
2013-07,Croacia,13,56,69
2013-08,Croacia,10,25,35
2013-09,Croacia,6,30,36
2013-10,Croacia,3,47,50
2013-11,Croacia,1,46,47
2013-12,Croacia,8,38,46
2014-01,Croacia,10,48,58
2014-02,Croacia,12,49,61
2014-03,Croacia,11,55,66
2014-04,Croacia,18,90,108
2014-05,Croacia,5,44,49
2014-06,Croacia,7,54,61
2014-07,Croacia,11,47,58
2014-08,Croacia,10,40,50
2014-09,Croacia,9,45,54
2014-10,Croacia,7,35,42
2014-11,Croacia,13,74,87
2014-12,Croacia,18,58,76
2015-01,Croacia,23,54,77
2015-02,Croacia,14,45,59
2015-03,Croacia,14,44,58
2015-04,Croacia,16,45,61
2015-05,Croacia,7,45,52
2015-06,Croacia,12,50,62
2015-07,Croacia,7,52,59
2015-08,Croacia,18,46,64
2015-09,Croacia,19,45,64
2015-10,Croacia,11,63,74
2015-11,Croacia,11,70,81
2015-12,Croacia,14,59,73
2016-01,Croacia,19,71,90
2016-02,Croacia,26,60,86
2016-03,Croacia,19,36,55
2016-04,Croacia,9,45,54
2016-05,Croacia,11,35,46
2016-06,Croacia,14,49,63
2016-07,Croacia,9,44,53
2016-08,Croacia,10,56,66
2016-09,Croacia,10,34,44
2016-10,Croacia,23,51,74
2016-11,Croacia,11,68,79
2016-12,Croacia,21,58,79
2017-01,Croacia,28,75,103
2017-02,Croacia,22,89,111
2017-03,Croacia,26,86,112
2017-04,Croacia,18,74,92
2017-05,Croacia,11,71,82
2017-06,Croacia,10,49,59
2017-07,Croacia,17,38,55
2017-08,Croacia,19,40,59
2017-09,Croacia,17,105,122
2017-10,Croacia,23,62,85
2017-11,Croacia,25,90,115
2017-12,Croacia,32,80,112
2018-01,Croacia,48,95,143
2018-02,Croacia,25,80,105
2018-03,Croacia,39,75,114
2018-04,Croacia,25,65,90
2018-05,Croacia,13,55,68
2018-06,Croacia,17,49,66
2018-07,Croacia,15,36,51
2018-08,Croacia,25,51,76
2018-09,Croacia,18,68,86
2018-10,Croacia,21,59,80
2018-11,Croacia,29,85,114
2018-12,Croacia,45,98,143
2019-01,Croacia,53,105,158
2019-02,Croacia,40,86,126
2019-03,Croacia,40,59,99
2019-04,Croacia,24,70,94
2019-05,Croacia,24,52,76
2019-06,Croacia,19,47,66
2019-07,Croacia,30,61,91
2019-08,Croacia,29,52,81
2019-09,Croacia,33,55,88
2019-10,Croacia,23,77,100
2019-11,Croacia,61,89,150
2019-12,Croacia,74,106,180
2020-01,Croacia,70,114,184
2020-02,Croacia,60,103,163
2020-03,Croacia,14,56,70
2020-06,Croacia,0,12,12
2020-09,Croacia,0,1,1
2020-10,Croacia,0,17,17
2020-11,Croacia,4,13,17
2020-12,Croacia,7,14,21
2021-01,Croacia,3,24,27
2021-02,Croacia,5,30,35
2021-03,Croacia,7,23,30
2021-04,Croacia,5,18,23
2021-05,Croacia,1,15,16
2021-06,Croacia,9,16,25
2021-07,Croacia,17,41,58
2021-08,Croacia,12,33,45
2021-09,Croacia,21,38,59
2021-10,Croacia,24,54,78
2021-11,Croacia,20,55,75
2021-12,Croacia,48,61,109
2022-01,Croacia,20,97,117
2022-02,Croacia,45,93,138
2022-03,Croacia,39,79,118
2022-04,Croacia,22,67,89
2022-05,Croacia,24,56,80
2022-06,Croacia,17,62,79
2022-07,Croacia,37,73,110
2022-08,Croacia,15,47,62
2022-09,Croacia,27,65,92
2022-10,Croacia,28,77,105
2022-11,Croacia,48,120,168
2022-12,Croacia,75,94,169
2023-01,Croacia,54,121,175
2023-02,Croacia,40,94,134
2023-03,Croacia,48,84,132
2023-04,Croacia,30,77,107
2023-05,Croacia,19,47,66
2023-06,Croacia,25,60,85
2023-07,Croacia,25,66,91
2023-08,Croacia,18,81,99
2023-09,Croacia,34,76,110
2023-10,Croacia,24,77,102
2023-11,Croacia,36,96,132
2023-12,Croacia,52,92,144
2024-01,Croacia,69,119,188
2024-02,Croacia,51,117,168
2024-03,Croacia,39,84,123
2024-04,Croacia,20,59,79
2024-05,Croacia,26,88,114
2024-06,Croacia,27,66,93
2024-07,Croacia,25,60,85
2024-08,Croacia,46,64,110
2024-09,Croacia,30,75,105
2024-10,Croacia,33,88,121
2024-11,Croacia,36,121,157
2024-12,Croacia,74,136,210
2025-01,Croacia,58,171,229
2025-02,Croacia,65,131,196
2025-03,Croacia,41,152,193
2025-04,Croacia,34,72,106
2025-05,Croacia,25,77,102
2025-06,Croacia,32,69,101
2025-07,Croacia,40,92,132
2025-08,Croacia,23,56,79
2025-09,Croacia,23,65,88
2025-10,Croacia,38,95,133
2025-11,Croacia,55,140,195
2025-12,Croacia,57,144,201
