Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Cuba,172,282,454
2012-02,Cuba,99,239,338
2012-03,Cuba,103,218,321
2012-04,Cuba,122,259,381
2012-05,Cuba,91,240,331
2012-06,Cuba,104,197,301
2012-07,Cuba,142,282,424
2012-08,Cuba,116,274,390
2012-09,Cuba,113,263,376
2012-10,Cuba,161,258,419
2012-11,Cuba,126,207,333
2012-12,Cuba,141,245,386
2013-01,Cuba,157,255,412
2013-02,Cuba,128,237,365
2013-03,Cuba,121,199,320
2013-04,Cuba,104,226,330
2013-05,Cuba,123,226,349
2013-06,Cuba,123,218,341
2013-07,Cuba,183,347,530
2013-08,Cuba,167,339,506
2013-09,Cuba,120,266,386
2013-10,Cuba,147,279,426
2013-11,Cuba,130,265,395
2013-12,Cuba,137,282,419
2014-01,Cuba,157,267,424
2014-02,Cuba,101,204,305
2014-03,Cuba,123,244,367
2014-04,Cuba,131,273,404
2014-05,Cuba,141,273,414
2014-06,Cuba,156,250,406
2014-07,Cuba,210,341,551
2014-08,Cuba,209,384,593
2014-09,Cuba,173,286,459
2014-10,Cuba,188,365,553
2014-11,Cuba,220,409,629
2014-12,Cuba,259,466,725
2015-01,Cuba,241,378,619
2015-02,Cuba,183,330,513
2015-03,Cuba,219,376,595
2015-04,Cuba,330,480,810
2015-05,Cuba,351,577,928
2015-06,Cuba,504,702,175
2015-07,Cuba,258,421,679
2015-08,Cuba,273,475,748
2015-09,Cuba,371,587,958
2015-10,Cuba,337,559,896
2015-11,Cuba,397,627,1024
2015-12,Cuba,373,555,928
2016-01,Cuba,231,377,608
2016-02,Cuba,146,265,411
2016-03,Cuba,165,303,468
2016-04,Cuba,211,376,587
2016-05,Cuba,202,466,668
2016-06,Cuba,184,403,587
2016-07,Cuba,263,453,716
2016-08,Cuba,243,459,702
2016-09,Cuba,250,740,990
2016-10,Cuba,253,479,732
2016-11,Cuba,241,435,676
2016-12,Cuba,271,623,894
2017-01,Cuba,265,601,866
2017-02,Cuba,186,459,645
2017-03,Cuba,205,383,588
2017-04,Cuba,265,418,683
2017-05,Cuba,216,409,625
2017-06,Cuba,264,489,753
2017-07,Cuba,347,539,886
2017-08,Cuba,285,635,920
2017-09,Cuba,262,555,817
2017-10,Cuba,354,658,1012
2017-11,Cuba,310,618,928
2017-12,Cuba,362,657,1019
2018-01,Cuba,978,1051,253
2018-02,Cuba,49,873,124
2018-03,Cuba,688,698,200
2018-04,Cuba,301,431,732
2018-05,Cuba,242,420,662
2018-06,Cuba,280,541,821
2018-07,Cuba,631,1107,1738
2018-08,Cuba,312,420,732
2018-09,Cuba,245,404,649
2018-10,Cuba,268,431,699
2018-11,Cuba,295,449,744
2018-12,Cuba,356,489,845
2019-01,Cuba,274,461,735
2019-02,Cuba,213,354,567
2019-03,Cuba,248,469,718
2019-04,Cuba,222,390,612
2019-05,Cuba,264,473,737
2019-06,Cuba,261,403,664
2019-07,Cuba,384,526,910
2019-08,Cuba,355,533,888
2019-09,Cuba,290,468,758
2019-10,Cuba,317,479,796
2019-11,Cuba,320,507,827
2019-12,Cuba,286,521,807
2020-01,Cuba,275,457,732
2020-02,Cuba,300,509,810
2020-03,Cuba,135,206,341
2020-05,Cuba,3,1,4
2020-06,Cuba,1,2,3
2020-07,Cuba,0,3,3
2020-08,Cuba,1,4,5
2020-09,Cuba,4,8,12
2020-10,Cuba,16,45,61
2020-11,Cuba,30,84,114
2020-12,Cuba,153,230,383
2021-01,Cuba,128,190,318
2021-02,Cuba,59,113,172
2021-03,Cuba,75,111,186
2021-04,Cuba,90,168,258
2021-05,Cuba,73,119,192
2021-06,Cuba,84,127,211
2021-07,Cuba,103,187,290
2021-08,Cuba,98,200,298
2021-09,Cuba,99,173,272
2021-10,Cuba,152,205,358
2021-11,Cuba,348,619,967
2021-12,Cuba,269,510,779
2022-01,Cuba,221,342,563
2022-02,Cuba,217,307,524
2022-03,Cuba,200,328,528
2022-04,Cuba,190,397,588
2022-05,Cuba,207,377,584
2022-06,Cuba,228,475,703
2022-07,Cuba,236,401,637
2022-08,Cuba,254,380,634
2022-09,Cuba,228,327,555
2022-10,Cuba,190,288,478
2022-11,Cuba,199,352,551
2022-12,Cuba,183,440,623
2023-01,Cuba,159,263,422
2023-02,Cuba,173,312,486
2023-03,Cuba,179,309,488
2023-04,Cuba,194,274,468
2023-05,Cuba,170,313,483
2023-06,Cuba,217,457,674
2023-07,Cuba,232,356,588
2023-08,Cuba,215,304,519
2023-09,Cuba,217,348,565
2023-10,Cuba,251,330,581
2023-11,Cuba,186,287,473
2023-12,Cuba,195,420,615
2024-01,Cuba,168,248,416
2024-02,Cuba,218,312,531
2024-03,Cuba,173,246,419
2024-04,Cuba,204,322,526
2024-05,Cuba,180,315,495
2024-06,Cuba,173,295,468
2024-07,Cuba,227,335,562
2024-08,Cuba,245,414,660
2024-09,Cuba,201,386,588
2024-10,Cuba,192,335,527
2024-11,Cuba,250,330,580
2024-12,Cuba,192,367,559
2025-01,Cuba,188,270,458
2025-02,Cuba,183,230,413
2025-03,Cuba,182,289,471
2025-04,Cuba,188,252,440
2025-05,Cuba,223,334,557
2025-06,Cuba,320,363,684
2025-07,Cuba,262,300,562
2025-08,Cuba,250,376,626
2025-09,Cuba,208,360,568
2025-10,Cuba,203,317,520
2025-11,Cuba,271,369,640
2025-12,Cuba,194,361,555
