Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Dinamarca,72,171,243
2012-02,Dinamarca,58,156,214
2012-03,Dinamarca,76,188,264
2012-04,Dinamarca,61,151,212
2012-05,Dinamarca,58,103,161
2012-06,Dinamarca,83,149,232
2012-07,Dinamarca,134,198,332
2012-08,Dinamarca,49,130,179
2012-09,Dinamarca,51,135,186
2012-10,Dinamarca,68,139,207
2012-11,Dinamarca,94,156,250
2012-12,Dinamarca,74,158,232
2013-01,Dinamarca,81,156,237
2013-02,Dinamarca,104,175,279
2013-03,Dinamarca,85,181,266
2013-04,Dinamarca,65,127,192
2013-05,Dinamarca,70,114,184
2013-06,Dinamarca,70,152,222
2013-07,Dinamarca,119,220,339
2013-08,Dinamarca,62,125,187
2013-09,Dinamarca,43,125,168
2013-10,Dinamarca,51,125,176
2013-11,Dinamarca,55,140,195
2013-12,Dinamarca,102,189,291
2014-01,Dinamarca,101,182,283
2014-02,Dinamarca,101,237,338
2014-03,Dinamarca,72,195,267
2014-04,Dinamarca,92,153,245
2014-05,Dinamarca,61,162,223
2014-06,Dinamarca,74,126,200
2014-07,Dinamarca,116,177,293
2014-08,Dinamarca,59,130,189
2014-09,Dinamarca,51,136,187
2014-10,Dinamarca,79,179,258
2014-11,Dinamarca,90,174,264
2014-12,Dinamarca,145,246,391
2015-01,Dinamarca,124,219,343
2015-02,Dinamarca,132,228,360
2015-03,Dinamarca,115,229,344
2015-04,Dinamarca,86,176,262
2015-05,Dinamarca,111,194,305
2015-06,Dinamarca,107,196,303
2015-07,Dinamarca,191,279,470
2015-08,Dinamarca,77,145,222
2015-09,Dinamarca,75,169,244
2015-10,Dinamarca,110,242,352
2015-11,Dinamarca,127,246,373
2015-12,Dinamarca,172,275,447
2016-01,Dinamarca,190,304,494
2016-02,Dinamarca,210,326,536
2016-03,Dinamarca,175,310,485
2016-04,Dinamarca,118,201,319
2016-05,Dinamarca,113,195,308
2016-06,Dinamarca,151,229,380
2016-07,Dinamarca,205,284,489
2016-08,Dinamarca,84,172,256
2016-09,Dinamarca,98,203,301
2016-10,Dinamarca,131,198,329
2016-11,Dinamarca,129,226,355
2016-12,Dinamarca,183,287,470
2017-01,Dinamarca,189,328,517
2017-02,Dinamarca,220,345,565
2017-03,Dinamarca,173,433,606
2017-04,Dinamarca,174,298,472
