Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Dominica,1,5,6
2012-02,Dominica,5,5,10
2012-03,Dominica,1,10,11
2012-04,Dominica,4,12,16
2012-05,Dominica,3,5,8
2012-06,Dominica,1,3,4
2012-07,Dominica,4,3,7
2012-08,Dominica,5,5,10
2012-09,Dominica,4,9,13
2012-10,Dominica,2,3,5
2012-11,Dominica,3,6,9
2012-12,Dominica,5,2,7
2013-01,Dominica,4,5,9
2013-02,Dominica,4,2,6
2013-03,Dominica,1,2,3
2013-04,Dominica,0,10,10
2013-05,Dominica,1,4,5
2013-06,Dominica,0,5,5
2013-07,Dominica,0,4,4
2013-08,Dominica,1,3,4
2013-09,Dominica,5,5,10
2013-10,Dominica,2,5,7
2013-11,Dominica,1,4,5
2013-12,Dominica,0,3,3
2014-01,Dominica,2,4,6
2014-02,Dominica,1,2,3
2014-03,Dominica,3,4,7
2014-04,Dominica,0,5,5
2014-05,Dominica,2,2,4
2014-06,Dominica,1,4,5
2014-07,Dominica,2,2,4
2014-08,Dominica,4,1,5
2014-09,Dominica,0,2,2
2014-10,Dominica,4,3,7
2014-11,Dominica,2,3,5
2014-12,Dominica,2,2,4
2015-01,Dominica,1,1,2
2015-02,Dominica,2,4,6
2015-03,Dominica,2,2,4
2015-04,Dominica,0,3,3
2015-05,Dominica,3,5,8
2015-06,Dominica,0,3,3
2015-07,Dominica,4,6,10
2015-08,Dominica,0,9,9
2015-09,Dominica,0,2,2
2015-10,Dominica,3,3,6
2015-11,Dominica,3,9,12
2015-12,Dominica,0,2,2
2016-01,Dominica,1,6,7
2016-02,Dominica,0,7,7
2016-03,Dominica,4,5,9
2016-04,Dominica,3,5,8
2016-05,Dominica,0,3,3
2016-06,Dominica,3,2,5
2016-07,Dominica,1,5,6
2016-08,Dominica,0,5,5
2016-09,Dominica,2,7,9
2016-10,Dominica,5,6,11
2016-11,Dominica,2,2,4
2016-12,Dominica,2,4,6
2017-01,Dominica,4,8,12
2017-02,Dominica,2,5,7
2017-03,Dominica,0,5,5
2017-04,Dominica,2,5,7
2017-05,Dominica,5,3,8
2017-06,Dominica,1,5,6
2017-07,Dominica,3,7,10
2017-08,Dominica,1,7,8
2017-09,Dominica,3,9,12
2017-10,Dominica,1,2,3
2017-11,Dominica,4,8,12
2017-12,Dominica,0,4,4
2018-01,Dominica,7,8,15
2018-02,Dominica,3,10,13
2018-03,Dominica,7,9,16
2018-04,Dominica,3,7,10
2018-05,Dominica,3,6,9
2018-06,Dominica,5,8,13
2018-07,Dominica,8,11,19
2018-08,Dominica,2,5,7
2018-09,Dominica,7,5,12
2018-10,Dominica,4,4,8
2018-11,Dominica,3,4,7
2018-12,Dominica,2,6,8
2019-01,Dominica,6,6,12
2019-02,Dominica,5,4,9
2019-03,Dominica,1,8,9
2019-04,Dominica,3,6,9
2019-05,Dominica,5,8,13
2019-06,Dominica,10,4,14
2019-07,Dominica,4,10,14
2019-08,Dominica,2,8,10
2019-09,Dominica,5,6,11
2019-10,Dominica,2,11,13
2019-11,Dominica,4,9,13
2019-12,Dominica,3,5,8
2020-01,Dominica,4,2,6
2020-02,Dominica,2,6,8
2020-03,Dominica,1,3,4
2020-05,Dominica,0,1,1
2020-11,Dominica,1,4,5
2020-12,Dominica,0,3,3
2021-01,Dominica,2,1,3
2021-02,Dominica,1,1,2
2021-03,Dominica,0,4,4
2021-04,Dominica,0,2,2
2021-05,Dominica,0,2,2
2021-06,Dominica,3,3,6
2021-07,Dominica,0,5,5
2021-08,Dominica,2,4,6
2021-09,Dominica,2,9,11
2021-10,Dominica,0,6,6
2021-11,Dominica,4,8,12
2021-12,Dominica,6,10,16
2022-01,Dominica,1,5,6
2022-02,Dominica,1,6,7
2022-03,Dominica,0,13,13
2022-04,Dominica,1,12,13
2022-05,Dominica,1,8,9
2022-06,Dominica,0,9,9
2022-07,Dominica,5,8,13
2022-08,Dominica,2,5,7
2022-09,Dominica,2,4,6
2022-10,Dominica,6,7,13
2022-11,Dominica,6,5,11
2022-12,Dominica,3,6,9
2023-01,Dominica,1,6,7
2023-02,Dominica,1,8,9
2023-03,Dominica,6,9,15
2023-04,Dominica,0,9,9
2023-05,Dominica,7,9,16
2023-06,Dominica,4,7,11
2023-07,Dominica,6,10,16
2023-08,Dominica,2275,3508,1704
2023-09,Dominica,7,11,18
2023-10,Dominica,8,9,17
2023-11,Dominica,7,19,26
2023-12,Dominica,4,13,17
2024-01,Dominica,5,11,16
2024-02,Dominica,6,12,18
2024-03,Dominica,6,21,27
2024-04,Dominica,4,9,13
2024-05,Dominica,4,8,12
2024-06,Dominica,4,24,28
2024-07,Dominica,6,21,27
2024-08,Dominica,7,25,32
2024-09,Dominica,5,13,18
2024-10,Dominica,3,12,15
2024-11,Dominica,4,19,23
2024-12,Dominica,2,11,13
2025-01,Dominica,4,12,16
2025-02,Dominica,5,15,20
2025-03,Dominica,7,17,24
2025-04,Dominica,6,24,30
2025-05,Dominica,6,7,13
2025-06,Dominica,4,17,21
2025-07,Dominica,3,10,13
2025-08,Dominica,3,18,21
2025-09,Dominica,5,11,16
2025-10,Dominica,11,19,30
2025-11,Dominica,7,15,22
2025-12,Dominica,6,6,12
