Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Ecuador,1607,1298,2110
2012-02,Ecuador,957,1206,2164
2012-03,Ecuador,804,1099,1904
2012-04,Ecuador,1708,1132,1991
2012-05,Ecuador,1436,1199,2013
2012-06,Ecuador,1420,1159,1892
2012-07,Ecuador,1502,1991,2476
2012-08,Ecuador,1828,2201,1318
2012-09,Ecuador,1787,1347,1308
2012-10,Ecuador,1739,1362,2244
2012-11,Ecuador,949,1312,1194
2012-12,Ecuador,1157,1505,2664
2013-01,Ecuador,1612,1055,1764
2013-02,Ecuador,921,1139,2061
2013-03,Ecuador,746,966,1713
2013-04,Ecuador,2338,1642,1628
2013-05,Ecuador,1988,1528,1429
2013-06,Ecuador,1598,1279,2115
2013-07,Ecuador,1034,1520,2555
2013-08,Ecuador,1491,1857,690
2013-09,Ecuador,2141,2016,2185
2013-10,Ecuador,1230,1646,705
2013-11,Ecuador,1042,1565,2608
2013-12,Ecuador,1450,1799,1969
2014-01,Ecuador,794,1140,1935
2014-02,Ecuador,1050,1275,2326
2014-03,Ecuador,1292,1500,2793
2014-04,Ecuador,1116,1246,2362
2014-05,Ecuador,1917,1511,2484
2014-06,Ecuador,1825,1303,2176
2014-07,Ecuador,1401,1858,1134
2014-08,Ecuador,1719,2108,1266
2014-09,Ecuador,1097,1630,1721
2014-10,Ecuador,1076,1842,2918
2014-11,Ecuador,1096,1369,2466
2014-12,Ecuador,1205,1595,2800
2015-01,Ecuador,733,1188,1922
2015-02,Ecuador,1239,1612,1771
2015-03,Ecuador,1065,1585,2651
2015-04,Ecuador,721,992,1715
2015-05,Ecuador,625,992,1617
2015-06,Ecuador,585,1031,1616
2015-07,Ecuador,986,1373,2361
2015-08,Ecuador,1270,1790,3062
2015-09,Ecuador,946,1320,2267
2015-10,Ecuador,901,1385,1151
2015-11,Ecuador,783,1099,1884
2015-12,Ecuador,942,1278,1182
2016-01,Ecuador,610,951,1561
2016-02,Ecuador,787,981,1769
2016-03,Ecuador,835,1368,2204
2016-04,Ecuador,713,1034,1748
2016-05,Ecuador,638,974,1613
2016-06,Ecuador,535,981,1516
2016-07,Ecuador,1017,1587,2606
2016-08,Ecuador,1443,1947,2333
2016-09,Ecuador,834,1306,2142
2016-10,Ecuador,917,1296,2214
2016-11,Ecuador,861,1307,1150
2016-12,Ecuador,906,1206,2113
2017-01,Ecuador,576,1003,1579
2017-02,Ecuador,771,1035,1807
2017-03,Ecuador,805,1157,1964
2017-04,Ecuador,818,1249,1051
2017-05,Ecuador,863,1413,2277
2017-06,Ecuador,569,1084,1654
2017-07,Ecuador,1012,1456,2469
2017-08,Ecuador,1706,2162,2450
2017-09,Ecuador,831,1560,2391
2017-10,Ecuador,925,1599,2526
2017-11,Ecuador,1018,1574,1507
2017-12,Ecuador,1129,1530,1596
2018-01,Ecuador,832,1669,2502
2018-02,Ecuador,993,1466,2460
2018-03,Ecuador,1087,1479,1244
2018-04,Ecuador,900,1213,2114
2018-05,Ecuador,780,1023,1803
2018-06,Ecuador,1579,1027,1778
2018-07,Ecuador,1670,1700,1003
2018-08,Ecuador,2175,2515,1526
2018-09,Ecuador,1198,1717,1642
2018-10,Ecuador,945,1306,1056
2018-11,Ecuador,942,1228,1135
2018-12,Ecuador,922,1249,1130
2019-01,Ecuador,574,1051,1626
2019-02,Ecuador,992,1280,1061
2019-03,Ecuador,1750,1855,952
2019-04,Ecuador,776,1097,1874
2019-05,Ecuador,756,1006,1763
2019-06,Ecuador,529,915,1444
2019-07,Ecuador,952,1118,2071
2019-08,Ecuador,1653,1687,1163
2019-09,Ecuador,1079,1291,1281
2019-10,Ecuador,905,1211,1079
2019-11,Ecuador,951,1165,919
2019-12,Ecuador,996,1245,2247
2020-01,Ecuador,718,1190,1910
2020-02,Ecuador,1010,1270,2282
2020-03,Ecuador,1431,546,1042
2020-05,Ecuador,0,11,11
2020-06,Ecuador,9,33,42
2020-07,Ecuador,27,118,145
2020-08,Ecuador,18,165,183
2020-09,Ecuador,32,185,217
2020-10,Ecuador,527,755,186
2020-11,Ecuador,996,220,377
2020-12,Ecuador,143,161,304
2021-01,Ecuador,920,207,298
2021-02,Ecuador,892,130,226
2021-03,Ecuador,139,178,317
2021-04,Ecuador,987,199,295
2021-05,Ecuador,811,1216,360
2021-06,Ecuador,169,419,588
2021-07,Ecuador,325,458,783
2021-08,Ecuador,758,849,1607
2021-09,Ecuador,563,733,1296
2021-10,Ecuador,613,797,1411
2021-11,Ecuador,487,663,1151
2021-12,Ecuador,1273,593,1081
2022-01,Ecuador,1218,614,1025
2022-02,Ecuador,700,785,1487
2022-03,Ecuador,1360,1288,1293
2022-04,Ecuador,1271,1174,1400
2022-05,Ecuador,688,1701,1667
2022-06,Ecuador,1957,1008,2084
2022-07,Ecuador,1934,1798,2047
2022-08,Ecuador,1088,1219,2307
2022-09,Ecuador,931,1868,2033
2022-10,Ecuador,1705,1569,1685
2022-11,Ecuador,1040,1913,2236
2022-12,Ecuador,1937,1941,1434
2023-01,Ecuador,1852,2193,2580
2023-02,Ecuador,1845,2042,1715
2023-03,Ecuador,1279,2254,1736
2023-04,Ecuador,632,1728,1439
2023-05,Ecuador,484,2703,1235
2023-06,Ecuador,1576,2769,1522
2023-07,Ecuador,1132,3430,1210
2023-09,Ecuador,1815,2029,2167
2023-10,Ecuador,1621,1745,1989
2023-11,Ecuador,944,1811,1830
2023-12,Ecuador,1953,2082,1218
2024-01,Ecuador,1557,1747,2247
2024-02,Ecuador,2252,2213,1586
2024-03,Ecuador,917,2658,1987
2024-04,Ecuador,1396,1594,1738
2024-05,Ecuador,1565,2504,1685
2024-06,Ecuador,2171,2118,1459
2024-07,Ecuador,1588,2495,1847
2024-08,Ecuador,1910,2014,1966
2024-09,Ecuador,1567,2346,1482
2024-10,Ecuador,856,1637,1759
2024-11,Ecuador,1733,2645,1812
2024-12,Ecuador,1561,1646,1824
2025-01,Ecuador,1421,1474,1398
2025-02,Ecuador,1491,1347,1234
2025-03,Ecuador,598,697,1298
2025-04,Ecuador,589,1675,1361
2025-05,Ecuador,1419,1340,1166
2025-06,Ecuador,1481,1332,1257
2025-07,Ecuador,1735,1490,1578
