Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Egipto,0,9,9
2012-02,Egipto,5,19,24
2012-03,Egipto,4,13,17
2012-04,Egipto,4,17,21
2012-05,Egipto,6,19,25
2012-06,Egipto,2,12,14
2012-07,Egipto,6,24,30
2012-08,Egipto,3,16,19
2012-09,Egipto,1,10,11
2012-10,Egipto,6,15,21
2012-11,Egipto,2,13,15
2012-12,Egipto,8,23,31
2013-01,Egipto,6,22,28
2013-02,Egipto,1,15,16
2013-03,Egipto,1,32,33
2013-04,Egipto,4,26,30
2013-05,Egipto,5,17,22
2013-06,Egipto,2,15,17
2013-07,Egipto,11,31,42
2013-08,Egipto,6,15,21
2013-09,Egipto,3,25,28
2013-10,Egipto,5,16,21
2013-11,Egipto,2,8,10
2013-12,Egipto,2,13,15
2014-01,Egipto,4,13,17
2014-02,Egipto,6,24,30
2014-03,Egipto,5,16,21
2014-04,Egipto,10,25,35
2014-05,Egipto,6,24,30
2014-06,Egipto,1,19,20
2014-07,Egipto,5,32,37
2014-08,Egipto,5,23,28
2014-09,Egipto,5,28,33
2014-10,Egipto,3,19,22
2014-11,Egipto,4,20,24
2014-12,Egipto,6,16,22
2015-01,Egipto,7,33,40
2015-02,Egipto,8,37,45
2015-03,Egipto,4,25,29
2015-04,Egipto,5,20,25
2015-05,Egipto,7,30,37
2015-06,Egipto,6,22,28
2015-07,Egipto,17,37,54
2015-08,Egipto,12,27,39
2015-09,Egipto,4,33,37
2015-10,Egipto,11,15,26
2015-11,Egipto,3,24,27
2015-12,Egipto,5,19,24
2016-01,Egipto,11,33,44
2016-02,Egipto,5,35,40
2016-03,Egipto,2,14,16
2016-04,Egipto,7,38,45
2016-05,Egipto,5,23,28
2016-06,Egipto,5,22,27
2016-07,Egipto,8,35,43
2016-08,Egipto,13,23,36
2016-09,Egipto,7,48,55
2016-10,Egipto,7,25,32
2016-11,Egipto,3,27,30
2016-12,Egipto,11,49,60
2017-01,Egipto,3,17,20
2017-02,Egipto,8,38,46
2017-03,Egipto,10,36,46
2017-04,Egipto,2,22,24
2017-05,Egipto,2,23,25
2017-06,Egipto,2,25,27
2017-07,Egipto,10,49,59
2017-08,Egipto,6,23,29
2017-09,Egipto,12,33,45
2017-10,Egipto,10,33,43
2017-11,Egipto,7,23,30
2017-12,Egipto,4,17,21
2018-01,Egipto,6,32,38
2018-02,Egipto,2,41,43
2018-03,Egipto,8,28,36
2018-04,Egipto,4,14,18
2018-05,Egipto,8,32,40
2018-06,Egipto,8,27,35
2018-07,Egipto,11,27,38
2018-08,Egipto,5,31,36
2018-09,Egipto,14,50,64
2018-10,Egipto,11,30,41
2018-11,Egipto,3,21,24
2018-12,Egipto,8,29,37
2019-01,Egipto,12,19,31
2019-02,Egipto,9,33,42
2019-03,Egipto,3,26,29
2019-04,Egipto,9,28,37
2019-05,Egipto,5,20,25
2019-06,Egipto,15,36,51
2019-07,Egipto,10,32,42
2019-08,Egipto,4,21,25
2019-09,Egipto,10,41,51
2019-10,Egipto,11,33,44
2019-11,Egipto,4,31,35
2019-12,Egipto,4,36,40
2020-01,Egipto,8,42,50
2020-02,Egipto,5,45,50
2020-03,Egipto,2,17,19
2020-07,Egipto,8,23,31
2020-09,Egipto,11,19,30
2020-10,Egipto,0,6,6
2020-11,Egipto,1,8,9
2020-12,Egipto,1,12,13
2021-01,Egipto,1,5,6
2021-02,Egipto,1,10,11
2021-03,Egipto,3,11,14
2021-04,Egipto,20,47,67
2021-05,Egipto,0,9,9
2021-06,Egipto,2,13,15
2021-07,Egipto,4,11,15
2021-08,Egipto,2,9,11
2021-09,Egipto,6,25,31
2021-10,Egipto,3,12,15
2021-11,Egipto,7,18,25
2021-12,Egipto,6,36,42
2022-01,Egipto,6,23,29
2022-02,Egipto,11,28,39
2022-03,Egipto,11,43,54
2022-04,Egipto,4,28,32
2022-05,Egipto,3,21,24
2022-06,Egipto,10,31,41
2022-07,Egipto,9,28,37
2022-08,Egipto,7,33,40
2022-09,Egipto,14,35,49
2022-10,Egipto,9,28,37
2022-11,Egipto,8,55,63
2022-12,Egipto,12,107,119
2023-01,Egipto,9,58,67
2023-02,Egipto,5,50,55
2023-03,Egipto,9,37,46
2023-04,Egipto,6,24,30
2023-06,Egipto,18,34,52
2023-07,Egipto,9,53,62
2023-09,Egipto,22,22,44
2023-10,Egipto,2,21,23
2023-11,Egipto,11,68,79
2023-12,Egipto,13,43,56
2024-01,Egipto,16,31,47
2024-02,Egipto,14,35,49
2024-03,Egipto,9,28,37
2024-04,Egipto,17,43,60
2024-05,Egipto,1,49,50
2024-06,Egipto,18,69,87
2024-07,Egipto,9,38,47
2024-08,Egipto,8,31,39
2024-09,Egipto,10,56,66
2024-10,Egipto,6,53,59
2024-11,Egipto,10,40,50
2024-12,Egipto,18,62,80
2025-01,Egipto,8,36,44
2025-02,Egipto,8,56,64
2025-03,Egipto,1,35,36
2025-04,Egipto,7,45,52
2025-05,Egipto,8,38,46
2025-06,Egipto,14,51,65
2025-07,Egipto,13,19,32
2025-08,Egipto,22,39,61
2025-09,Egipto,6,37,43
2025-10,Egipto,16,42,58
2025-11,Egipto,13,30,43
2025-12,Egipto,9,31,40
