Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Emiratos Árabes Unidos,1,3,4
2012-03,Emiratos Árabes Unidos,1,24,25
2012-04,Emiratos Árabes Unidos,0,7,7
2012-05,Emiratos Árabes Unidos,2,9,11
2012-06,Emiratos Árabes Unidos,2,7,9
2012-07,Emiratos Árabes Unidos,6,8,14
2012-08,Emiratos Árabes Unidos,0,1,1
2012-09,Emiratos Árabes Unidos,1,13,14
2012-10,Emiratos Árabes Unidos,0,1,1
2012-11,Emiratos Árabes Unidos,1,3,4
2012-12,Emiratos Árabes Unidos,0,7,7
2013-01,Emiratos Árabes Unidos,0,9,9
2013-02,Emiratos Árabes Unidos,1,7,8
2013-03,Emiratos Árabes Unidos,1,0,1
2013-04,Emiratos Árabes Unidos,0,4,4
2013-05,Emiratos Árabes Unidos,4,2,6
2013-06,Emiratos Árabes Unidos,2,12,14
2013-07,Emiratos Árabes Unidos,1,2,3
2013-08,Emiratos Árabes Unidos,1,10,11
2013-09,Emiratos Árabes Unidos,1,9,10
2013-10,Emiratos Árabes Unidos,3,12,15
2013-11,Emiratos Árabes Unidos,0,2,2
2013-12,Emiratos Árabes Unidos,4,5,9
2014-01,Emiratos Árabes Unidos,0,1,1
2014-02,Emiratos Árabes Unidos,1,6,7
2014-03,Emiratos Árabes Unidos,3,3,6
2014-04,Emiratos Árabes Unidos,2,9,11
2014-05,Emiratos Árabes Unidos,1,6,7
2014-06,Emiratos Árabes Unidos,3,6,9
2014-07,Emiratos Árabes Unidos,0,6,6
2014-08,Emiratos Árabes Unidos,3,6,9
2014-09,Emiratos Árabes Unidos,0,5,5
2014-10,Emiratos Árabes Unidos,8,22,30
2014-11,Emiratos Árabes Unidos,1,4,5
2014-12,Emiratos Árabes Unidos,3,18,21
2015-01,Emiratos Árabes Unidos,2,4,6
2015-02,Emiratos Árabes Unidos,3,3,6
2015-03,Emiratos Árabes Unidos,0,28,28
2015-04,Emiratos Árabes Unidos,1,0,1
2015-05,Emiratos Árabes Unidos,0,10,10
2015-06,Emiratos Árabes Unidos,2,5,7
2015-07,Emiratos Árabes Unidos,7,22,29
2015-08,Emiratos Árabes Unidos,1,8,9
2015-09,Emiratos Árabes Unidos,0,8,8
2015-10,Emiratos Árabes Unidos,0,6,6
2015-11,Emiratos Árabes Unidos,0,16,16
2015-12,Emiratos Árabes Unidos,2,11,13
2016-01,Emiratos Árabes Unidos,1,3,4
2016-02,Emiratos Árabes Unidos,5,67,72
2016-03,Emiratos Árabes Unidos,1,16,17
2016-04,Emiratos Árabes Unidos,5,13,18
2016-05,Emiratos Árabes Unidos,2,6,8
2016-06,Emiratos Árabes Unidos,1,1,2
2016-07,Emiratos Árabes Unidos,6,22,28
2016-08,Emiratos Árabes Unidos,2,14,16
